period,evaluation_scope,config_id,train_horizon,policy,qualified,preferred90,gate_shortfall,min_cell_coverage,min_cell_lift,min_cell_forward_delta_bps,mean_brier,cells,passed_cells,rank
development_2024_2025,KZT,tabm_pooled,5,cadence85,False,False,0.06881872035324715,0.7254901960784313,1.2421497584541066,33.4293510742652,0.17638042352706285,2,0,30
development_2024_2025,KZT,tabm_pooled,5,cadence90,False,False,0.06881872035324715,0.7254901960784313,1.2421497584541066,33.4293510742652,0.17638042352706285,2,0,31
development_2024_2025,KZT,tabm_kzt,3,cadence85,False,False,0.08333333333333338,0.6666666666666666,1.7193627450980389,58.8351645135847,0.17505594284982018,2,1,32
development_2024_2025,KZT,tabm_kzt,5,cadence85,False,False,0.08333333333333338,0.6666666666666666,1.5125000000000004,44.95737221465642,0.1626477076116464,2,1,33
development_2024_2025,KZT,tabm_pooled,5,rank90,False,False,0.08447802197802184,0.8627450980392157,1.0803571428571432,23.144280268865682,0.17638042352706285,2,1,34
development_2024_2025,KZT,tabm_kzt,5,cadence80,False,False,0.1323529411764706,0.5882352941176471,1.5125000000000004,44.95737221465642,0.1626477076116464,2,1,35
development_2024_2025,KZT,tabm_kzt,3,cadence80,False,False,0.1421568627450981,0.6274509803921569,1.8870346598202827,71.72212349330563,0.17505594284982018,2,0,36
development_2024_2025,KZT,v3,3,strict05,False,False,0.2769607843137256,0.39215686274509803,1.3117192147531231,18.93670041250858,0.1917470515748961,2,0,37
development_2024_2025,KZT,tabm_pooled,3,strict05,False,False,0.30147058823529416,0.37254901960784315,1.5322076297686056,49.73581085901351,0.18521097068733217,2,0,38
development_2024_2025,KZT,tabm_kzt,3,strict05,False,False,0.3137254901960785,0.47058823529411764,1.680640243902439,67.25729252197465,0.17505594284982018,2,0,39
development_2024_2025,KZT,v3,5,strict05,False,False,0.4485294117647059,0.21568627450980393,1.8692307692307688,83.33196523186047,0.1745159717334745,2,0,40
development_2024_2025,KZT,tabm_kzt,5,strict05,False,False,0.607843137254902,0.1568627450980392,1.644923076923077,74.29132526519085,0.1626477076116464,2,0,41
development_2024_2025,KZT,tabm_pooled,5,strict05,False,False,0.6242808590483735,0.058823529411764705,1.2891246684350133,34.507372655419466,0.17638042352706285,2,0,42
retrospective_2024_2026,all5,tabm_pooled,3,rank80,False,False,0.0015484706644293246,0.803921568627451,1.2698048220436282,37.11039144666017,0.18769865791303594,15,14,1
retrospective_2024_2026,all5,tabm_pooled,3,cadence90,False,False,0.00419560192208577,0.8235294117647058,1.2568181818181818,24.599796850088786,0.18769865791303594,15,13,2
retrospective_2024_2026,all5,tabm_pooled,3,cadence85,False,False,0.007957358220747163,0.7450980392156863,1.291400142146411,33.480785906746185,0.18769865791303594,15,12,3
retrospective_2024_2026,all5,v3,5,rank80,False,False,0.009334463762119717,0.7254901960784313,1.2781690140845074,15.636196468942844,0.18757753951445652,15,10,4
retrospective_2024_2026,all5,tabm_pooled,5,rank80,False,False,0.010556858955514586,0.7843137254901961,1.2015404364569962,31.20201948417973,0.185684228725573,15,9,5
retrospective_2024_2026,all5,tabm_pooled,3,rank90,False,False,0.01227326670137646,0.8823529411764706,1.1960784313725494,34.02717434118439,0.18769865791303594,15,12,6
retrospective_2024_2026,all5,v3,3,rank80,False,False,0.012282822595059546,0.7254901960784313,1.2360225140712948,21.13103697122696,0.19228068494196587,15,11,7
