config_id,train_horizon,evaluation_horizon,policy,year,evaluation_scope,cohort,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt,3,5,rank90,2024,KZT,common_H5_dates_frozen_contacts,243,243,58,23,0.2674897119341564,0.39655172413793105,1.482493368700265,53.2274905517767,52.06088798060341,83.25710857367656,,,,,51,43,0.8431372549019608,0.8431372549019608,1.1372549019607843,8,2,3,0.8431372549019608
tabm_kzt,3,3,rank90,2025,KZT,common_H5_dates_frozen_contacts,242,242,74,26,0.2644628099173554,0.35135135135135137,1.3285472972972974,20.659323029968412,1.9515654120990222,80.4447887753838,0.16018257540471678,0.16133452107790847,0.7618504213483147,0.4911557001671538,51,50,0.9803921568627451,0.9803921568627451,1.4509803921568627,1,2,1,0.9803921568627451
tabm_kzt,3,5,rank90,2025,KZT,common_H5_dates_frozen_contacts,242,242,74,21,0.19834710743801653,0.28378378378378377,1.4307432432432434,20.048874296116168,-8.197424591603948,130.83895252989421,,,,,51,50,0.9803921568627451,0.9803921568627451,1.4509803921568627,1,2,1,0.9803921568627451
tabm_kzt,3,3,rank90,2026,KZT,common_H5_dates_frozen_contacts,156,156,42,22,0.4230769230769231,0.5238095238095238,1.2380952380952381,37.30014700410708,61.52311155828633,64.17114358404645,0.18817562467531046,0.19209396819261465,0.795959595959596,0.5542340225795723,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt,3,5,rank90,2026,KZT,common_H5_dates_frozen_contacts,156,156,42,20,0.36538461538461536,0.47619047619047616,1.3032581453634087,34.34024281682515,71.50481910854427,99.64267312367204,,,,,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt,3,3,rank90_shared,2024,KZT,common_H5_dates_frozen_contacts,243,243,58,26,0.3333333333333333,0.4482758620689655,1.3448275862068968,47.690022326548565,46.259826929341564,51.61501043916703,0.19202365767409543,0.21228892318135817,0.7448559670781894,0.5626184898569365,51,43,0.8431372549019608,0.8431372549019608,1.1372549019607843,8,2,3,0.8431372549019608
tabm_kzt,3,5,rank90_shared,2024,KZT,common_H5_dates_frozen_contacts,243,243,58,23,0.2674897119341564,0.39655172413793105,1.482493368700265,53.2274905517767,52.06088798060341,83.25710857367656,,,,,51,43,0.8431372549019608,0.8431372549019608,1.1372549019607843,8,2,3,0.8431372549019608
tabm_kzt,3,3,rank90_shared,2025,KZT,common_H5_dates_frozen_contacts,242,242,74,26,0.2644628099173554,0.35135135135135137,1.3285472972972974,20.659323029968412,1.9515654120990222,80.4447887753838,0.16018257540471678,0.16133452107790847,0.7618504213483147,0.4911557001671538,51,50,0.9803921568627451,0.9803921568627451,1.4509803921568627,1,2,1,0.9803921568627451
tabm_kzt,3,5,rank90_shared,2025,KZT,common_H5_dates_frozen_contacts,242,242,74,21,0.19834710743801653,0.28378378378378377,1.4307432432432434,20.048874296116168,-8.197424591603948,130.83895252989421,,,,,51,50,0.9803921568627451,0.9803921568627451,1.4509803921568627,1,2,1,0.9803921568627451
tabm_kzt,3,3,rank90_shared,2026,KZT,common_H5_dates_frozen_contacts,156,156,42,22,0.4230769230769231,0.5238095238095238,1.2380952380952381,37.30014700410708,61.52311155828633,64.17114358404645,0.18817562467531046,0.19209396819261465,0.795959595959596,0.5542340225795723,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
