config_id,train_horizon,evaluation_horizon,policy,evaluation_scope,cohort,period,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_pooled,3,3,rank90,all5,native_matured,2024-2026,3235,647,864,416,0.3517774343122102,0.48148148148148145,1.3777573594815893,41.469348762312315,41.72637437738112,52.53971290129936,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,633,0.9377777777777778,0.9365418894830658,1.28,42,2,3,0.8823529411764706
tabm_pooled,3,3,rank90,KZT,native_matured,2024-2026,647,647,172,80,0.32921174652241114,0.46511627906976744,1.4285381980500442,44.46282189880132,42.3940116993622,58.384177667059426,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,126,0.9333333333333333,0.93048128342246,1.2740740740740741,9,2,3,0.8823529411764706
tabm_pooled,3,3,rank90_shared,all5,native_matured,2024-2026,3235,647,864,418,0.3517774343122102,0.4837962962962963,1.3866172341554752,41.39415220282975,41.55002267604904,52.89887998233365,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,634,0.9392592592592592,0.938562091503268,1.28,41,2,3,0.8823529411764706
tabm_pooled,3,3,rank90_shared,KZT,native_matured,2024-2026,647,647,173,80,0.32921174652241114,0.4624277456647399,1.4178023764450962,43.60355378501837,41.691501117926975,58.93160258823477,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,126,0.9333333333333333,0.93048128342246,1.2814814814814814,9,2,3,0.8823529411764706
tabm_pooled,3,3,strict05,all5,native_matured,2024-2026,3235,647,476,295,0.3517774343122102,0.6197478991596639,1.7323925436478989,71.32434453366876,73.40301537318147,32.19863764689469,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,447,0.6622222222222223,0.6606060606060605,0.7051851851851851,228,2,11,0.37254901960784315
tabm_pooled,3,3,strict05,KZT,native_matured,2024-2026,647,647,77,47,0.32921174652241114,0.6103896103896104,1.8238177533246285,77.67862011440597,77.84349450186534,34.06874693186236,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,73,0.5407407407407407,0.5341651812240048,0.5703703703703704,62,2,11,0.37254901960784315
tabm_pooled,5,5,cadence80,all5,native_matured,2024-2026,3205,641,644,295,0.29329173166926675,0.4580745341614907,1.5559533894557938,58.69725713740546,61.13179923350111,71.66379335843843,0.18458108161919043,0.18935672190614894,0.6992701141327321,0.550940891750814,675,509,0.7540740740740741,0.7723113487819369,0.9540740740740741,166,2,5,0.6078431372549019
tabm_pooled,5,5,cadence80,KZT,native_matured,2024-2026,641,641,142,55,0.26521060842433697,0.3873239436619718,1.4300825131783694,53.67611852448033,53.81893208014398,86.56019770665976,0.1856266295952443,0.1795572819400847,0.6758461346321969,0.5547510998474622,135,111,0.8222222222222222,0.8324420677361855,1.0518518518518518,24,2,4,0.7254901960784313
tabm_pooled,5,5,cadence85,all5,native_matured,2024-2026,3205,641,746,315,0.29329173166926675,0.4222520107238606,1.4655534633486933,46.52873402457648,46.27795701659588,86.3031652372864,0.18458108161919043,0.18935672190614894,0.6992701141327321,0.550940891750814,675,565,0.837037037037037,0.8455139631610217,1.1051851851851853,110,2,5,0.6470588235294118
tabm_pooled,5,5,cadence85,KZT,native_matured,2024-2026,641,641,158,55,0.26521060842433697,0.34810126582278483,1.318881094291741,45.1218095195828,42.56116672855283,100.21704653507364,0.1856266295952443,0.1795572819400847,0.6758461346321969,0.5547510998474622,135,118,0.8740740740740741,0.8781937017231135,1.1703703703703703,17,2,4,0.7254901960784313
tabm_pooled,5,5,cadence90,all5,native_matured,2024-2026,3205,641,798,332,0.29329173166926675,0.41604010025062654,1.4446567990274062,42.19896506836438,41.70895308019155,90.67096149042875,0.18458108161919043,0.18935672190614894,0.6992701141327321,0.550940891750814,675,592,0.8770370370370371,0.8850861556743909,1.1822222222222223,83,2,4,0.7254901960784313
tabm_pooled,5,5,cadence90,KZT,native_matured,2024-2026,641,641,158,54,0.26521060842433697,0.34177215189873417,1.294901438031891,44.48926998426229,41.92862719323231,101.11690320849388,0.1856266295952443,0.1795572819400847,0.6758461346321969,0.5547510998474622,135,118,0.8740740740740741,0.8781937017231135,1.1703703703703703,17,2,4,0.7254901960784313
tabm_pooled,5,5,rank80,all5,native_matured,2024-2026,3205,641,769,332,0.29329173166926675,0.4317295188556567,1.4824572936450888,48.35210124912489,48.769494558378035,84.8868309474888,0.18458108161919043,0.18935672190614894,0.6992701141327321,0.550940891750814,675,593,0.8785185185185185,0.8835412953060012,1.1392592592592592,82,2,3,0.7843137254901961
