scenario,seed,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,8102,group_unconstrained_expected_budget,4.323484848484849,2.5242424242424244,0.8247474747474748,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,287.8364615857531,283.5129767372683,0.0,54250.50273068737,3.3723063973063976,0.29974747474747476,1.6702020202020202,131.10427204126069,1.6561447811447811,1.2688495688002992,48.21428571428571,0.08967227833894503,0.5838444016120553,0.3863092109105776,0.3830578431945174,0.2934784353980015,30.323749622299644,5.946373727795524,0.09283077551257612
base,8102,group_unconstrained_exploratory,8.41540404040404,4.684343434343434,1.4991582491582491,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,363.75587455454337,355.3404705141394,0.0,98568.92439689611,6.526851851851852,0.582996632996633,3.2510101010101007,199.96025011052433,3.157996632996633,2.429259627472395,48.21428571428571,0.17454171343060232,0.5566391597899475,0.3863165791447862,0.37526381595398856,0.28866821079641963,23.7612180176347,7.514782400623714,0.09764836834836654
base,8102,random_expected_budget,4.435690235690236,2.6195286195286194,0.8686026936026936,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,107.79603397383025,103.36034373813999,0.0,62821.740570991285,3.977777777777778,0.37491582491582487,1.1965488215488218,-19.700835873727307,1.1965488215488218,1.2610809774848728,48.21428571428571,0.09199950118468639,0.5905571580385607,0.26975482010019736,0.26975482010019736,0.2843032111074899,-4.4414363553188165,2.2269433860156407,-0.01454839100729255
base,8102,universal,7.708333333333334,4.233838383838384,1.433838383838384,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,779.6863478166667,771.9780144833334,0.0,99580.64998065586,6.5026094276094275,0.42760942760942755,3.4201178451178453,375.0767257329517,4.532154882154882,2.2511085850128665,48.21428571428571,0.15987654320987657,0.5492547092547092,0.44369096369096367,0.5879552279552279,0.29203570832599346,48.65860225724778,16.10743263391809,0.1516552553649702
base,8102,universal_expected_budget,3.8713804713804714,2.262794612794613,0.7852693602693603,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,396.73207878007645,392.86069830869593,0.0,55893.502720060875,3.4053030303030303,0.21355218855218855,1.6914983164983166,196.4592819366062,2.245959595959596,1.1140402856397138,48.21428571428571,0.08029529866566905,0.5844929552965733,0.43692381283701515,0.5801443729344233,0.28776305864932594,50.74657047762397,8.196033251780076,0.1491607541876892
base,8102,v3_readiness,5.742171717171717,3.2934343434343436,1.198989898989899,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,565.5187668946082,559.7765951774365,0.0,86248.12222638761,5.4699494949494945,0.36195286195286197,2.422053872053872,252.13049462648723,2.422053872053872,1.6730228125602573,48.21428571428571,0.11909689487467266,0.5735520471436739,0.4218010173417183,0.4218010173417183,0.2913571545687418,43.908560566466846,11.68297414271669,0.13044386277297654
base,8102,weekly_expected_budget,4.605050505050505,2.7281144781144784,0.9134680134680135,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,-54.00472719609339,-58.609777701143905,0.0,62887.712245389695,4.019949494949495,0.5136363636363637,1.2867003367003367,-11.921340962511165,1.2867003367003367,1.3036371423485962,48.21428571428571,0.09551215862326974,0.592417927908167,0.27941068947868686,0.27941068947868686,0.2830885656778044,-2.5887535759785156,-1.1156762044892685,-0.0036778761991175246
base,8103,group_aware,4.709848484848485,2.7586700336700334,0.9485690235690235,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,363.20770230218193,358.4978538173334,0.0,54425.03162682335,3.6441077441077443,0.28855218855218856,1.8823232323232324,156.44687289696847,1.3067340067340067,1.3353313124547377,48.21428571428571,0.09768574635241303,0.5857237324182796,0.3996568548603292,0.2774471431379908,0.28351895326367277,33.2169651317353,8.096284087241985,0.11613790159665643
base,8103,group_expected_budget,4.709848484848485,2.7586700336700334,0.9485690235690235,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,363.20770230218193,358.4978538173334,0.0,54425.03162682335,3.6441077441077443,0.28855218855218856,1.8823232323232324,156.44687289696847,1.3067340067340067,1.3353313124547377,48.21428571428571,0.09768574635241303,0.5857237324182796,0.3996568548603292,0.2774471431379908,0.28351895326367277,33.2169651317353,8.096284087241985,0.11613790159665643
base,8103,group_unconstrained_expected_budget,4.144865319865319,2.278956228956229,0.7683501683501683,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,175.43714608472243,171.2922807648571,0.0,44767.213754964636,3.297643097643098,0.24048821548821547,1.6777777777777776,140.10782988098072,1.6446969696969698,1.2114505958156936,48.21428571428571,0.08596757700461405,0.549826364208688,0.40478463069393394,0.39680347677748223,0.29227743299872955,33.80274606498753,3.910679661124446,0.1125071976952044
