scenario,policy,mix,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
low_response,random_expected_budget,wb2016_kg_no_frequent,4.419500561167228,2.5957912457912458,0.2714365881032548,6.9799102132435475,6.9799102132435475,453832.37988480605,453832.37988480605,24.213141101011246,19.793640539844013,0.0,22392.32794589895,1.3326879910213243,0.11576879910213243,1.2437429854096522,-17.79848725198717,1.2437429854096522,1.2456287191586801,48.214285714285715,0.09166371534272769,0.5873494549587013,0.28142161499831764,0.28142161499831764,0.28184829980646026,-4.027262131919819,0.533526080866181,-0.0004266848081426189
low_response,random_expected_budget,wb2016_kg_frequent_quarter_of_monthly,4.49553872053872,2.685858585858586,0.28462401795735126,9.530695847362514,9.530695847362514,470667.58144030184,470667.58144030184,25.871299994986067,21.375761274447346,0.0,21585.153406256017,1.3046296296296296,0.12053872053872054,1.2689955106621773,-16.15643597618365,1.2689955106621773,1.267617711537579,48.214285714285715,0.09324080309265494,0.5974497725017321,0.282278852335212,0.282278852335212,0.2819723709076795,-3.593882064093879,0.549672444314449,0.000306481427532479
low_response,random_expected_budget,wb2016_kg_frequent_half_of_monthly,4.571576879910213,2.775925925925926,0.29781144781144786,12.081481481481482,12.081481481481482,487502.7829957977,487502.7829957977,27.52945888896089,22.957882009050675,0.0,20777.978866613084,1.2765712682379349,0.12530864197530867,1.2942480359147028,-14.514384700380138,1.2942480359147028,1.289606703916478,48.214285714285715,0.0948178908425822,0.6072140967648882,0.28310757314445995,0.28310757314445995,0.2820923147073502,-3.1749186509721787,0.5647036252754724,0.0010152584371097562
low_response,random_expected_budget,wb2016_tj_same_split,4.470260942760943,2.644419191919192,0.2776571268237935,8.094952300785636,8.094952300785636,461782.51599277754,461782.51599277754,24.23951825974211,19.769257316981165,0.0,21952.6543588891,1.3154040404040404,0.11825757575757576,1.2592873176206512,-17.330560915075242,1.2592873176206512,1.2601387375268343,48.214285714285715,0.092716523257264,0.5915581273172689,0.28170331301574636,0.28170331301574636,0.28189377614912603,-3.8768566616094366,0.5249119968873232,-0.00019046313337967025
low_response,random_expected_budget,iom2024_returnees_scenario,4.997138047138047,2.981060606060606,0.30446127946127943,11.075336700336699,11.075336700336699,496224.35151042545,496224.35151042545,8.715316422819402,3.7181783756813562,0.0,18838.838190557854,1.1571548821548823,0.13392255892255892,1.4014309764309765,-21.65882294411941,1.4014309764309765,1.4082766311126307,48.21428571428571,0.10364434468138173,0.5965535828588755,0.28044672034497864,0.28044672034497864,0.2818166354077764,-4.334245470069376,0.17563258224412828,-0.0013699150627977663
low_response,random_expected_budget,v3_balanced,5.17962962962963,3.1972222222222224,0.33611111111111114,17.197222222222223,17.197222222222223,536628.8352436153,536628.8352436153,12.69489776835897,7.515268138729343,0.0,16901.61929541481,1.0898148148148148,0.14537037037037037,1.462037037037037,-17.717899882190977,1.462037037037037,1.461050212821988,48.21428571428571,0.10742935528120715,0.6172685019663926,0.2822667143367894,0.2822667143367894,0.2820761941093577,-3.420688572178451,0.23656756653033417,0.00019052022743171193
low_response,random_expected_budget,frequent_heavy_stress,5.660555555555556,3.5581944444444447,0.37263888888888885,22.662361111111114,22.662361111111114,583422.7357946438,583422.7357946438,3.570415964868939,-2.090139590686616,0.0,13596.29503752806,0.9386111111111111,0.16291666666666665,1.5979166666666667,-18.734976831055583,1.5979166666666667,1.5970577968415902,48.214285714285715,0.11740411522633745,0.6285945627637649,0.2822897242123859,0.2822897242123859,0.2821379953199394,-3.3097417112474283,0.06119775157555178,0.0001517288924465232
low_response,random_expected_budget,l2kgz_regular10pct_frequent_scenario,4.073880459910129,2.398915847762109,0.25923480952676903,6.249385967655537,6.249385967655537,438090.3130626375,438090.3130626375,36.64786802810938,32.57398756819925,0.0,24228.32243615239,1.4334818011208736,0.10694179035554591,1.153235995495347,-13.650367748648211,1.153235995495347,1.1488056335573096,48.214285714285715,0.08449529842776562,0.5888527833276261,0.28308047004422604,0.28308047004422604,0.28199296588654754,-3.350704048137275,0.8365368266627142,0.0010875041576784983
low_response,universal,wb2016_kg_planning,7.559315375982042,4.404096520763187,0.4563692480359146,8.000224466891133,8.000224466891133,460566.4605070044,460566.4605070044,193.80874565673133,186.24943028074927,0.0,32485.031714344048,2.1540965207631873,0.1436026936026936,3.399438832772166,375.1211127554618,4.492424242424242,2.192020412582602,48.21428571428571,0.15678580039073867,0.58260520982577,0.44970194570438066,0.594289829036353,0.2899760498876968,49.623688667272894,4.208051655419746,0.15972589581668384
low_response,universal,wb2016_kg_no_frequent,7.507912457912458,4.3317059483726155,0.44918630751964084,6.9799102132435475,6.9799102132435475,453832.37988480605,453832.37988480605,195.012367819335,187.50445536142252,0.0,33030.239443535094,2.1849607182940516,0.1434904601571268,3.3728395061728396,370.7098671044131,4.461335578002245,2.1781860292129633,48.214285714285715,0.1557196657937399,0.5769521118759857,0.4492379905972748,0.594217847239351,0.29011873026268586,49.37589099267246,4.297013092561487,0.15911926033458895
