date,unique_authors,category:bank_blocks_compliance,category:benchmark_reference,category:cash_atm,category:crossborder_howto,category:crypto,category:exchange_intent,category:family_support,category:fees_cost,category:partial_fill,category:rate_information,category:rent_study_medical,category:salary_income,category:successful_close,category:timing_forecast,category:trust_safety,category:urgency,category:willing_to_wait,direction:kzt_to_rub,direction:need_eur,direction:need_kzt_offer_unknown,direction:need_rub_offer_unknown,direction:rub_to_kzt,direction:unclassified,events,explicit_rates,messages,probable_listings,strict_listings,text_messages,kzt_per_rub,market_return_1d,market_abs_return_1d,market_90d_percentile,strict_listing_share,rate_information_share,timing_forecast_share,urgency_share_in_strict,rub_to_kzt_share_classified,direction_net
2024-08-09,79,3,0,5,4,4,0,1,2,0,7,1,4,2,1,8,1,0,0,0,0,0,0,0,246,0,246,0,0,243,5.514518372991297,0.0023579784457237185,0.0023579784457237185,0.8444444444444444,0.0,0.028455284552845527,0.0040650406504065045,,,
2024-08-10,65,2,0,15,5,1,0,0,5,0,10,7,0,1,2,5,0,1,0,0,0,0,0,1,217,0,217,1,1,216,5.508103908883295,-0.001163195708879794,0.001163195708879794,0.8333333333333334,0.004608294930875576,0.04608294930875576,0.009216589861751152,0.0,,
2024-08-11,83,4,0,37,7,3,4,1,16,0,23,5,1,2,1,18,1,0,0,0,0,0,0,2,439,0,439,3,2,429,5.5007953842448885,-0.0013268676044073668,0.0013268676044073668,0.7777777777777778,0.004555808656036446,0.05239179954441914,0.002277904328018223,0.5,,
2024-08-12,86,4,0,19,9,5,1,0,7,2,3,0,1,0,2,7,0,1,0,0,0,0,0,2,249,0,249,2,2,243,5.273873324616873,-0.04125259053953445,0.04125259053953445,0.4444444444444444,0.008032128514056224,0.012048192771084338,0.008032128514056224,0.0,,
2024-08-13,104,2,0,30,7,1,1,2,16,3,8,0,4,3,0,3,2,0,0,0,0,0,0,0,301,0,301,0,0,299,5.304335441894857,0.005776042654607405,0.005776042654607405,0.45555555555555555,0.0,0.026578073089700997,0.0,,,
2024-08-14,112,10,0,9,10,5,2,0,14,1,9,5,5,1,2,6,0,1,0,0,0,0,0,1,524,0,524,2,1,505,5.344971451845364,0.007660905007921492,0.007660905007921492,0.4888888888888889,0.0019083969465648854,0.01717557251908397,0.003816793893129771,0.0,,
2024-08-15,93,4,0,18,9,5,0,0,9,0,17,7,2,4,5,6,1,1,0,0,0,0,0,1,370,0,370,2,1,367,5.406278038524344,0.011469955869982007,0.011469955869982007,0.6111111111111112,0.002702702702702703,0.04594594594594595,0.013513513513513514,1.0,,
2024-08-16,71,5,0,6,7,3,0,0,2,0,1,4,2,2,0,6,0,1,0,0,0,0,0,0,260,0,260,0,0,256,5.34306113236514,-0.01169323991639537,0.01169323991639537,0.4444444444444444,0.0,0.0038461538461538464,0.0,,,
2024-08-17,59,0,0,10,3,2,0,0,4,1,4,0,3,2,0,2,1,1,0,0,0,0,0,1,256,0,256,1,1,254,5.34306113236514,0.0,0.0,0.4444444444444444,0.00390625,0.015625,0.0,1.0,,
2024-08-18,67,9,0,28,2,9,1,2,4,1,7,4,1,3,0,4,0,0,0,0,0,0,0,0,328,0,328,0,0,327,5.337640037384845,-0.0010146047080497045,0.0010146047080497045,0.4111111111111111,0.0,0.021341463414634148,0.0,,,
2024-08-19,97,10,1,16,3,4,0,2,13,0,18,3,3,0,1,8,0,1,0,0,0,0,0,0,411,0,411,0,0,406,5.319211814121519,-0.003452503940740592,0.003452503940740592,0.4,0.0,0.043795620437956206,0.0024330900243309003,,,
2024-08-20,75,2,0,15,4,3,0,0,11,0,13,2,0,3,2,10,1,1,0,0,0,0,0,2,267,0,267,3,2,266,5.213219313836557,-0.019926354503043364,0.019926354503043364,0.3,0.00749063670411985,0.04868913857677903,0.00749063670411985,0.5,,
2024-08-21,83,8,2,15,10,4,0,0,5,1,14,3,8,0,0,13,1,0,0,0,0,0,0,0,392,0,392,0,0,389,5.228423617290091,0.0029164902794669434,0.0029164902794669434,0.3111111111111111,0.0,0.03571428571428571,0.0,,,
2024-08-22,61,3,0,14,6,4,0,0,6,0,12,6,1,2,3,4,0,1,0,0,0,0,0,1,257,0,257,2,1,253,5.243342875190006,0.0028534906488022482,0.0028534906488022482,0.32222222222222224,0.0038910505836575876,0.04669260700389105,0.011673151750972763,0.0,,
2024-08-23,77,5,0,8,13,4,1,1,8,0,15,3,1,1,2,6,1,1,0,0,0,0,0,0,290,0,290,0,0,288,5.258859828531434,0.0029593627025326086,0.0029593627025326086,0.32222222222222224,0.0,0.05172413793103448,0.006896551724137931,,,
2024-08-24,77,2,0,16,7,0,1,0,3,0,10,0,1,1,1,4,0,0,0,0,0,0,1,1,202,0,202,2,2,201,5.247843132619821,-0.0020948829728912877,0.0020948829728912877,0.3111111111111111,0.009900990099009901,0.04950495049504951,0.0049504950495049506,0.0,1.0,1.0
2024-08-25,82,2,0,7,11,1,1,0,6,0,12,2,1,2,1,3,1,0,0,0,0,0,0,0,273,0,273,0,0,272,5.2612291735245345,0.0025507700147338053,0.0025507700147338053,0.32222222222222224,0.0,0.04395604395604396,0.003663003663003663,,,
2024-08-26,75,0,1,14,14,9,1,0,11,0,14,1,1,0,2,7,1,0,0,0,0,0,0,1,381,0,381,2,1,370,5.253333680149534,-0.0015006936809999205,0.0015006936809999205,0.3,0.0026246719160104987,0.03674540682414698,0.005249343832020997,1.0,,
2024-08-27,106,2,0,27,9,2,0,0,10,1,14,9,3,3,3,9,1,2,0,0,0,0,0,2,464,0,464,2,2,461,5.249923130117569,-0.0006492163337827872,0.0006492163337827872,0.28888888888888886,0.004310344827586207,0.03017241379310345,0.00646551724137931,0.5,,
2024-08-28,97,8,0,12,17,9,1,2,6,1,25,5,1,0,1,17,0,2,0,0,0,0,0,1,526,0,526,1,1,518,5.25928009881571,0.0017823058483392717,0.0017823058483392717,0.3111111111111111,0.0019011406844106464,0.04752851711026616,0.0019011406844106464,0.0,,
