stage,scope,config_id,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
jan2026_retrospective,KZT,synth_basis2018_D2,2026-01-13,2026-08-25,34.0,0.4117647058823529,1.126934984520124,29.83197507207521,24.347866220267598,98.14135948230248,0.23603595133716246,0.685136112575023,0.6289207868155237,0.1293539919053624,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_full2010_D2,2026-01-13,2026-08-25,34.0,0.4117647058823529,1.126934984520124,29.336350811774082,23.027011121447266,97.43960483660452,0.23391061704429608,0.6804189512009212,0.6404394825447456,0.12445245169510631,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_full2010_D3,2026-01-13,2026-08-25,35.0,0.42857142857142855,1.1729323308270676,28.74464308698828,20.389594828294396,98.6312998273399,0.23349180250299775,0.6773816915082088,0.6436292752082226,0.13217281360704963,156,156,1.0888888888888888,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_kzt_basis2010_D2,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,31.60429895654539,24.91316675540188,96.84326071695753,0.24153307957780903,0.7012479750651534,0.6348573453836611,0.1563601366408935,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_kzt_basis2010_halyk_D2,2026-01-13,2026-08-25,35.0,0.4,1.0947368421052632,24.534392778986994,16.65492729307247,105.43618509288711,0.23977790658149273,0.6992922723200848,0.6374269005847952,0.14595056555275074,156,156,1.0888888888888888,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_kzt_basis2010_halyk_D3,2026-01-13,2026-08-25,35.0,0.4,1.0947368421052632,27.022957027788692,19.840445737021092,99.89231005653214,0.24062921863864084,0.6953309104279605,0.6326422115895799,0.15188020220169537,156,156,1.0888888888888888,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_kzt_basis2010_halyk_H1O2,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,46.99001931886291,31.256505374970274,78.96013922245089,0.22804178900811387,0.6675487029744744,0.6659578238525606,0.13076136997869,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
jan2026_retrospective,KZT,synth_kzt_halyk_D1,2026-01-13,2026-08-25,36.0,0.5,1.368421052631579,36.34640260361142,29.626403114091506,90.84904872711327,0.22896361048309805,0.6695099175614995,0.6632996632996632,0.13305159593305818,156,156,1.1199999999999999,1.0,1.0
jan2026_retrospective,KZT,synth_kzt_halyk_D2,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,27.157656542030214,19.08349500839261,103.59590996138967,0.24113014618694975,0.7024450615245086,0.6335282651072125,0.14966713410854873,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
jan2026_retrospective,KZT,synth_kzt_halyk_D3,2026-01-13,2026-08-25,35.0,0.4857142857142857,1.3293233082706768,40.80832621547305,29.104840328689868,91.75393580643646,0.24075226382808504,0.6968407291409984,0.629452418926103,0.1644860558054781,156,156,1.0888888888888888,0.967741935483871,0.967741935483871
