config_id,cutoff,scope,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
synth_basis2018_D2,2025-01-01,all,234.0,0.3717948717948718,1.6954421001771622,55.08434898460459,41.76679264532871,102.03744252729494,0.16230852651977928,0.49480823022780357,0.6929187660423994,0.056284906755951485,1210,242,0.9386819484240688,0.7142857142857143,0.8693877551020408
synth_basis2018_D2,2025-01-01,KZT,53.0,0.33962264150943394,1.7122641509433962,34.54784733416497,28.00371820938242,120.87335699875345,0.15719590498333788,0.483783782830591,0.6752577319587629,0.07998936112645144,242,242,1.0630372492836677,0.9591836734693877,0.9591836734693877
synth_full2010_D2,2023-01-01,all,285.0,0.4421052631578947,1.1449384199459298,21.35857685319301,17.535371115419306,82.03042563318785,0.2045068793525945,0.5925692451208491,0.7234603623829547,0.0849714869907995,1210,242,1.146551724137931,0.9791666666666666,0.9875
synth_full2010_D2,2023-01-01,KZT,55.0,0.41818181818181815,1.1370786516853932,22.03895343772426,16.46987957215872,94.48040366725297,0.1976647676157272,0.5801025050474403,0.720276125431446,0.06490706078038747,242,242,1.1063218390804597,0.9791666666666666,0.9791666666666666
synth_full2010_D2,2024-01-01,all,235.0,0.4553191489361702,1.364165792235047,30.80636829166079,18.424459101140517,84.01484623999512,0.19131115019577333,0.5643715958737331,0.7373327236701722,0.0485381193178152,1215,243,0.94,0.8163265306122449,0.8775510204081634
synth_full2010_D2,2024-01-01,KZT,48.0,0.3541666666666667,1.3240384615384615,25.678348200454717,16.557750334540703,106.16279529590315,0.18754332109109423,0.5564672604642077,0.6966292134831461,0.06506566584898879,243,243,0.96,0.9183673469387755,0.9183673469387755
synth_full2010_D2,2025-01-01,all,231.0,0.35064935064935066,1.5970343816196841,56.47290379167966,42.11011567462874,103.16471795795228,0.1634284831053957,0.4974251774630531,0.6943229711316032,0.060511985868527934,1210,242,0.926647564469914,0.7142857142857143,0.8653061224489795
synth_full2010_D2,2025-01-01,KZT,50.0,0.32,1.6133333333333333,44.74996754277566,31.79827066787932,116.38878659460087,0.1583187995203993,0.48625901282276296,0.6744523195876289,0.06644110141902505,242,242,1.002865329512894,0.9387755102040817,0.9387755102040817
synth_full2010_D3,2023-01-01,all,276.0,0.4311594202898551,1.1173275393807713,29.864286630308932,26.578410691316353,76.10908917398996,0.20465049853260858,0.5931038916502299,0.7350604211757992,0.06924856456677857,1210,242,1.110344827586207,0.9791666666666666,0.9833333333333332
synth_full2010_D3,2023-01-01,KZT,56.0,0.4107142857142857,1.1167736757624398,25.030005935104782,23.10818859924925,89.40433635821448,0.19880930403513294,0.5837212831091644,0.7349636483807005,0.061208785205439306,242,242,1.1264367816091954,1.0,1.0
