scope,config_id,cutoff,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
all,synth_basis2018_D2,2026-01-01,2026-03-03,2026-08-25,141.0,0.41134751773049644,1.0791520512429467,16.470190460980454,15.337185024521988,98.06275537978357,0.23336188127654714,0.6667446677804141,0.6596976355005065,0.12636840980889932,610,122,1.121590909090909,0.9583333333333334,0.9916666666666666
all,synth_basis2018_D2,2026-03-01,2026-03-03,2026-08-25,142.0,0.4154929577464789,1.0891208957482221,15.136272169165263,13.265151131576554,99.97345955797198,0.2332147539802075,0.668008661616668,0.6586958254118236,0.13723039191003156,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
all,synth_full2010_D2,2026-01-01,2026-03-03,2026-08-25,142.0,0.4295774647887324,1.126040248146467,18.241206686317447,16.82468986917766,96.90603210760005,0.2331741117402049,0.6671699963229312,0.6593333409228036,0.12824830350572364,610,122,1.1295454545454546,1.0,1.0
all,synth_full2010_D2,2026-03-01,2026-03-03,2026-08-25,143.0,0.4125874125874126,1.080618525746885,15.130116906690498,14.703082253368356,99.33102373127822,0.23228868311448825,0.6663330990860762,0.6599765485365604,0.1314479183569265,610,122,1.1375,1.0,1.0
all,synth_full2010_D3,2026-01-01,2026-03-03,2026-08-25,142.0,0.4295774647887324,1.1267221801665406,18.712411829409636,15.796014958858601,96.48047567177083,0.23223780784667133,0.6640267900516428,0.6630673603442584,0.1231056557209987,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
all,synth_full2010_D3,2026-03-01,2026-03-03,2026-08-25,142.0,0.4154929577464789,1.089780469341408,18.057777998655954,15.53570782095778,96.86762228887403,0.23186169763880124,0.664412517466779,0.6625493789915871,0.13182472005650078,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
all,synth_no_oxr,2026-01-01,2026-03-03,2026-08-25,142.0,0.4154929577464789,1.0891208957482221,16.819862897257025,15.464610286084632,98.18599408629191,0.23320577142833787,0.6664544084746749,0.664655457018932,0.13408793547320827,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
all,synth_no_oxr,2026-03-01,2026-03-03,2026-08-25,142.0,0.4225352112676056,1.1075805719473446,15.908367421803023,13.911980464447256,99.52784261453066,0.23196307208930497,0.6639735475756863,0.6654921961270932,0.13165721348622703,610,122,1.1295454545454546,0.9583333333333334,0.9833333333333334
all,v3_long,2026-01-01,2026-03-03,2026-08-25,138.0,0.4420289855072464,1.159551262075413,23.87154486863034,19.39578078265065,91.91307257325367,0.23281114324810986,0.6655259677044962,0.665452351407657,0.1314466832929337,610,122,1.0977272727272729,0.9583333333333334,0.975
all,v3_long,2026-03-01,2026-03-03,2026-08-25,141.0,0.425531914893617,1.1146642302421197,17.952508252989958,15.022182859995887,96.09288400109658,0.23235923898564068,0.6649067192325383,0.6650482121105179,0.13074532386044183,610,122,1.121590909090909,0.9583333333333334,0.9833333333333334
KZT,small_basis2010_D2,2026-01-01,2026-03-03,2026-08-25,25.0,0.44,1.1183333333333334,38.43041228728931,27.79809510159678,101.14783756176828,0.2593268318051356,0.7430820480098822,0.6036036036036035,0.1685474336321655,122,122,0.9943181818181819,0.875,0.875
KZT,small_basis2010_D2,2026-03-01,2026-03-03,2026-08-25,30.0,0.36666666666666664,0.9319444444444446,2.870370277126305,3.3586482767557864,132.3451848707823,0.25902640318126613,0.7452871299551468,0.6024774774774775,0.1713587754541014,122,122,1.1931818181818181,1.0,1.0
KZT,small_no_oxr,2026-01-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,36.533657410270834,28.14353717076872,107.29700289820094,0.2585695438445874,0.7409208144802198,0.6019144144144144,0.15980530397977705,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,small_no_oxr,2026-03-01,2026-03-03,2026-08-25,25.0,0.44,1.1183333333333334,38.43041228728931,27.79809510159678,101.14783756176828,0.2573560194159765,0.739450722949497,0.6038851351351351,0.17211007026160272,122,122,0.9943181818181819,0.875,0.875
KZT,synth_availability2010_D2,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,29.28706125910524,24.165218020893228,105.28383158154587,0.24288882886349378,0.6949621943389194,0.6421734234234233,0.15233955637641386,122,122,1.0738636363636365,1.0,1.0
KZT,synth_availability2010_D2,2026-03-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,26.431126558282124,21.79005907443187,106.03478343591615,0.2435726852008969,0.7001746162312501,0.6435810810810811,0.15142161948887345,122,122,1.0738636363636365,1.0,1.0
