date,corridor,probability,pr20,pr60,pr120
2024-03-12,AMD,0.2932350234948397,0.075,0.5083333333333333,0.3625
2024-03-14,KGS,0.331106021360823,0.525,0.7583333333333333,0.5041666666666667
2024-03-14,KZT,0.3287540007484395,0.425,0.8083333333333333,0.7625
2024-03-14,UZS,0.316091442754562,0.375,0.575,0.3875
2024-03-16,AMD,0.7732877913786015,0.675,0.8916666666666667,0.6041666666666666
2024-03-16,TJS,0.7732877913786015,0.625,0.8416666666666667,0.5791666666666667
2024-03-20,KGS,0.5641145655039125,0.725,0.825,0.6041666666666666
2024-03-20,KZT,0.5897764807148761,0.825,0.9083333333333333,0.8875
2024-03-20,UZS,0.5641145655039125,0.625,0.7583333333333333,0.5125
2024-03-22,AMD,0.2698666602474581,0.925,0.975,0.7458333333333333
2024-03-27,KGS,0.412554339463863,0.825,0.8916666666666667,0.7041666666666667
2024-03-27,KZT,0.4362117097965516,0.775,0.825,0.8458333333333333
2024-03-27,TJS,0.412554339463863,0.825,0.8916666666666667,0.7208333333333333
2024-03-27,UZS,0.4062686125745686,0.725,0.725,0.5291666666666667
2024-03-29,AMD,0.3378709754513255,0.825,0.9416666666666667,0.8458333333333333
2024-04-02,KZT,0.4098424362934622,0.975,0.9916666666666667,0.9458333333333333
2024-04-03,UZS,0.3098092492742424,0.475,0.625,0.4791666666666667
2024-04-04,AMD,0.336793677717302,0.975,0.9916666666666667,0.9041666666666667
2024-04-09,KZT,0.3958955665174474,0.975,0.9916666666666667,0.9875
2024-04-09,UZS,0.3005098600821376,0.175,0.44166666666666665,0.3875
2024-04-10,AMD,0.5152276702140499,0.975,0.9916666666666667,0.9375
2024-04-10,KGS,0.4448012828669638,0.975,0.9916666666666667,0.8625
2024-04-10,TJS,0.4448012828669638,0.975,0.9916666666666667,0.8625
2024-04-13,KZT,0.3392798847983633,0.875,0.9583333333333334,0.9791666666666666
2024-04-16,AMD,0.2933457584652345,0.525,0.8416666666666667,0.8958333333333334
2024-04-16,KGS,0.3854552760840036,0.925,0.975,0.9541666666666667
2024-04-16,TJS,0.3854552760840036,0.975,0.9916666666666667,0.9625
2024-04-16,UZS,0.3005098600821376,0.925,0.875,0.6958333333333333
2024-04-19,KZT,0.3121324499284268,0.875,0.9583333333333334,0.9791666666666666
2024-04-23,AMD,0.3854552760840036,0.775,0.925,0.9625
2024-04-23,KGS,0.3475620550781063,0.675,0.8916666666666667,0.9458333333333333
2024-04-28,AMD,0.7410422307251677,0.075,0.6916666666666667,0.8458333333333333
2024-04-28,KGS,0.7339621064271463,0.075,0.5416666666666666,0.7208333333333333
2024-04-28,KZT,0.7424379337730898,0.175,0.725,0.8625
2024-04-28,TJS,0.7272088974826496,0.025,0.4083333333333333,0.6291666666666667
2024-04-28,UZS,0.7339621064271463,0.075,0.075,0.2708333333333333
2024-05-08,KZT,0.3082534796393645,0.275,0.7583333333333333,0.8791666666666667
2024-05-08,UZS,0.3082534796393645,0.075,0.025,0.14583333333333334
2024-05-09,AMD,0.3230716242866676,0.225,0.675,0.8375
2024-05-17,AMD,0.2684334595969505,0.025,0.475,0.7375
2024-05-18,KZT,0.3098092492742424,0.075,0.475,0.7375
2024-05-18,UZS,0.3216220423226436,0.075,0.025,0.10416666666666667
2024-05-28,AMD,0.3846847044076759,0.025,0.225,0.5625
2024-05-28,KGS,0.4218508604314513,0.025,0.008333333333333333,0.22083333333333333
2024-05-28,KZT,0.4218508604314513,0.025,0.008333333333333333,0.3125
2024-05-28,TJS,0.4218508604314513,0.025,0.008333333333333333,0.22083333333333333
2024-05-28,UZS,0.3760648728629702,0.025,0.008333333333333333,0.004166666666666667
2024-06-01,AMD,0.3230716242866676,0.325,0.325,0.6625
2024-06-01,KZT,0.3296533003564648,0.275,0.175,0.4875
