config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection
level_pr120,level_score,pr120,5,4415,1407,0.3186862967157418,886,275,0.31038374717832956,0.9739475790990227,273.2763715895029,0.30843834265180914,1.0063072720135724,0.9623759729495328,0.9178937974118697,2,4,4,0.9226145499409504,3,5,5,10,20,20,10.39683663810784,1.4107016191294264,8.986135018978414,9.228480473703758,-2.4156263809328933,9.221697626972661,-11.637324007905555,-7.968710636413453,120.09410632249075,115.40255938292076,-4.691546939569989,-2.454062744468075,,,,True
logit_core10,logistic,core10,5,4415,1407,0.3186862967157418,760,253,0.33289473684210524,1.044584408783152,237.2487095769924,0.312169354706569,1.0663914693196506,0.8567807968031266,0.8791120080726538,3,4,4,1.019409277176261,5,5,5,14,20,20,-0.09277993032193786,1.4107016191294264,-1.5034815494513643,-1.2424622443170397,12.243759260550144,9.221697626972661,3.022061633577483,4.9817217626095305,106.15437927894922,115.40255938292076,9.248180103971535,10.39978884122597,0.23814748472279204,0.223022766848746,-0.0678169233022905,True
logit_core_levels,logistic,core_levels,5,4415,1407,0.3186862967157418,849,295,0.3474676089517079,1.0903123621334687,278.6567520582672,0.3282176113760509,1.058650105626421,0.9301975705079647,0.9427036705461056,3,4,4,0.9469189465646645,4,5,5,12,20,20,-2.5290811622434513,1.4107016191294264,-3.9397827813728776,-4.136852340840566,24.14637159098955,9.221697626972661,14.924673964016888,11.929007863717628,95.5276570355524,115.40255938292076,19.874902347368362,17.52551702913277,0.22429314583209803,0.223022766848746,-0.005696185198050152,True
logit_core_vol,logistic,core_vol,5,4415,1407,0.3186862967157418,970,331,0.34123711340206186,1.0707618021820207,314.3717366621408,0.32409457387849566,1.0528936332330976,1.0656618746500675,0.9949994443827093,3,4,4,0.9795950736266389,4,5,5,12,20,20,-0.1204508786937821,1.4107016191294264,-1.5311524978232085,-1.6182022282746162,19.16878572440748,9.221697626972661,9.94708809743482,8.232424755195932,101.97950520582842,115.40255938292076,13.42305417709234,11.67207703583749,0.2397349267057423,0.223022766848746,-0.07493477053098574,True
logit_core_vol_calendar,logistic,core_vol_calendar,5,4415,1407,0.3186862967157418,958,322,0.33611691022964507,1.0546952087163348,311.44136914338935,0.32509537488871537,1.033902467375005,1.057530706232366,0.9947783579602266,3,4,4,0.9839740586777579,4,5,5,14,20,20,2.4664882614648254,1.4107016191294264,1.055786642335399,0.9445227789419801,21.464245363236422,9.221697626972661,12.242547736263761,10.192854704190585,101.25885739391722,115.40255938292076,14.143701989003532,12.274130426145575,0.24216679698710974,0.223022766848746,-0.08583890518830861,True
logit_full,logistic,full,5,4415,1407,0.3186862967157418,868,297,0.3421658986175115,1.0736762206086095,278.76554393978637,0.32115846076012255,1.0654114414662104,0.9504777689951587,0.9497787610619469,3,4,4,0.9943825924565094,4,5,5,13,20,20,-0.011056469154859801,1.4107016191294264,-1.4217580882842862,-1.545966691011957,16.215763502932116,9.221697626972661,6.994065875959455,6.338395241608753,107.20582824933771,115.40255938292076,8.196731133583043,8.42307042739904,0.22319158647235335,0.223022766848746,-0.0007569613900533234,True
weekly_first,weekly_first,none,5,4415,1407,0.3186862967157418,925,257,0.27783783783783783,0.871822355404445,294.4477113795296,0.318321850140032,0.8728205045164666,1.01883410730165,0.8470588235294118,0,4,4,0.8334655974201595,0,5,5,1,20,20,-4.22792632988719,1.4107016191294264,-5.638627949016616,-5.630159325890258,1.4116010352587585,9.221697626972661,-7.8100965917139025,-7.69879018482478,118.93684870970829,115.40255938292076,-3.5342893267875297,-3.445744727012837,,,,True
down3,down3,none,10,4315,1098,0.2544611819235226,305,76,0.24918032786885247,0.9792469168980861,75.79744029391452,0.24851619768496563,1.0026723818812355,0.3435580055919192,0.8390865639936271,2,4,4,0.7613713660528245,2,5,5,9,20,20,76.79398251302827,4.806976454501681,71.98700605852659,72.09739063980376,-3.9587332365309216,19.885644341882372,-23.844377578413294,-20.391741497422668,209.35066347262278,181.56445938533022,-27.78620408729256,-25.23465514356326,,,,True
hgb_core_vol,hist_gradient_boosting,core_vol,10,4315,1098,0.2544611819235226,880,239,0.2715909090909091,1.067317643649611,232.04744986266783,0.26369028393484983,1.0299617605858065,0.9936377920699483,0.9176088185415489,3,4,4,0.9475272751674316,2,5,5,11,20,20,9.528538686171489,4.806976454501681,4.721562231669807,4.592474118931612,37.17274340463237,19.885644341882372,17.28709906275,12.188027893710128,162.6301591828227,181.56445938533022,18.93430020250753,13.065403229590515,0.20735934580311657,0.195670287988233,-0.05973854249954669,True
level_pr120,level_score,pr120,10,4315,1098,0.2544611819235226,868,215,0.24769585253456222,0.9734131181116904,212.36138880063723,0.24465597788091847,1.0124250986220469,0.966077753043243,0.8845872365339579,3,4,4,0.9115567471389792,4,5,5,10,20,20,21.641543505444645,4.806976454501681,16.834567050942965,17.123966228379402,4.674949446664693,19.885644341882372,-15.21069489521768,-8.831846034975936,190.39741779208012,181.56445938533022,-8.832958406749896,-4.885248672255585,,,,True
logit_core10,logistic,core10,10,4315,1098,0.2544611819235226,701,166,0.23680456490727533,0.9306117464252215,174.57596967867536,0.24903847315074945,0.9508754286488553,0.8101615322960896,0.8567411969473826,1,4,4,0.9079889132365394,1,5,5,7,20,20,6.619896907638932,4.806976454501681,1.8129204531372505,2.0490540575591094,19.340495308592896,19.885644341882372,-0.5451490332894764,3.927907818876079,180.05110691762602,181.56445938533022,1.513352467704209,4.327442233567552,0.21207597514889245,0.195670287988233,-0.08384352744268475,True
logit_core_levels,logistic,core_levels,10,4315,1098,0.2544611819235226,781,207,0.26504481434058896,1.0415923259377426,201.50137496527657,0.2580043213383823,1.027288275505172,0.8684576450240982,0.93631669535284,2,4,4,0.9350912713344108,3,5,5,11,20,20,10.228605144066766,4.806976454501681,5.421628689565084,5.490796553561778,34.3413555854266,19.885644341882372,14.455711243544226,13.540153532845931,160.90858683370752,181.56445938533022,20.655872551622707,18.13312815102634,0.2169734458748804,0.195670287988233,-0.10887272720694585,True
logit_core_vol,logistic,core_vol,10,4315,1098,0.2544611819235226,915,253,0.27650273224043714,1.0866204823474375,236.47941086066416,0.2584474435635674,1.0698605814316322,1.0196952200769456,0.9723677706376668,3,4,4,0.8539533007039194,4,5,5,14,20,20,10.798511125341681,4.806976454501681,5.99153467084,5.948007424608084,33.6829535823663,19.885644341882372,13.79730924048393,11.606287792331898,165.64410488910016,181.56445938533022,15.920354496230061,13.653853454309228,0.219878369340311,0.195670287988233,-0.1237187393189394,True
