config_id,track,block,delta_brier,ci95_low,ci95_high,improved_years,improved_cells,n_blocks
capacity_hgb4,diagnostic_2026,20,0.010688839116334779,0.001238401384946587,0.021915890056398834,0,0,8
capacity_hgb4,diagnostic_2026,60,0.010688839116334779,0.007038327133823857,0.01780266005476885,0,0,3
capacity_logit,development_2023_2025,month,0.012310726337784045,0.002487689034639752,0.021505152994593726,0,1,36
capacity_logit,development_2023_2025,20,0.012310726337784045,0.003448776032148605,0.021079810651324627,0,1,39
capacity_logit,development_2023_2025,60,0.012310726337784045,0.0007008032553446569,0.023376549758214814,0,1,15
capacity_logit,diagnostic_2026,month,0.0025197493186127125,-0.006145792957398325,0.0107048517580307,0,2,8
capacity_logit,diagnostic_2026,20,0.0025197493186127125,-0.009753769468382016,0.014700421886707215,0,2,8
capacity_logit,diagnostic_2026,60,0.0025197493186127125,-0.01279888715910733,0.010223275833847491,0,2,3
features_basis_normalized,development_2023_2025,month,0.0012084648304383494,-0.002656535452323186,0.005147980183280892,2,8,36
features_basis_normalized,development_2023_2025,20,0.0012084648304383494,-0.003111000131140469,0.005469558074700615,2,8,39
features_basis_normalized,development_2023_2025,60,0.0012084648304383494,-0.001369738446122275,0.0036036143730285696,2,8,15
features_basis_normalized,diagnostic_2026,month,0.0076926955066889515,-0.0036254342055083103,0.019928620706425083,0,0,8
features_basis_normalized,diagnostic_2026,20,0.0076926955066889515,-0.002507323359948107,0.017088702102925617,0,0,8
features_basis_normalized,diagnostic_2026,60,0.0076926955066889515,-0.00949122260122071,0.01788747752944212,0,0,3
objective_utility_lower,development_2023_2025,month,0.014168579588404678,0.0057716780789087724,0.023211912854954192,0,1,36
objective_utility_lower,development_2023_2025,20,0.014168579588404678,0.006444452822809855,0.022940025497451024,0,1,39
objective_utility_lower,development_2023_2025,60,0.014168579588404678,0.006754986405819906,0.0220121153580741,0,1,15
objective_utility_lower,diagnostic_2026,month,0.008805390802098745,0.0027654030566017663,0.014447095989169502,0,1,8
objective_utility_lower,diagnostic_2026,20,0.008805390802098745,0.0032185095359037017,0.014031484004918163,0,1,8
objective_utility_lower,diagnostic_2026,60,0.008805390802098745,0.00695460820908903,0.011408295135400759,0,1,3
capacity_hgb6,development_2023_2025,month,0.0115447536761943,0.008203778134747012,0.014870570927993362,0,0,36
capacity_hgb6,development_2023_2025,20,0.0115447536761943,0.007507914563985507,0.015509999270701874,0,0,39
capacity_hgb6,development_2023_2025,60,0.0115447536761943,0.006647511394516409,0.015824486635893063,0,0,15
capacity_hgb6,diagnostic_2026,month,0.014876476717710729,0.0017863709816335735,0.029862029309105764,0,0,8
capacity_hgb6,diagnostic_2026,20,0.014876476717710729,0.0023861385599966457,0.029325965304521858,0,0,8
capacity_hgb6,diagnostic_2026,60,0.014876476717710729,0.010148446062037159,0.02406828066716319,0,0,3
basis_train_3m,development_2023_2025,month,0.016542569806076924,0.008535702571030397,0.02437014833400257,0,1,36
basis_train_3m,development_2023_2025,20,0.016542569806076924,0.00938955040771626,0.023748506661845754,0,1,39
basis_train_3m,development_2023_2025,60,0.016542569806076924,0.010253067307816116,0.02218987682362223,0,1,15
basis_train_3m,diagnostic_2026,month,0.021043214069628596,0.0026676185652314117,0.039528128682713666,0,0,8
basis_train_3m,diagnostic_2026,20,0.021043214069628596,0.002860018140299142,0.04066085677796238,0,0,8
basis_train_3m,diagnostic_2026,60,0.021043214069628596,0.009765628132269801,0.053352094600406796,0,0,3
long_short_ensemble,development_2023_2025,month,-0.004661420813573951,-0.00797049608262071,-0.0015208084180770023,3,13,36
long_short_ensemble,development_2023_2025,20,-0.004661420813573951,-0.007975661528158356,-0.0013336696070394578,3,13,39
long_short_ensemble,development_2023_2025,60,-0.004661420813573951,-0.008030338838806142,-0.0016238487272456084,3,13,15
long_short_ensemble,diagnostic_2026,month,3.063785407031763e-05,-0.005815467821231699,0.005553751811403745,0,2,8
long_short_ensemble,diagnostic_2026,20,3.063785407031763e-05,-0.005418251494793951,0.004762200359393201,0,2,8
long_short_ensemble,diagnostic_2026,60,3.063785407031763e-05,-0.008419215499209836,0.0032377974761384426,0,2,3
features_full,development_2023_2025,month,0.010971474461866356,0.0051032917831167765,0.01663805546830213,0,1,36
features_full,development_2023_2025,20,0.010971474461866356,0.004069805458283027,0.017358141592868973,0,1,39
features_full,development_2023_2025,60,0.010971474461866356,0.0038650446329958643,0.01742221336493711,0,1,15
features_full,diagnostic_2026,month,0.005762143212883447,8.270464620229232e-05,0.011217303719126208,0,1,8
features_full,diagnostic_2026,20,0.005762143212883447,1.7600886169012768e-05,0.01183765046381047,0,1,8
features_full,diagnostic_2026,60,0.005762143212883447,0.0031983128709966663,0.00803536840871958,0,1,3
official_train_allm,development_2023_2025,month,0.025318357885328026,0.01435142239170327,0.03636902509891194,0,0,36
official_train_allm,development_2023_2025,20,0.025318357885328026,0.015585079107197256,0.034790622414552455,0,0,39
official_train_allm,development_2023_2025,60,0.025318357885328026,0.013310419254295432,0.0368196072588116,0,0,15
official_train_allm,diagnostic_2026,month,0.032513773400870576,0.01530841557270197,0.04797215128151262,0,0,8
official_train_allm,diagnostic_2026,20,0.032513773400870576,0.015418821548571469,0.04889283397783885,0,0,8
official_train_allm,diagnostic_2026,60,0.032513773400870576,0.02063650153321214,0.04488278179586024,0,0,3
