track,trim_first_dates_per_outer_fold,inferential_status,baseline_reestimated_each_draw,candidate_policy,baseline_policy,bootstrap_repetitions,candidate_support_status,baseline_support_status,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,lift_paired_valid_draws,hit_rate_delta,hit_rate_delta_ci95_low,hit_rate_delta_ci95_high,hit_rate_paired_valid_draws,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,forward_delta_bps_paired_valid_draws,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,symmetric_delta_bps_paired_valid_draws,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,regret_bps_paired_valid_draws,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high,signals_paired_valid_draws
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,baseline_reproduction::threshold_0.50,10000,descriptive retrospective interval,descriptive retrospective interval,-0.07559995813441,-0.39175799158788377,0.16296024967098144,10000,-0.0031053337460021924,-0.08650468808178642,0.0810331532308589,10000,-0.9338382492524033,-20.73077733968973,19.758901057754557,10000,7.7561948825670015,-6.979197811172393,22.65394996861034,10000,5.203941949948302,-18.021114539870744,31.599104735638623,10000,89.0,37.0,138.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,baseline_reproduction::threshold_0.65,10000,descriptive retrospective interval,descriptive retrospective interval,-0.06395737146178226,-0.6918776827277632,0.4347771501735334,10000,0.005046657779470665,-0.19013998410660798,0.19025109664376638,10000,-9.961923906567932,-52.38050930433972,33.983251365800506,10000,-30.211539943063105,-57.74934469452739,-4.119337226619879,10000,-17.517232666057495,-79.66498374685939,38.8894191892196,10000,60.0,18.0,105.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.6995200315248038,0.18644855918242453,1.494635352917177,10000,0.22541407867494823,0.05043704228679424,0.39666720491388036,10000,60.637548173171936,1.897504898399146,111.40487809855303,10000,-8.744083839953468,-32.73329219323148,22.979688942568373,10000,-15.819545959669142,-65.56187975800506,36.685000766229315,10000,-122.0,-148.0,-92.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,baseline_reproduction::legacy,10000,sparse; no strong inference,descriptive retrospective interval,1.224707063943756,0.7015414093245966,2.174024212989223,9008,0.5297619047619048,0.40384615384615385,0.651685393258427,9008,171.4561389272896,-1.5189127276210144,344.0263066364638,9008,47.8309722097013,-1.9804742847960455,96.3675009877184,9008,-80.82230456741553,-110.63076872385204,-53.552900429989606,9008,-166.0,-186.0,-147.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,-0.03834348932159393,-0.3058553752122477,0.1339572099517362,10000,-0.013590696394164603,-0.0865948840982579,0.03913829761235613,10000,-8.129978714271111,-19.832766735098136,1.2331058477037402,10000,-2.120009125139706,-12.076617176108556,6.453026960989355,10000,6.011487682963676,-1.6832696952703756,15.45790122288926,10000,5.0,-3.0,13.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,baseline_reproduction::legacy,10000,sparse; no strong inference,descriptive retrospective interval,0.4773092295043573,-0.11588251755888801,1.3981438232520764,10000,0.15939153439153442,-0.03213480944449887,0.36696637426900575,10000,54.76509653187021,29.65615208189013,104.96172998312457,10000,-12.630989983207272,-38.90166165542453,22.42324567968208,10000,-42.3468651736278,-75.69405973326191,-17.458601946501247,10000,-114.0,-141.0,-82.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,baseline_reproduction::legacy,10000,sparse; no strong inference,descriptive retrospective interval,-0.07529293605624354,-0.3633840297962143,0.2756060187394809,6547,-0.041666666666666685,-0.1764218874622272,0.05862923203963666,6547,-0.95548020347848,-47.63041269943378,35.08260859575172,6547,-92.97689598855105,-103.04529101711326,-83.75004375032994,6547,14.421622910189441,-13.309133379455162,42.82605070671963,6547,-161.0,-186.0,-133.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.012125719041370386,-0.3606877841580254,0.28149157412883574,10000,0.003750344068263134,-0.09790868350977461,0.09981684981684985,10000,-16.90483861478561,-33.52338480441809,-0.28349362105772585,10000,-6.052916374487477,-18.223501601038397,3.6421541152693324,10000,17.564475327964715,-0.6026111944935091,35.25620246808646,10000,5.0,-5.0,17.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.17000786123778866,-0.1815268297997743,0.5955720932448663,10000,0.048749246534056656,-0.05674281503316142,0.1526334026334027,10000,-4.084920286741415,-38.04265793418502,43.52670185799602,10000,22.26828695870917,5.09685514063062,40.052057229735496,10000,0.4255686348863179,-35.552828354898026,35.43703941219515,10000,-89.0,-116.0,-61.0,10000
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,baseline_reproduction::legacy,10000,sparse; no strong inference,descriptive retrospective interval,0.4790904220418246,-0.4112068815766825,1.4511024192390882,10000,0.14514652014652019,-0.12943404634581102,0.4268476621417798,10000,32.044187156736285,-39.106008203204524,118.07257308703777,10000,41.564824323665434,12.966913710050331,74.8015384340335,10000,-20.357045612520416,-60.338539832929875,19.49994203711476,10000,-129.0,-154.0,-106.0,10000
