config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
objective_utility_lower,development_2023_2025,3635,727,805,0.20478516270032082,0.5927365528794785,0.6461897479168863,0.368944099378882,1.149547569298135,21.553254185202974,18.531986928854884,17.203888014520622,94.0662137928866,0.7551020408163265,0.9400226757369612,0.7254901960784313,0.9227712418300655
objective_utility_mean,development_2023_2025,3635,727,737,0.2080915783185828,0.6112566826081438,0.6457608198853848,0.39755766621438265,1.248458407116452,32.01950131050376,26.70166098766215,25.39275645107593,90.79004688452663,0.673469387755102,0.871485260770975,0.6470588235294118,0.8530196078431371
objective_utility_median,development_2023_2025,3635,727,722,0.19899288749286811,0.5843432189182022,0.6840345603487676,0.43213296398891965,1.3405164717011955,37.52209753979281,26.715890581121904,25.382056165464,79.38562400554491,0.6530612244897959,0.8523242630385487,0.6274509803921569,0.838535947712418
official_train_120m,development_2023_2025,3635,727,730,0.21524578172415607,0.62169855963951,0.5437249938473439,0.3287671232876712,0.9884938919873837,1.856184500963104,1.790592279438767,0.2554118546888181,105.21068481651324,0.3673469387755102,0.8298185941043084,0.37254901960784315,0.8234248366013072
official_train_12m,development_2023_2025,3635,727,818,0.22074833707878924,0.6327565133536971,0.546603909573533,0.3141809290953545,0.9840651059118363,2.6977741120977368,-0.5889333445714333,-1.8361638223140138,112.64678244883382,0.6122448979591837,0.9124433106575961,0.5882352941176471,0.9015163398692809
official_train_24m,development_2023_2025,3635,727,742,0.2187136018634263,0.629144222269849,0.5507182786625884,0.3504043126684636,1.0890127982273297,6.022109865660774,0.2774751702056668,-1.0549817329137183,103.45404775949888,0.6326530612244898,0.838577097505669,0.6078431372549019,0.8292549019607842
official_train_60m,development_2023_2025,3635,727,856,0.22872901311531876,0.65945228335838,0.47274865520514714,0.31542056074766356,0.9997319586343604,1.4488285049864715,3.7577524562320503,2.5393996697389434,111.42530603584223,0.7755102040816326,0.9481292517006802,0.7647058823529411,0.9331764705882354
official_train_allm,development_2023_2025,3635,727,679,0.21593494099724414,0.6235290616431808,0.5435650247864149,0.33726067746686306,1.0082961883446349,1.6964788420452401,0.3772061565895464,-1.2637027831800396,105.5043931748791,0.22448979591836735,0.7658446712018141,0.23529411764705882,0.7632679738562091
annual_recent_calibration_1m,diagnostic_2026,780,156,169,0.23541096107573817,0.7601077739828552,0.6643304057063174,0.4911242603550296,1.442031406615436,26.907798440083614,28.957542627441555,26.60519797096938,87.54747867582728,0.7419354838709677,0.9419354838709678,0.7272727272727273,0.9151515151515153
annual_recent_calibration_3m,diagnostic_2026,780,156,173,0.23304894253633304,0.7275634173153499,0.6667980813456862,0.47398843930635837,1.3874186550976138,20.865584512344135,22.23845829454318,19.863802110261165,98.38677989538024,0.9032258064516129,0.9419354838709678,0.8787878787878788,0.9090909090909092
annual_recent_calibration_6m,diagnostic_2026,780,156,183,0.21207509417338766,0.6128114176839681,0.6718575464879427,0.44808743169398907,1.3098505017407331,18.088897320242985,18.998752895596066,16.61717256956698,97.89209376019824,0.9354838709677419,0.9806451612903226,0.9090909090909091,0.9515151515151515
baseline_reproduction,diagnostic_2026,780,156,168,0.20662686602476496,0.6058275047333948,0.7058975987617817,0.47023809523809523,1.3752929360562436,37.770423127129746,28.294596557398357,25.916718484748642,80.82230456741553,0.8709677419354839,0.9096774193548386,0.8787878787878788,0.903030303030303
basis_train_120m,diagnostic_2026,780,156,173,0.20840602466731792,0.6083517625447268,0.6983960108344102,0.45664739884393063,1.3369494467346497,29.640444412858635,26.176827733616452,23.796709359608936,86.8337922503792,0.9354838709677419,0.9483870967741936,0.9090909090909091,0.9212121212121213
basis_train_12m,diagnostic_2026,780,156,165,0.22317790788497316,0.6505249395004139,0.6693497163633179,0.4727272727272727,1.385088218554354,32.279475635957944,36.44267956827842,34.076450922549924,84.84901817827655,0.8709677419354839,0.9548387096774194,0.8484848484848485,0.9272727272727274
basis_train_36m,diagnostic_2026,780,156,175,0.20802034309993897,0.6067954162526145,0.7071022333194618,0.4342857142857143,1.27237604636188,27.04838699353716,21.85297354981143,19.47843751805614,95.09204435505488,0.9032258064516129,0.9483870967741936,0.9090909090909091,0.9515151515151515
