scenario,period,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2026 diagnostic,occasional,frequency_gate,1892,415,140,1242,1242,122330554.91845416,122330554.91845416,136096.117626992,134204.117626992,0.0,13590383.252572382,843,42,908.0,123693.56256812195,450,14464.285714285716,4.204444444444444,0.13080493827160491,0.21934460887949261,0.07399577167019028,0.11272141706924316,302.4358169488711,298.23137250442664,11.125275914730706,100.14148615068068,0.4799154334038055,65.37714723473677,0.0
base,2026 diagnostic,occasional,market_only,15120,1284,378,1242,1242,122330554.91845416,122330554.91845416,318848.07951179787,303728.07951179787,0.0,36657306.86671915,2338,118,7110.0,923384.7120023633,450,14464.285714285716,33.6,1.0453333333333332,0.08492063492063492,0.025,0.30434782608695654,708.5512878039953,674.9512878039952,26.064467681385306,86.98077048351777,0.47023809523809523,61.07041746047376,0.0
base,2026 diagnostic,occasional,matched_calendar,1714,140,52,1242,1242,122330554.91845416,122330554.91845416,6082.812426933839,4368.812426933839,0.0,4833130.704718507,302,26,717.0,84138.48673080474,450,14464.285714285716,3.8088888888888888,0.11849876543209875,0.08168028004667445,0.030338389731621937,0.04186795491143317,13.517360948741864,9.708472059852975,0.49724391677849056,12.585656789698007,0.41831971995332556,49.08896542053952,0.0
base,2026 diagnostic,occasional,matched_random_market,1714,200,63,1242,1242,122330554.91845416,122330554.91845416,32529.472839299946,30815.472839299946,0.0,5560974.392359793,355,17,779.0,94660.33504493385,450,14464.285714285716,3.8088888888888888,0.11849876543209875,0.11668611435239207,0.0367561260210035,0.050724637681159424,72.28771742066655,68.47882853177765,2.659145367319242,58.49599466595656,0.4544924154025671,55.227733398444485,0.0
base,2026 diagnostic,occasional,user_aware,1714,940,326,1242,1242,122330554.91845416,122330554.91845416,291813.2489092368,290099.2489092368,0.0,31995569.430658426,2038,104,794.0,105384.0838919515,450,14464.285714285716,3.8088888888888888,0.11849876543209875,0.5484247374562428,0.19019836639439908,0.26247987117552335,648.4738864649706,644.6649975760818,23.854485831749905,91.20426799768686,0.4632438739789965,61.48429631969165,0.0
base,2026 diagnostic,occasional,weekly_fixed,14850,1268,380,1242,1242,122330554.91845416,122330554.91845416,193928.20662215725,179078.20662215725,0.0,35642021.401151896,2360,172,4500.0,392579.6945348392,450,14464.285714285716,33.0,1.0266666666666666,0.08538720538720539,0.02558922558922559,0.3059581320450886,430.9515702714605,397.9515702714605,15.852802004489414,54.40999107191204,0.30303030303030304,26.436343066319136,0.0
execution_drag_25bps,2023-2025 OOT,frequent,frequency_gate,19784,4112,1392,51909,51909,971907824.8527851,971907824.8527851,104618.83251175414,18668.321064173855,66166.51144758028,26466604.579032112,2258,328,8916.0,1081130.10524831,1350,67307.14285714286,14.654814814814815,0.293936113764194,0.20784472300849172,0.0703598867771937,0.026816159047564007,77.49543149018825,13.828385973462115,1.076427515413828,39.52861886735457,0.45066720582288716,54.646689509113926,0.0
execution_drag_25bps,2023-2025 OOT,frequent,market_only,59670,10472,3139,51909,51909,971907824.8527851,971907824.8527851,236753.4866566876,29026.57924468439,148056.9074120032,59222762.964801274,5047,715,27000.0,3251322.249347798,1350,67307.14285714286,44.2,0.8865329512893984,0.1754985754985755,0.0526059996648232,0.06047120923153981,175.37295307902787,21.50116981087733,2.4359664631010522,39.97677156626426,0.45248868778280543,54.48839030246017,0.0
execution_drag_25bps,2023-2025 OOT,frequent,matched_calendar,11257,2002,688,51909,51909,971907824.8527851,971907824.8527851,-5413.176125817528,-49627.48335183259,32957.307226015066,13182922.890406026,1128,289,2875.0,-215880.8769682357,1350,67307.14285714286,8.33851851851852,0.16724822243446885,0.17784489650883895,0.061117526872168426,0.013253963667186808,-4.009760093198169,-36.76109877913525,-0.05569639411677195,-4.106203283459247,0.25539664208936663,-19.17747863269394,0.0
execution_drag_25bps,2023-2025 OOT,frequent,matched_random_market,11257,2385,776,51909,51909,971907824.8527851,971907824.8527851,58702.026125192766,10015.899522960612,37429.12660223216,14971650.640892863,1241,183,5103.0,615513.0095055794,1350,67307.14285714286,8.33851851851852,0.16724822243446885,0.21186817091587457,0.06893488496046904,0.014949238089733958,43.4829823149576,7.419184831822675,0.6039875863133869,39.208787015679356,0.4533179355067958,54.678245492189696,0.0
execution_drag_25bps,2023-2025 OOT,frequent,user_aware,11257,7512,2557,51909,51909,971907824.8527851,971907824.8527851,190065.23401295717,59776.47066422338,119031.76334873377,47612705.33949351,4068,585,5057.0,621425.1736358416,1350,67307.14285714286,8.33851851851852,0.16724822243446885,0.667318113174025,0.22714755263391667,0.04925928066423934,140.7890622318201,44.27886715868399,1.9555890914011969,39.91901587144282,0.4492315892333659,55.203444402224534,0.0
execution_drag_25bps,2023-2025 OOT,frequent,weekly_fixed,68400,11655,3427,51909,51909,971907824.8527851,971907824.8527851,-64434.52181689358,-294514.5694247508,161680.0476078572,64672019.04314288,5537,1726,18630.0,-275063.9083495474,1350,67307.14285714286,50.666666666666664,1.0162368672397326,0.17039473684210527,0.05010233918128655,0.06601938006896685,-47.72927541992117,-218.15894031463023,-0.6629694727136648,-9.96327666434987,0.2723684210526316,-4.021402168853032,0.0
execution_drag_25bps,2023-2025 OOT,monthly,frequency_gate,14691,3720,1254,15436,15436,727562329.9799291,727562329.9799291,311497.2092853851,149541.28809944564,147264.92118593946,58905968.474375784,4086,346,6597.0,803342.5546457015,1350,67307.14285714286,10.882222222222222,0.21826806749442854,0.2532162548499081,0.08535838268327547,0.08123866286602748,230.7386735447297,110.77132451810787,4.281381765517989,52.880415576375256,0.44905043904431285,54.68263254003822,0.0
execution_drag_25bps,2023-2025 OOT,monthly,market_only,59670,7640,2220,15436,15436,727562329.9799291,727562329.9799291,490879.16211527254,170303.1537479912,260906.00836728135,104362403.34691255,7163,655,27000.0,3251322.249347798,1350,67307.14285714286,44.2,0.8865329512893984,0.1280375398022457,0.03720462543991956,0.1438196423944027,363.61419415946114,126.15048425777125,6.746901837658557,47.03601549722213,0.45248868778280543,54.48839030246017,0.0
execution_drag_25bps,2023-2025 OOT,monthly,matched_calendar,9973,1099,414,15436,15436,727562329.9799291,727562329.9799291,7212.261863567457,-54349.63563808149,51588.89750164895,20635559.000659578,1350,185,2556.0,-165823.6799012483,1350,67307.14285714286,7.387407407407407,0.14817149527751247,0.11019753334001806,0.04151208262308232,0.026820419797875097,5.342416195235153,-40.25898936154184,0.09912912703666801,3.495064932981428,0.2562919883685952,-16.627261596435208,0.0
execution_drag_25bps,2023-2025 OOT,monthly,matched_random_market,9973,1360,452,15436,15436,727562329.9799291,727562329.9799291,82596.43885533603,19938.79061323403,52684.648242102,21073859.296840798,1417,138,4571.0,554875.9787628863,1350,67307.14285714286,7.387407407407407,0.14817149527751247,0.13636819412413517,0.04532237040008022,0.02928219746048199,61.18254730024891,14.769474528321503,1.1352489738936125,39.19378870851536,0.45833751128045724,55.63781999026234,0.0
execution_drag_25bps,2023-2025 OOT,monthly,user_aware,9973,5805,1927,15436,15436,727562329.9799291,727562329.9799291,434412.0990365164,198397.28878240532,226041.81025411107,90416724.10164444,6151,561,4441.0,552362.0389916953,1350,67307.14285714286,7.387407407407407,0.14817149527751247,0.5820715933019152,0.19322169858618268,0.12483804094324955,321.7867400270492,146.96095465363356,5.970788771437634,48.04554725386424,0.4453023162538855,55.385745411781336,0.0
execution_drag_25bps,2023-2025 OOT,monthly,weekly_fixed,68400,8770,2543,15436,15436,727562329.9799291,727562329.9799291,-100818.23384364639,-466776.85372924834,297558.6198856019,119023447.95424077,8258,1270,18630.0,-275063.9083495474,1350,67307.14285714286,50.666666666666664,1.0162368672397326,0.12821637426900584,0.037178362573099415,0.1647447525265613,-74.68017321751584,-345.7606323920358,-1.3856989248801215,-8.470451459481037,0.2723684210526316,-4.021402168853032,0.0
execution_drag_25bps,2023-2025 OOT,occasional,frequency_gate,7309,1656,560,5750,5750,562703670.9925017,562703670.9925017,230910.16992991272,89583.56931063268,134017.60061928004,53607040.247712016,3275,186,3301.0,401617.1007232413,1350,67307.14285714286,5.414074074074074,0.10859174360607025,0.22656998221370914,0.07661786838144753,0.09739130434782609,171.04457031845388,66.35819948935755,4.103583854760203,43.07459782575258,0.45163497058421126,54.948296719556886,0.0
