scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2024,frequent,matched_calendar,4204,756,245,17357,17357,325905070.49749804,325905070.49749804,-6836.669560477375,-11040.669560477376,0.0,4694151.118913687,391,98,1089.0,-154020.97086237487,450,22500.0,9.342222222222222,0.18684444444444445,0.17982873453853473,0.05827783063748811,0.014115342513107103,-15.192599023283055,-24.53482124550528,-0.20977487555014457,-14.564229798506158,0.25903901046622263,-36.636767569546834,0.0
base,2024,frequent,matched_random_market,4204,874,270,17357,17357,325905070.49749804,325905070.49749804,8127.4213797601415,3923.421379760142,0.0,5198026.238182705,436,79,1858.0,172507.18996747164,450,22500.0,9.342222222222222,0.18684444444444445,0.20789724072312082,0.06422454804947669,0.015555683585873135,18.060936399466982,8.71871417724476,0.24938002245112464,15.635591294363282,0.4419600380589914,41.03406041091143,0.0
base,2024,frequent,user_aware,4204,2794,932,17357,17357,325905070.49749804,325905070.49749804,52625.85457135235,48421.85457135235,0.0,17685006.923264723,1481,227,1849.0,181139.23131074634,450,22500.0,9.342222222222222,0.18684444444444445,0.6646051379638439,0.22169362511893434,0.05369591519271764,116.94634349189411,107.6041212696719,1.6147602272961985,29.757327661615303,0.43981921979067556,43.087352833193705,0.0
base,2024,frequent,weekly_fixed,22950,3792,1089,17357,17357,325905070.49749804,325905070.49749804,-5879.206972034735,-28829.206972034735,0.0,21005835.39101434,1757,526,6480.0,119019.26355998935,450,22500.0,51.0,1.02,0.16522875816993465,0.04745098039215686,0.06274125712968831,-13.064904382299412,-64.06490438229942,-0.18039630261229303,-2.798844636547843,0.2823529411764706,5.186024555990821,0.0
base,2024,monthly,frequency_gate,5522,1365,462,5164,5164,242765930.2014239,242765930.2014239,81635.49177378659,76113.49177378659,0.0,21866942.20162911,1493,136,2375.0,230941.46782470937,450,22500.0,12.27111111111111,0.24542222222222224,0.24719304599782688,0.08366533864541832,0.08946553059643687,181.41220394174798,169.14109283063686,3.362724403134051,37.33283374559094,0.4300977906555596,41.822069508277686,0.0
base,2024,monthly,market_only,22320,2846,805,5164,5164,242765930.2014239,242765930.2014239,157009.97236764108,134689.97236764108,0.0,38031835.41375195,2602,238,9900.0,955749.5476599063,450,22500.0,49.6,0.992,0.12750896057347672,0.0360663082437276,0.1558869093725794,348.91104970586906,299.31104970586904,6.467545599885835,41.28382726195427,0.4435483870967742,42.82032023565888,0.0
base,2024,monthly,matched_calendar,3760,434,159,5164,5164,242765930.2014239,242765930.2014239,-8107.04537732581,-11867.045377325809,0.0,8021317.333629043,492,75,975.0,-134863.21641493696,450,22500.0,8.355555555555556,0.1671111111111111,0.11542553191489362,0.04228723404255319,0.030790085205267236,-18.015656394057356,-26.37121194961291,-0.3339449390859483,-10.106875267653798,0.25930851063829785,-35.867876706100255,0.0
base,2024,monthly,matched_random_market,3760,500,155,5164,5164,242765930.2014239,242765930.2014239,16904.581322646933,13144.581322646933,0.0,7164753.287919521,483,52,1731.0,166784.05441299954,450,22500.0,8.355555555555556,0.1671111111111111,0.13297872340425532,0.041223404255319146,0.030015491866769946,37.56573627254874,29.210180716993182,0.6963325252691401,23.594087114136535,0.46037234042553193,44.357461280053066,0.0
base,2024,monthly,user_aware,3760,2158,719,5164,5164,242765930.2014239,242765930.2014239,133346.82533681052,129586.82533681054,0.0,34058355.13532041,2285,214,1586.0,161455.5311478903,450,22500.0,8.355555555555556,0.1671111111111111,0.573936170212766,0.19122340425531914,0.1392331525948877,296.32627852624563,287.9707229706901,5.492814631203484,39.15245607340633,0.4218085106382979,42.940300837204866,0.0
base,2024,monthly,weekly_fixed,22950,2938,841,5164,5164,242765930.2014239,242765930.2014239,34170.407572707,11220.407572707003,0.0,39028651.83428062,2813,400,6480.0,119019.26355998935,450,22500.0,51.0,1.02,0.12801742919389977,0.03664488017429194,0.162858249419055,75.93423905046001,24.934239050460008,1.4075454304628197,8.755210842997554,0.2823529411764706,5.186024555990821,0.0
