scenario,year,seed,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
high_contact_cost,2025,4103,frequency_gate,4251,968,319,8071,8071,248383586.7778398,248383586.7778398,69850.24435415503,27340.244354155035,0.0,13485075.994035274,982,99,1569.0,172596.13838836807,450,22435.714285714283,9.446666666666667,0.1894746895893028,0.2277111267936956,0.07504116678428605,0.03952422252508983,155.2227652314556,60.756098564788964,2.8121924343024625,51.79818369955885,0.36908962597035994,40.6013028436528,0.0
high_contact_cost,2025,4103,market_only,18180,2347,673,8071,8071,248383586.7778398,248383586.7778398,121471.71910748615,-60328.28089251386,0.0,32958337.499251366,2229,210,6930.0,748758.3869724876,450,22435.714285714283,40.4,0.8103151862464184,0.1290979097909791,0.03701870187018702,0.08338495849337133,269.93715357219145,-134.06284642780858,4.890488968425009,36.856142731788374,0.3811881188118812,41.18582986647346,0.0
high_contact_cost,2025,4103,matched_calendar,2777,350,120,8071,8071,248383586.7778398,248383586.7778398,6879.523002400038,-20890.476997599962,0.0,4706160.753940823,352,63,552.0,-17300.546633884933,450,22435.714285714283,6.171111111111111,0.12377586755810253,0.12603528988116672,0.04321209938782859,0.014868046090942883,15.287828894222308,-46.42328221688881,0.276971723117649,14.618121568922815,0.19877565718401152,-6.229941171726659,0.0
high_contact_cost,2025,4103,matched_random_market,2777,426,133,8071,8071,248383586.7778398,248383586.7778398,15448.051575405483,-12321.948424594517,0.0,6152325.180694348,413,45,1014.0,96339.53960305678,450,22435.714285714283,6.171111111111111,0.12377586755810253,0.1534029528267915,0.04789341015484336,0.01647875108412836,34.329003500901074,-27.38210761021004,0.6219433327220043,25.109289775320402,0.3651422398271516,34.69194800254115,0.0
high_contact_cost,2025,4103,user_aware,2777,1708,560,8071,8071,248383586.7778398,248383586.7778398,131329.44674903623,103559.44674903624,0.0,27088223.7699608,1871,165,1047.0,117417.05067345705,450,22435.714285714283,6.171111111111111,0.12377586755810253,0.6150522146200936,0.20165646380986677,0.06938421509106678,291.8432149978583,230.13210388674722,5.287364131129181,48.48211823127091,0.3770255671588045,42.28197719605944,0.0
high_contact_cost,2025,4103,weekly_fixed,22950,3025,849,8071,8071,248383586.7778398,248383586.7778398,-181151.07246987993,-410651.07246987993,0.0,36717670.66033192,2546,506,4500.0,-772264.0712017276,450,22435.714285714283,51.0,1.022922636103152,0.1318082788671024,0.03699346405228758,0.10519142609342089,-402.5579388219554,-912.5579388219554,-7.293198186718584,-49.33621038918115,0.19607843137254902,-33.64985059702517,0.0
high_contact_cost,2026,4101,frequency_gate,3538,850,268,5352,5352,166206358.42126054,166206358.42126054,83658.67909972255,48278.679099722554,0.0,12772257.58471558,850,79,1716.0,219079.0159227346,450,14464.285714285716,7.862222222222222,0.24460246913580244,0.24024872809496892,0.07574901074053138,0.05007473841554559,185.9081757771612,107.28595355493901,5.033422300709118,65.50030685243615,0.48501978518937255,61.92171167968756,0.0
high_contact_cost,2026,4101,market_only,15120,1996,539,5352,5352,166206358.42126054,166206358.42126054,168498.74892490407,17298.748924904074,0.0,24934944.759739093,1715,150,7110.0,923384.7120023633,450,14464.285714285716,33.6,1.0453333333333332,0.13201058201058202,0.03564814814814815,0.10071001494768311,374.4416642775646,38.441664277564605,10.137924356529929,67.5753447815808,0.47023809523809523,61.07041746047376,0.0
high_contact_cost,2026,4101,matched_calendar,2381,338,116,5352,5352,166206358.42126054,166206358.42126054,-6006.170301050067,-29816.170301050068,0.0,3852127.6784470547,319,43,1003.0,119695.91437741822,450,14464.285714285716,5.291111111111111,0.16461234567901234,0.14195716085678287,0.04871902561948761,0.021674140508221227,-13.347045113444594,-66.2581562245557,-0.3613682628089984,-15.591825615373663,0.42125157496850063,50.27127861294339,0.0
high_contact_cost,2026,4101,matched_random_market,2381,401,123,5352,5352,166206358.42126054,166206358.42126054,12213.604053420802,-11596.395946579196,0.0,4447845.263332465,325,30,1087.0,131606.06409041834,450,14464.285714285716,5.291111111111111,0.16461234567901234,0.16841663166736665,0.051658966820663586,0.02298206278026906,27.141342340935115,-25.76976877017599,0.7348457766257444,27.459597468707777,0.45653086938261234,55.273441449146716,0.0
high_contact_cost,2026,4101,user_aware,2381,1468,453,5352,5352,166206358.42126054,166206358.42126054,143433.52123316177,119623.52123316177,0.0,21773305.465577997,1462,128,1115.0,144771.1220443481,450,14464.285714285716,5.291111111111111,0.16461234567901234,0.6165476690466191,0.19025619487610249,0.08464125560538116,318.74115829591506,265.8300471848039,8.629845608530838,65.87585952896296,0.46829063418731626,60.80265520552209,0.0
high_contact_cost,2026,4101,weekly_fixed,14850,1900,543,5352,5352,166206358.42126054,166206358.42126054,37442.97949939363,-111057.02050060636,0.0,25422848.501094222,1769,259,4500.0,392579.6945348392,450,14464.285714285716,33.0,1.0266666666666666,0.12794612794612795,0.036565656565656565,0.10145739910313901,83.20662110976362,-246.79337889023637,2.2528006662953306,14.72808190544897,0.30303030303030304,26.436343066319136,0.0
high_contact_cost,2026,4102,frequency_gate,3506,800,269,5142,5142,159659921.89125326,159659921.89125326,41392.67924846136,6332.679248461358,0.0,10513393.89999403,765,73,1681.0,219144.1721195272,450,14464.285714285716,7.791111111111111,0.2423901234567901,0.22818026240730177,0.07672561323445522,0.052314274601322444,91.98373166324747,14.072620552136351,2.5925528935592568,39.37137678108385,0.47946377638334287,62.50546837408078,0.0
high_contact_cost,2026,4102,market_only,15120,1922,582,5142,5142,159659921.89125326,159659921.89125326,153161.96066943885,1961.9606694388622,0.0,25825432.92244144,1820,160,7110.0,923384.7120023633,450,14464.285714285716,33.6,1.0453333333333332,0.12711640211640213,0.038492063492063494,0.11318553092182031,340.359912598753,4.359912598753027,9.593012376253053,59.30663820018529,0.47023809523809523,61.07041746047376,0.0
