scenario,year,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
narrow_flexibility,2024,user_aware,6615,1689,555,24452,24452,756157490.3622506,756157490.3622506,70321.68378096052,63706.68378096052,0.0,26620886.34596241,738,141,2851.0,272668.3687358491,1350,67500.0,4.9,0.098,0.25532879818594106,0.08390022675736962,0.02269752985440864,52.09013613404483,47.19013613404483,0.9299872669021857,26.415981371569252,0.4309901738473167,41.21970804774741,0.0
narrow_flexibility,2024,weekly_fixed,68850,2194,618,24452,24452,756157490.3622506,756157490.3622506,22680.863399778034,-46169.136600221966,0.0,27954880.979088493,794,292,19440.0,357057.7906799681,1350,67500.0,51.0,1.02,0.03186637618010167,0.008976034858387799,0.025274006216260428,16.800639555391136,-34.199360444608864,0.2999489350943593,8.113382209262253,0.2823529411764706,5.186024555990822,0.0
narrow_flexibility,2025,frequency_gate,12766,767,263,24357,24357,756292949.4006555,756292949.4006555,48860.06269839739,36094.06269839739,0.0,10500149.715444302,325,59,4859.0,544219.9547017686,1350,67307.14285714286,9.456296296296296,0.1896678340231349,0.06008146639511202,0.02060159799467335,0.01079771728866445,36.19263903584992,26.736342739553624,0.6460467830239307,46.53272955387563,0.3806203979320069,42.63042101690181,0.0
narrow_flexibility,2025,market_only,54540,1884,586,24357,24357,756292949.4006555,756292949.4006555,158394.24452320577,103854.24452320578,0.0,27452651.279318374,735,126,20790.0,2246275.160917463,1350,67307.14285714286,40.4,0.8103151862464184,0.03454345434543454,0.010744407774110745,0.024058792133678203,117.32907001718945,76.92907001718946,2.094350405470916,57.69724858689079,0.3811881188118812,41.18582986647346,0.0
narrow_flexibility,2025,matched_calendar,5332,166,57,24357,24357,756292949.4006555,756292949.4006555,-5910.9899090371055,-11242.989909037104,0.0,2760141.4869674025,71,30,879.0,-15749.246396913697,1350,67307.14285714286,3.9496296296296296,0.07921893239944816,0.03113278319579895,0.010690172543135784,0.0023401896785318387,-4.378511043731189,-8.328140673360817,-0.07815741127457855,-21.4155322723386,0.16485371342835708,-2.953722129953807,0.0
narrow_flexibility,2025,matched_random_market,5332,232,80,24357,24357,756292949.4006555,756292949.4006555,23277.29345980615,17945.29345980615,0.0,3785148.315893749,102,18,2037.0,218926.73072400465,1350,67307.14285714286,3.9496296296296296,0.07921893239944816,0.04351087771942986,0.015003750937734433,0.003284476741799072,17.242439599856407,13.292809970226779,0.30778144207549285,61.496384070514075,0.382033008252063,41.05902676744273,0.0
narrow_flexibility,2025,user_aware,5332,1373,490,24357,24357,756292949.4006555,756292949.4006555,106496.60303999591,101164.60303999591,0.0,22062597.8707687,617,104,2046.0,233501.44930904554,1350,67307.14285714286,3.9496296296296296,0.07921893239944816,0.2575018754688672,0.0918979744936234,0.020117420043519317,78.8863726222192,74.93674299258957,1.4081395724288053,48.27020084570185,0.38372093023255816,43.792469862911766,0.0
narrow_flexibility,2025,weekly_fixed,68850,2376,684,24357,24357,756292949.4006555,756292949.4006555,-49774.78143938443,-118624.78143938443,0.0,30641076.25769964,876,419,13500.0,-2316792.2136051827,1350,67307.14285714286,51.0,1.0229226361031518,0.034509803921568626,0.009934640522875817,0.028082276142382068,-36.8702084736181,-87.87020847361809,-0.6581415505569606,-16.244462505417637,0.19607843137254902,-33.649850597025164,0.0
narrow_flexibility,2026,frequency_gate,10633,609,186,15699,15699,486022478.6418487,486022478.6418487,25089.355085415078,14456.355085415078,0.0,8285780.391501641,240,51,5078.0,660628.1657789508,1350,43392.857142857145,7.876296296296296,0.24504032921810698,0.05727452271231073,0.01749271137026239,0.011847888400535066,18.584707470677834,10.708411174381538,0.5162179978902477,30.280014554993663,0.47756982977522805,62.12998831740344,0.0
narrow_flexibility,2026,market_only,45360,1574,411,15699,15699,486022478.6418487,486022478.6418487,83722.2758692896,38362.27586928961,0.0,19931748.848043416,537,101,21330.0,2770154.1360070896,1350,43392.857142857145,33.6,1.0453333333333332,0.034700176366843034,0.009060846560846561,0.02618001146569845,62.01650064391822,28.41650064391823,1.7226008991033679,42.00448064421007,0.47023809523809523,61.070417460473756,0.0
narrow_flexibility,2026,matched_calendar,4485,145,54,15699,15699,486022478.6418487,486022478.6418487,512.6183415633018,-3972.381658436698,0.0,2319092.2065985426,71,12,1861.0,227727.82110567,1350,43392.857142857145,3.3222222222222224,0.10335802469135802,0.032329988851727984,0.012040133779264214,0.0034397095356392127,0.3797172900468902,-2.942504932175332,0.010547214667843618,2.210426735533595,0.4149386845039019,50.7754339143077,0.0
narrow_flexibility,2026,matched_random_market,4485,196,72,15699,15699,486022478.6418487,486022478.6418487,10069.140366897087,5584.140366897087,0.0,2886212.2261866233,87,17,2097.0,271538.12704179384,1350,43392.857142857145,3.3222222222222224,0.10335802469135802,0.04370122630992196,0.016053511705685617,0.004586279380852283,7.458622493997842,4.13640027177562,0.2071743758649703,34.88704079187146,0.46755852842809364,60.54361806951925,0.0
narrow_flexibility,2026,user_aware,4485,1121,362,15699,15699,486022478.6418487,486022478.6418487,67512.5666774884,63027.5666774884,0.0,17970010.853504516,483,90,2126.0,278764.35277430207,1350,43392.857142857145,3.3222222222222224,0.10335802469135802,0.24994425863991082,0.08071348940914158,0.023058793553729535,50.00930864999141,46.68708642776919,1.3890832141374803,37.5695747920609,0.47402452619843927,62.15481667208519,0.0
narrow_flexibility,2026,weekly_fixed,44550,1464,426,15699,15699,486022478.6418487,486022478.6418487,30070.39104764041,-14479.608952359593,0.0,20511064.37486422,569,183,13500.0,1177739.0836045174,1350,43392.857142857145,33.0,1.0266666666666666,0.03286195286195286,0.009562289562289562,0.027135486336709345,22.274363738992896,-10.725636261007105,0.618703709582934,14.660570752481716,0.30303030303030304,26.436343066319132,0.0
no_behavioral_response,2023,frequency_gate,13446,3074,0,24286,24286,749723386.0623099,749723386.0623099,0.0,-13446.0,0.0,0.0,0,0,7141.0,1087157.6182679865,1350,67114.28571428571,9.96,0.20034482758620692,0.22861817640934107,0.0,0.0,0.0,-9.96,0.0,,0.5310873122118102,80.85360837929395,0.0
no_behavioral_response,2023,market_only,57510,7689,0,24286,24286,749723386.0623099,749723386.0623099,0.0,-57510.0,0.0,0.0,0,0,30510.0,4640442.944146212,1350,67114.28571428571,42.6,0.856896551724138,0.13369848721961397,0.0,0.0,0.0,-42.6,0.0,,0.5305164319248826,80.68932262469505,0.0
no_behavioral_response,2023,matched_calendar,9059,1198,0,24286,24286,749723386.0623099,749723386.0623099,0.0,-9059.0,0.0,0.0,0,0,2481.0,-141800.06878484477,1350,67114.28571428571,6.71037037037037,0.13497871434653044,0.1322441770614858,0.0,0.0,0.0,-6.71037037037037,0.0,,0.273871288221658,-15.652949418792888,0.0
no_behavioral_response,2023,matched_random_market,9059,1510,0,24286,24286,749723386.0623099,749723386.0623099,0.0,-9059.0,0.0,0.0,0,0,4798.0,737741.4098588622,1350,67114.28571428571,6.71037037037037,0.13497871434653044,0.1666850645766641,0.0,0.0,0.0,-6.71037037037037,0.0,,0.5296390330058506,81.43740035973752,0.0
no_behavioral_response,2023,user_aware,9059,5642,0,24286,24286,749723386.0623099,749723386.0623099,0.0,-9059.0,0.0,0.0,0,0,4769.0,726561.076340666,1350,67114.28571428571,6.71037037037037,0.13497871434653044,0.6228060492328071,0.0,0.0,0.0,-6.71037037037037,0.0,,0.5264377966662988,80.20323174088377,0.0
no_behavioral_response,2023,weekly_fixed,67500,8922,0,24286,24286,749723386.0623099,749723386.0623099,0.0,-67500.0,0.0,0.0,0,0,22950.0,1134542.6978765724,1350,67114.28571428571,50.0,1.0057471264367817,0.13217777777777778,0.0,0.0,0.0,-50.0,0.0,,0.34,16.808039968541813,0.0
no_behavioral_response,2024,frequency_gate,15572,3554,0,24452,24452,756157490.3622506,756157490.3622506,0.0,-15572.0,0.0,0.0,0,0,6814.0,654712.1876474975,1350,67500.0,11.534814814814816,0.2306962962962963,0.22823015669149757,0.0,0.0,0.0,-11.534814814814816,0.0,,0.4375802722835859,42.044193915200196,0.0
no_behavioral_response,2024,market_only,66960,8986,0,24452,24452,756157490.3622506,756157490.3622506,0.0,-66960.0,0.0,0.0,0,0,29700.0,2867248.642979719,1350,67500.0,49.6,0.992,0.1341995221027479,0.0,0.0,0.0,-49.6,0.0,,0.4435483870967742,42.82032023565889,0.0
no_behavioral_response,2024,matched_calendar,10403,1417,0,24452,24452,756157490.3622506,756157490.3622506,0.0,-10403.0,0.0,0.0,0,0,2611.0,-434073.78897457075,1350,67500.0,7.705925925925926,0.15411851851851852,0.1362107084494857,0.0,0.0,0.0,-7.705925925925926,0.0,,0.2509852927040277,-41.725828027931435,0.0
no_behavioral_response,2024,matched_random_market,10403,1649,0,24452,24452,756157490.3622506,756157490.3622506,0.0,-10403.0,0.0,0.0,0,0,4631.0,442964.49134066934,1350,67500.0,7.705925925925926,0.15411851851851852,0.15851196770162454,0.0,0.0,0.0,-7.705925925925926,0.0,,0.44516004998558106,42.5804567279313,0.0
no_behavioral_response,2024,user_aware,10403,6509,0,24452,24452,756157490.3622506,756157490.3622506,0.0,-10403.0,0.0,0.0,0,0,4535.0,445738.91291326424,1350,67500.0,7.705925925925926,0.15411851851851852,0.6256848985869461,0.0,0.0,0.0,-7.705925925925926,0.0,,0.435931942708834,42.84715110191909,0.0
