scenario,period,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
high_contact_cost,2026 diagnostic,matched_calendar,7050,934,319,15699,15699,486022478.64184874,486022478.64184874,27881.746418317984,-42618.25358168202,0.0,12348490.977287224,897,122,2944.0,351430.6718235235,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.1324822695035461,0.04524822695035461,0.02031976559016498,20.653145495050357,-31.569076727171865,0.5736719522979948,22.579071782618076,0.4175886524822695,49.84832224447141,0.0
high_contact_cost,2026 diagnostic,matched_random_market,7050,1139,372,15699,15699,486022478.64184874,486022478.64184874,58475.89310760903,-12024.10689239097,0.0,14060803.510457031,1044,105,3275.0,423465.08565257554,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.16156028368794326,0.05276595744680851,0.023695776801070132,43.315476376006686,-8.906745846215534,1.2031520285031934,41.587874451215015,0.4645390070921986,60.06596959611001,0.0
high_contact_cost,2026 diagnostic,user_aware,7050,4299,1392,15699,15699,486022478.64184874,486022478.64184874,439920.38775884185,369420.38775884185,0.0,64821306.76402816,4531,388,3285.0,427991.05785247,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.6097872340425532,0.1974468085106383,0.08866806802981081,325.8669538954384,273.6447316732162,9.051441180008062,67.86663363025113,0.46595744680851064,60.70795146843547,0.0
high_contact_cost,2026 diagnostic,weekly_fixed,44550,5656,1605,15699,15699,486022478.64184874,486022478.64184874,273564.5420367725,-171935.45796322756,0.0,75572709.77005127,5268,726,13500.0,1177739.0836045174,1350,43392.857142857145,33.0,1.0266666666666666,0.1269584736251403,0.036026936026936025,0.1022358111981655,202.64040150872034,-127.35959849127967,5.628639704098191,36.19885311366504,0.30303030303030304,26.436343066319132,0.0
high_response,2023-2025 OOT,frequency_gate,41784,9412,6260,73095,73095,2262173825.825216,2262173825.825216,1352239.7273212855,1310455.7273212855,0.0,270431583.63732827,18823,1708,18814.0,2286089.7606172524,4050,201921.42857142858,10.317037037037037,0.2069319749548976,0.22525368562129044,0.1498181121960559,0.08564197277515562,333.8863524250088,323.56931538797176,5.977611940709302,50.003025132402946,0.4502680451847597,54.7120850233882,0.0
high_response,2023-2025 OOT,market_only,179010,22723,13323,73095,73095,2262173825.825216,2262173825.825216,3098593.744242132,2919583.744242132,0.0,594131832.5944237,42118,3669,81000.0,9753966.748043394,4050,201921.42857142858,44.2,0.8865329512893982,0.12693704262331712,0.07442600972012736,0.18226964908680485,765.0848751215141,720.8848751215141,13.697416656793823,52.15330292456063,0.45248868778280543,54.48839030246016,0.0
high_response,2023-2025 OOT,matched_calendar,28034,3692,2549,73095,73095,2262173825.825216,2262173825.825216,6205.633570133846,-21828.366429866153,0.0,102355180.39839472,7250,1119,6926.0,-607835.112079339,4050,201921.42857142858,6.921975308641976,0.138836180975627,0.13169722479845902,0.09092530498680174,0.03487242629454819,1.532255202502184,-5.389720106139791,0.027432169443787544,0.6062842687570673,0.24705714489548405,-21.682068633778233,0.0
high_response,2023-2025 OOT,matched_random_market,28034,4457,2976,73095,73095,2262173825.825216,2262173825.825216,634806.2310505249,606772.2310505249,0.0,118343320.6196111,8123,797,12680.0,1527673.4397171652,4050,201921.42857142858,6.921975308641976,0.138836180975627,0.1589855175857887,0.10615680958835699,0.04071413913400369,156.74227927173453,149.82030396309256,2.8061779506221396,53.641069705232596,0.45230791182135976,54.49359491036474,0.0
high_response,2023-2025 OOT,user_aware,28034,16708,11279,73095,73095,2262173825.825216,2262173825.825216,2641348.893667247,2613314.893667247,0.0,502700505.7759681,35515,3099,12593.0,1547688.6164207668,4050,201921.42857142858,6.921975308641976,0.138836180975627,0.5959905828636656,0.40233288150103447,0.15430604008482113,652.1849120166042,645.2629367079622,11.676153545378911,52.54319148913652,0.4492045373475066,55.20755569739484,0.0
high_response,2023-2025 OOT,weekly_fixed,205200,25750,14940,73095,73095,2262173825.825216,2262173825.825216,-258298.77651250243,-463498.7765125024,0.0,663421524.5788076,47047,7311,55890.0,-825191.7250486424,4050,201921.42857142858,50.666666666666664,1.0162368672397326,0.12548732943469787,0.07280701754385965,0.20439154524933306,-63.777475682099364,-114.44414234876602,-1.1418166613181369,-3.893433766359795,0.2723684210526316,-4.021402168853033,0.0
high_response,2026 diagnostic,frequency_gate,10633,2424,1611,15699,15699,486022478.64184874,486022478.64184874,396539.47839565907,385906.47839565907,0.0,71333073.50046231,4986,413,5078.0,660628.1657789508,1350,43392.857142857145,7.876296296296296,0.24504032921810698,0.22796952882535504,0.15150945170695007,0.10261800114656984,293.73294695974744,285.85665066345115,8.158871159699386,55.58984899102786,0.47756982977522805,62.12998831740344,0.0
high_response,2026 diagnostic,market_only,45360,5712,3238,15699,15699,486022478.64184874,486022478.64184874,807121.1466269534,761761.1466269534,0.0,141301721.22003385,10066,883,21330.0,2770154.1360070896,1350,43392.857142857145,33.6,1.0453333333333332,0.1259259259259259,0.07138447971781305,0.20625517548888464,597.8675160199655,564.2675160199655,16.606662903378243,57.12040445495431,0.47023809523809523,61.070417460473756,0.0
high_response,2026 diagnostic,matched_calendar,7090,950,644,15699,15699,486022478.64184874,486022478.64184874,24726.548253252502,17636.548253252506,0.0,25941337.568580404,1838,238,2952.0,352117.5347248271,1350,43392.857142857145,5.2518518518518515,0.1633909465020576,0.13399153737658676,0.09083215796897039,0.04102172112873431,18.31596166907593,13.064109817224079,0.5087531819999125,9.531716777472868,0.416361071932299,49.66396822635079,0.0
high_response,2026 diagnostic,matched_random_market,7090,1141,787,15699,15699,486022478.64184874,486022478.64184874,146762.17526298287,139672.17526298287,0.0,32666001.40068406,2264,214,3299.0,425637.9323920293,1350,43392.857142857145,5.2518518518518515,0.1633909465020576,0.1609308885754584,0.11100141043723555,0.050130581565704824,108.71272241702435,103.4608705651725,3.019658178631946,44.92811148287942,0.46530324400564177,60.033558870526,0.0
high_response,2026 diagnostic,user_aware,7090,4190,2822,15699,15699,486022478.64184874,486022478.64184874,816928.134041449,809838.134041449,0.0,126155819.66677979,9100,753,3302.0,429479.01849923754,1350,43392.857142857145,5.2518518518518515,0.1633909465020576,0.5909732016925247,0.3980253878702398,0.1797566723995159,605.1319511418142,599.8800992899622,16.808443435050368,64.75548541472226,0.46572637517630466,60.575319957579346,0.0
