date,moex_session_index,cbr_rate,nbk_rate,moex_open,moex_high,moex_low,moex_close,cbr_age_days,nbk_age_days,cbr_is_fresh,nbk_is_fresh,moex_is_fresh,return_1,return_3,return_5,return_10,decreasing_run,falling_2,falling_3,falling_4,falling_5,percentile_20,distance_min_20_bps,percentile_60,distance_min_60_bps,percentile_120,distance_min_120_bps,rebound_5_bps,rebound_10_bps,rebound_20_bps,volatility_20_bps,volatility_regime,speed_3_bps,candle_body_bps,candle_range_bps,candle_close_position,gap_bps,cbr_nbk_basis_bps,cbr_moex_basis_bps,nbk_moex_basis_bps,usd_cross_rate,cny_cross_rate,usd_cross_basis_bps,cny_cross_basis_bps,weekday,week_of_month,month,is_month_end,is_ru_weekend,is_kz_weekend,is_ru_holiday,is_kz_holiday,days_since_ru_holiday,days_to_ru_holiday,days_since_kz_holiday,days_to_kz_holiday
2022-11-23,437,0.130852,0.13089005235602094,0.130975,0.131475,0.1301,0.130875,0,0,1,1,1,-0.011056947436042908,-0.004677980025405648,-0.0025460033845075003,-0.0034423932248828226,1,0,0,0,0,0.3,200.4193918039321,0.6833333333333333,1284.5278853368059,0.775,1664.883754100699,0.0,200.4193918039321,200.4193918039321,110.48360346039725,0.8285392558690259,-15.59326675135216,-7.635044855889284,105.68793235972373,0.5636363636363559,-1.908396946564972,-2.907200000000776,-1.757402101241201,1.1501322652107682,0.13107855213398162,0.13060305225836288,17.313616450771452,-19.02513844932563,2,4,11,0,0,0,0,0,19,30,29,23
2022-11-24,438,0.130749,0.13089005235602094,0.130875,0.130875,0.12945,0.1304,0,0,1,1,1,-0.0007871488399107118,-0.005862226277372207,-0.0012298525704682595,-0.006421265407237309,2,1,0,0,0,0.25,192.39014351307037,0.65,1275.645282302922,0.7666666666666667,1655.7017543859654,0.0,192.39014351307037,192.39014351307037,110.41403445605077,0.8279720554599894,-19.540754257907356,-36.29417382999045,110.08111239860784,0.6666666666666602,0.0,-10.776399999999908,26.763803680982523,37.58070214884724,0.13077769372095538,0.130449358280501,2.1945652322674647,-22.917323994753325,3,4,11,0,0,0,0,0,20,30,30,22
2022-11-25,439,0.130523,0.1295336787564767,0.130425,0.13055,0.12960000000000002,0.13035,0,0,1,1,1,-0.001728502703653545,-0.01354343800778457,-0.007180509177207917,-0.0077465752383268915,3,1,1,0,0,0.15,174.77256959331555,0.5833333333333334,1256.1552989470238,0.7416666666666667,1635.5548423905298,0.0,174.77256959331555,174.77256959331555,110.4843494085315,0.8285714491181115,-45.1447933592819,-5.7504312823475345,73.30246913580085,0.7894736842105156,1.9171779141125,76.37559999999822,13.271960107403835,-62.62533513795909,0.12959888400042924,0.12925857843137253,-70.80100821853286,-96.87346817246478,4,4,11,0,0,0,0,0,21,30,30,21
2022-11-28,440,0.129799,0.13003901170351104,0.130025,0.131075,0.12960000000000002,0.13105,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.1,118.33396995658107,0.5,1193.7183611166201,0.6916666666666667,1571.013407502495,0.0,0.0,0.0,111.09926716468509,0.8350488230667105,0.0,78.83099403960702,113.81172839505905,0.9830508474576287,-24.932873034138048,-18.456899999999,-95.45974818771508,-77.14523437534982,0.12995766900167605,0.1297071593533487,12.224208327957786,-7.07560510106342,0,4,11,1,0,0,0,0,24,30,30,18
2022-11-29,441,0.130543,0.12987012987012986,0.13105,0.1315,0.130025,0.13095,0,0,1,1,1,0.0057319393832000465,-0.0015755378626223226,-0.01339228356573341,-0.001422790658538009,0,0,0,0,0,0.2,176.33164693134694,0.5833333333333334,1257.8800762351561,0.7583333333333333,1637.337754956496,57.319393832000465,57.319393832000465,176.33164693134694,106.02490248001176,0.7962983756598229,-5.251792875407742,-7.630675314764801,113.43972313016648,0.627118644067801,0.0,51.81099999999938,-31.08056510118473,-82.46430926843517,0.1298147396311887,0.12930464186904397,-55.78701031930478,-94.86208612916936,1,5,11,1,0,0,0,0,25,30,30,17
2022-11-30,442,0.130503,0.1303780964797914,0.13095,0.130975,0.12967499999999998,0.1304,0,0,1,1,1,-0.00030641244647344745,-0.00015322969898023953,-0.0026671353896003946,-0.005206348238379066,1,0,0,0,0,0.15,173.21349225528638,0.55,1254.4305216588914,0.75,1633.7719298245634,54.23770599157329,54.23770599157329,173.21349225528638,105.97089722218244,0.7973369358785064,-0.5107656632674651,-42.00076365024952,100.25062656641825,0.5576923076923003,0.0,9.580099999999536,7.898773006136395,-1.679717807406833,0.1303806331789168,0.1298849273144606,-9.376552346169742,-47.36080285812627,2,5,11,1,0,0,0,0,26,30,30,16
2022-12-01,443,0.129967,0.12987012987012986,0.130125,0.1311,0.130025,0.13095,0,0,1,1,1,-0.0041071852754343,0.0012943088929806557,-0.0059809252843234795,-0.0072034221984569324,2,1,0,0,0,0.15,131.43021959604485,0.48333333333333334,1208.206490336934,0.7083333333333334,1585.9898730566258,12.943088929806557,12.943088929806557,131.43021959604485,105.54625130499859,0.7934995341184522,4.314362976602186,63.400576368877196,82.67640838300227,0.8604651162790842,-21.088957055214188,7.459000000000771,-75.06681939671745,-82.46430926843517,0.12983642567711665,0.12915975794251136,-10.046729006851773,-62.111309600794144,3,1,12,0,0,0,0,0,27,30,30,15
2022-12-02,444,0.130407,0.13054830287206265,0.13095,0.13225,0.13075,0.13165,0,0,1,1,1,0.003385474774365793,-0.0010418023180100988,-0.0008887322540854781,-0.008062859881186935,0,0,0,0,0,0.2,165.72992103273344,0.5166666666666667,1246.1515906758525,0.7416666666666667,1625.2139495079155,46.84165517453876,46.84165517453876,165.72992103273344,104.3111180694018,0.7849596588869495,-3.472674393366996,53.45551737304221,114.7227533460815,0.5999999999999889,0.0,-10.823799999999384,-94.4170148120016,-83.68379247530089,0.13053239406553527,0.13068679073990014,9.615593145710921,21.455193348527413,4,1,12,0,0,0,0,0,28,30,30,14
2022-12-05,445,0.131871,0.13175230566534915,0.131875,0.1334,0.1318,0.1334,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.95,279.8543821766297,0.85,1372.4052881671644,0.9083333333333333,1755.7231493367565,0.0,0.0,0.0,96.99431899321105,0.72799463250579,0.0,115.63981042653992,121.39605462822445,1.0,17.090770983669845,9.00889999999821,-114.61769115442277,-123.5153174400927,0.13172182182609066,0.1315159455008235,-11.312432142724926,-26.924380582273866,0,1,12,0,0,0,0,0,30,27,30,11
2022-12-06,446,0.13259600000000002,0.1322751322751323,0.133675,0.134,0.133,0.133675,0,0,1,1,1,0.005497797089580203,0.02022821177683576,0.0157266188152565,0.002123719910818833,0,0,0,0,0,1.0,336.37093568026796,0.9333333333333333,1434.9284648619753,0.95,1820.3537298530903,202.28211776835758,215.4870222420846,336.37093568026796,84.98169029698768,0.6441623136530412,67.42737258945253,0.0,75.18796992481258,0.6749999999999806,20.614692653673217,24.257599999999435,-80.71815971572582,-104.7217299321257,0.13254236204360892,0.1323920841980433,-4.045216778115757,-15.378729521005052,1,1,12,0,0,0,0,0,30,26,30,10
