date,client,currency,bank_side,value
2021-01-20,personal,RUB,sell,5.79
2021-01-21,personal,RUB,sell,5.77
2021-01-22,personal,RUB,sell,5.71
2021-01-25,personal,RUB,sell,5.7
2021-01-26,personal,RUB,sell,5.72
2021-01-27,personal,RUB,sell,5.71
2021-01-28,personal,RUB,sell,5.66
2021-01-29,personal,RUB,sell,5.68
2021-02-01,personal,RUB,sell,5.72
2021-02-02,personal,RUB,sell,5.68
2021-02-03,personal,RUB,sell,5.67
2021-02-04,personal,RUB,sell,5.68
2021-02-05,personal,RUB,sell,5.69
2021-02-08,personal,RUB,sell,5.73
2021-02-09,personal,RUB,sell,5.75
2021-02-10,personal,RUB,sell,5.76
2021-02-11,personal,RUB,sell,5.77
2021-02-12,personal,RUB,sell,5.74
2021-02-15,personal,RUB,sell,5.78
2021-02-16,personal,RUB,sell,5.79
2021-02-17,personal,RUB,sell,5.74
2021-02-18,personal,RUB,sell,5.75
2021-02-19,personal,RUB,sell,5.75
2021-02-22,personal,RUB,sell,5.68
2021-02-23,personal,RUB,sell,5.7
2021-02-24,personal,RUB,sell,5.75
2021-02-25,personal,RUB,sell,5.75
2021-02-26,personal,RUB,sell,5.69
2021-03-01,personal,RUB,sell,5.75
2021-03-02,personal,RUB,sell,5.76
2021-03-03,personal,RUB,sell,5.8
2021-03-04,personal,RUB,sell,5.8
2021-03-05,personal,RUB,sell,5.73
2021-03-06,personal,RUB,sell,5.75
2021-03-09,personal,RUB,sell,5.78
2021-03-10,personal,RUB,sell,5.77
2021-03-11,personal,RUB,sell,5.79
2021-03-12,personal,RUB,sell,5.8
2021-03-15,personal,RUB,sell,5.83
2021-03-16,personal,RUB,sell,5.85
2021-03-17,personal,RUB,sell,5.83
2021-03-18,personal,RUB,sell,5.78
2021-03-19,personal,RUB,sell,5.79
2021-03-23,personal,RUB,sell,5.67
2021-03-24,personal,RUB,sell,5.62
2021-03-25,personal,RUB,sell,5.69
2021-03-26,personal,RUB,sell,5.68
2021-03-29,personal,RUB,sell,5.68
2021-03-30,personal,RUB,sell,5.69
2021-03-31,personal,RUB,sell,5.74
2021-04-01,personal,RUB,sell,5.71
2021-04-02,personal,RUB,sell,5.71
2021-04-05,personal,RUB,sell,5.71
2021-04-06,personal,RUB,sell,5.72
2021-04-07,personal,RUB,sell,5.68
2021-04-08,personal,RUB,sell,5.71
2021-04-09,personal,RUB,sell,5.72
2021-04-12,personal,RUB,sell,5.71
2021-04-13,personal,RUB,sell,5.72
2021-04-14,personal,RUB,sell,5.79
2021-04-15,personal,RUB,sell,5.72
2021-04-16,personal,RUB,sell,5.77
2021-04-19,personal,RUB,sell,5.75
2021-04-20,personal,RUB,sell,5.74
2021-04-21,personal,RUB,sell,5.75
2021-04-22,personal,RUB,sell,5.8
2021-04-23,personal,RUB,sell,5.84
2021-04-26,personal,RUB,sell,5.84
2021-04-27,personal,RUB,sell,5.84
2021-04-28,personal,RUB,sell,5.85
2021-04-29,personal,RUB,sell,5.86
2021-04-30,personal,RUB,sell,5.84
2021-05-04,personal,RUB,sell,5.82
2021-05-05,personal,RUB,sell,5.8
2021-05-06,personal,RUB,sell,5.82
2021-05-11,personal,RUB,sell,5.87
2021-05-12,personal,RUB,sell,5.85
2021-05-13,personal,RUB,sell,5.86
2021-05-14,personal,RUB,sell,5.88
2021-05-17,personal,RUB,sell,5.88
2021-05-18,personal,RUB,sell,5.89
2021-05-19,personal,RUB,sell,5.91
2021-05-20,personal,RUB,sell,5.93
2021-05-21,personal,RUB,sell,5.94
2021-05-24,personal,RUB,sell,5.9
2021-05-25,personal,RUB,sell,5.92
2021-05-26,personal,RUB,sell,5.91
2021-05-27,personal,RUB,sell,5.94
2021-05-28,personal,RUB,sell,5.93
2021-05-31,personal,RUB,sell,5.94
2021-06-01,personal,RUB,sell,5.93
2021-06-02,personal,RUB,sell,5.93
2021-06-03,personal,RUB,sell,5.95
2021-06-04,personal,RUB,sell,5.94
2021-06-07,personal,RUB,sell,5.96
2021-06-08,personal,RUB,sell,5.99
2021-06-09,personal,RUB,sell,6.02
2021-06-10,personal,RUB,sell,6.02
2021-06-11,personal,RUB,sell,6.06
2021-06-14,personal,RUB,sell,6.01
2021-06-15,personal,RUB,sell,6.04
2021-06-16,personal,RUB,sell,6.02
2021-06-17,personal,RUB,sell,5.99
2021-06-18,personal,RUB,sell,6.03
2021-06-21,personal,RUB,sell,5.95
2021-06-22,personal,RUB,sell,5.94
2021-06-23,personal,RUB,sell,5.98
2021-06-24,personal,RUB,sell,6.02
2021-06-25,personal,RUB,sell,6.01
2021-06-28,personal,RUB,sell,6.01
2021-06-29,personal,RUB,sell,6.01
2021-06-30,personal,RUB,sell,5.93
2021-07-01,personal,RUB,sell,5.96
2021-07-02,personal,RUB,sell,5.89
2021-07-03,personal,RUB,sell,5.93
2021-07-07,personal,RUB,sell,5.87
2021-07-08,personal,RUB,sell,5.83
2021-07-09,personal,RUB,sell,5.88
2021-07-12,personal,RUB,sell,5.84
2021-07-13,personal,RUB,sell,5.88
2021-07-14,personal,RUB,sell,5.86
2021-07-15,personal,RUB,sell,5.85
2021-07-16,personal,RUB,sell,5.86
2021-07-19,personal,RUB,sell,5.84
2021-07-21,personal,RUB,sell,5.85
2021-07-22,personal,RUB,sell,5.87
2021-07-23,personal,RUB,sell,5.89
2021-07-26,personal,RUB,sell,5.85
2021-07-27,personal,RUB,sell,5.87
2021-07-28,personal,RUB,sell,5.9
2021-07-29,personal,RUB,sell,5.91
2021-07-30,personal,RUB,sell,5.93
2021-08-02,personal,RUB,sell,5.92
2021-08-03,personal,RUB,sell,5.92
2021-08-04,personal,RUB,sell,5.92
2021-08-05,personal,RUB,sell,5.92
2021-08-06,personal,RUB,sell,5.9
2021-08-09,personal,RUB,sell,5.91
2021-08-10,personal,RUB,sell,5.88
2021-08-11,personal,RUB,sell,5.85
2021-08-12,personal,RUB,sell,5.88
2021-08-13,personal,RUB,sell,5.89
2021-08-15,personal,RUB,sell,5.9
2021-08-16,personal,RUB,sell,5.89
2021-08-17,personal,RUB,sell,5.89
2021-08-18,personal,RUB,sell,5.88
2021-08-19,personal,RUB,sell,5.86
2021-08-20,personal,RUB,sell,5.84
2021-08-23,personal,RUB,sell,5.85
2021-08-24,personal,RUB,sell,5.85
2021-08-25,personal,RUB,sell,5.88
2021-08-26,personal,RUB,sell,5.87
2021-08-27,personal,RUB,sell,5.87
2021-08-31,personal,RUB,sell,5.91
2021-09-01,personal,RUB,sell,5.93
2021-09-02,personal,RUB,sell,5.95
2021-09-03,personal,RUB,sell,5.95
2021-09-06,personal,RUB,sell,5.93
2021-09-07,personal,RUB,sell,5.92
2021-09-08,personal,RUB,sell,5.92
2021-09-09,personal,RUB,sell,5.94
2021-09-10,personal,RUB,sell,5.96
2021-09-13,personal,RUB,sell,5.94
2021-09-14,personal,RUB,sell,5.94
2021-09-15,personal,RUB,sell,5.97
2021-09-16,personal,RUB,sell,5.98
2021-09-17,personal,RUB,sell,5.96
2021-09-20,personal,RUB,sell,5.91
2021-09-21,personal,RUB,sell,5.92
2021-09-22,personal,RUB,sell,5.95
2021-09-23,personal,RUB,sell,5.95
2021-09-24,personal,RUB,sell,5.93
2021-09-27,personal,RUB,sell,5.95
2021-09-28,personal,RUB,sell,5.95
2021-09-29,personal,RUB,sell,5.95
2021-09-30,personal,RUB,sell,5.95
2021-10-04,personal,RUB,sell,5.94
2021-10-05,personal,RUB,sell,5.95
