config_id,policy,evaluation_scope,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
pooled_hgb_base15,fixed_threshold_0.50,all5,3635,727,0.1853715199766156,342,1.7847620544885676,93.63807360347325,0.5847953216374269,200,0.18864298128025228,0.735370741482966,0.5498571414977435,760,333,0.4381578947368421,0.1568627450980392,0.45,44.33195607420359
pooled_hgb_base15,fixed_threshold_0.50,KZT,727,727,0.18043451381085637,63,1.9515666409076031,91.0894606981695,0.5555555555555556,35,0.1811595806422111,0.7084111268269684,0.5411837178103276,152,62,0.40789473684210525,0.1568627450980392,0.4144736842105263,48.58254616919982
pooled_hgb_base15,legacy,all5,3635,727,0.1853715199766156,723,1.3709701913909238,40.07841159980202,0.4412171507607192,319,0.18864298128025228,0.735370741482966,0.5498571414977435,760,654,0.8605263157894737,0.7058823529411765,0.9513157894736842,80.96092783122006
pooled_hgb_base15,legacy,KZT,727,727,0.18043451381085637,149,1.4778370986863412,29.971420647932167,0.4228187919463087,63,0.1811595806422111,0.7084111268269684,0.5411837178103276,152,134,0.881578947368421,0.803921568627451,0.9802631578947368,103.34454235759662
pooled_hgb_full33,cadence85_cd2,all5,3635,727,0.19005535150304773,813,1.4706663103306643,52.91511955721579,0.45879458794587946,373,0.19710850952911393,0.7207049186091481,0.5607990572988752,760,625,0.8223684210526315,0.5686274509803921,1.069736842105263,77.68501219590433
pooled_hgb_full33,cadence85_cd2,KZT,727,727,0.1798960436625334,163,1.6112496720515888,59.32353537622495,0.44785276073619634,73,0.1782814126292338,0.7215417256011315,0.5375975454684984,152,126,0.8289473684210527,0.7450980392156863,1.0723684210526316,86.69969127244069
pooled_hgb_full33,fixed_threshold_0.50,all5,3635,727,0.19005535150304773,262,1.9173769113954695,93.1472557879503,0.583969465648855,153,0.19710850952911393,0.7207049186091481,0.5607990572988752,760,248,0.3263157894736842,0.0,0.3447368421052632,54.4442598110083
pooled_hgb_full33,fixed_threshold_0.50,KZT,727,727,0.1798960436625334,38,2.21525262997558,121.2571244003285,0.6052631578947368,23,0.1782814126292338,0.7215417256011315,0.5375975454684984,152,37,0.24342105263157895,0.13725490196078433,0.25,49.39751009921775
pooled_hgb_full33,legacy,all5,3635,727,0.19005535150304773,712,1.4871537553819891,48.049487026934514,0.4691011235955056,334,0.19710850952911393,0.7207049186091481,0.5607990572988752,760,642,0.8447368421052631,0.7843137254901961,0.9368421052631579,77.27801634533297
pooled_hgb_full33,legacy,KZT,727,727,0.1798960436625334,139,1.5945255659603348,55.851579239583565,0.4460431654676259,62,0.1782814126292338,0.7215417256011315,0.5375975454684984,152,126,0.8289473684210527,0.7843137254901961,0.9144736842105263,81.11828091238615
pooled_tabm_base15_s2,cadence85_cd2,all5,3635,727,0.18902771221529283,818,1.396551724137931,49.15469171916065,0.4449877750611247,364,0.19217149917208126,0.7231800442991245,0.5583283688737002,760,637,0.8381578947368421,0.7254901960784313,1.0763157894736841,76.60452598873299
pooled_tabm_base15_s2,cadence85_cd2,KZT,727,727,0.18576032083590607,173,1.3526856615539073,40.50811506355448,0.3930635838150289,68,0.18456729342062875,0.7083734087694484,0.5517348842246863,152,129,0.8486842105263158,0.7254901960784313,1.138157894736842,91.96067618226013
pooled_tabm_base15_s2,fixed_threshold_0.50,all5,3635,727,0.18902771221529283,322,1.772142567615899,83.05795873683567,0.5652173913043478,182,0.19217149917208126,0.7231800442991245,0.5583283688737002,760,314,0.4131578947368421,0.06,0.4236842105263158,57.861235303073805
pooled_tabm_base15_s2,fixed_threshold_0.50,KZT,727,727,0.18576032083590607,55,1.7691158331745576,60.612270592888514,0.4909090909090909,27,0.18456729342062875,0.7083734087694484,0.5517348842246863,152,54,0.35526315789473684,0.1568627450980392,0.3618421052631579,87.4035467242771
pooled_tabm_base15_s2,legacy,all5,3635,727,0.18902771221529283,700,1.3013836383361899,36.57512107852587,0.4185714285714286,293,0.19217149917208126,0.7231800442991245,0.5583283688737002,760,635,0.8355263157894737,0.6274509803921569,0.9210526315789473,87.10981897152072
pooled_tabm_base15_s2,legacy,KZT,727,727,0.18576032083590607,151,1.2817857567471167,28.13656317507638,0.36423841059602646,55,0.18456729342062875,0.7083734087694484,0.5517348842246863,152,135,0.8881578947368421,0.7254901960784313,0.993421052631579,104.41805100563111
pooled_tabm_full33_s2,cadence85_cd2,all5,3635,727,0.20167734940097048,828,1.3702707321027199,45.11695117628437,0.42391304347826086,351,0.214148719722029,0.6658007242555286,0.5896704398067172,760,626,0.8236842105263158,0.6470588235294118,1.0894736842105264,80.97570285352234
pooled_tabm_full33_s2,cadence85_cd2,KZT,727,727,0.1985050670793376,162,1.4095702522530662,49.06618801284608,0.3765432098765432,61,0.2009978445605685,0.6488637435172088,0.5858973069242442,152,125,0.8223684210526315,0.7254901960784313,1.0657894736842106,98.68737417148454
pooled_tabm_full33_s2,fixed_threshold_0.50,all5,3635,727,0.20167734940097048,216,1.7016161327009416,71.51133006350155,0.5185185185185185,112,0.214148719722029,0.6658007242555286,0.5896704398067172,760,211,0.2776315789473684,0.0,0.28421052631578947,66.44654505406865
pooled_tabm_full33_s2,fixed_threshold_0.50,KZT,727,727,0.1985050670793376,32,1.31701149518896,35.08032813003279,0.34375,11,0.2009978445605685,0.6488637435172088,0.5858973069242442,152,31,0.20394736842105263,0.0,0.21052631578947367,117.83087674779881
pooled_tabm_full33_s2,legacy,all5,3635,727,0.20167734940097048,635,1.3955188971959525,42.73526614837473,0.431496062992126,274,0.214148719722029,0.6658007242555286,0.5896704398067172,760,589,0.775,0.6470588235294118,0.8355263157894737,85.68027943224021
pooled_tabm_full33_s2,legacy,KZT,727,727,0.1985050670793376,125,1.6192676190032753,51.30857573167581,0.44,55,0.2009978445605685,0.6488637435172088,0.5858973069242442,152,116,0.7631578947368421,0.7,0.8223684210526315,92.05794023375586
