config_id,policy,evaluation_scope,year,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
kzt_tabm_full33_s2,cadence85_cd2,KZT,2025,242,242,0.1440268166623897,60,1.5125000000000004,44.95737221465642,0.3,18,0.1485838639355856,0.7226159793814433,0.4515849405870903,51,45,0.8823529411764706,0.8823529411764706,1.1764705882352942,117.59359631898461
kzt_tabm_full33_s2,fixed_threshold_0.50,KZT,2023,242,242,0.22750767980114203,1,2.7191011235955056,109.44566923305158,1.0,1,0.2399719125866014,0.7271058236028494,0.6471283114955847,50,1,0.02,0.02,0.02,0.0
kzt_tabm_full33_s2,fixed_threshold_0.50,KZT,2024,243,243,0.18126859834911419,25,1.644923076923077,74.29132526519085,0.44,11,0.20662331427535297,0.7094209161624891,0.5353783163902561,51,24,0.47058823529411764,0.47058823529411764,0.49019607843137253,89.99027598629982
kzt_tabm_full33_s2,fixed_threshold_0.50,KZT,2025,242,242,0.1440268166623897,9,2.800925925925926,107.8227229125911,0.5555555555555556,5,0.1485838639355856,0.7226159793814433,0.4515849405870903,51,8,0.1568627450980392,0.1568627450980392,0.17647058823529413,66.91909458672744
kzt_tabm_full33_s2,legacy,KZT,2023,242,242,0.22750767980114203,45,1.3897627965043693,46.66294390615375,0.5111111111111111,23,0.2399719125866014,0.7271058236028494,0.6471283114955847,50,43,0.86,0.86,0.9,81.42912610461887
kzt_tabm_full33_s2,legacy,KZT,2024,243,243,0.18126859834911419,47,1.4317512274959077,30.917111300506065,0.3829787234042553,18,0.20662331427535297,0.7094209161624891,0.5353783163902561,51,44,0.8627450980392157,0.8627450980392157,0.9215686274509803,100.1731405466324
kzt_tabm_full33_s2,legacy,KZT,2025,242,242,0.1440268166623897,41,1.967479674796748,70.40006299997518,0.3902439024390244,16,0.1485838639355856,0.7226159793814433,0.4515849405870903,51,39,0.7647058823529411,0.7647058823529411,0.803921568627451,100.10604381964035
pooled_hgb_base15,cadence85_cd2,all5,2023,1210,242,0.2009819129742227,363,1.0922768304914745,16.056838352015788,0.4214876033057851,153,0.2086953727020357,0.7534259800968929,0.5851627712423375,250,239,0.956,0.86,1.452,87.46939634736951
pooled_hgb_base15,cadence85_cd2,all5,2024,1215,243,0.1925737236107805,273,1.4717288135593218,53.898326872070754,0.4908424908424908,134,0.1966737723515478,0.7356195701874713,0.5696447139356187,255,205,0.803921568627451,0.7647058823529411,1.0705882352941176,59.96181955168533
pooled_hgb_base15,cadence85_cd2,all5,2025,1210,242,0.16252916217280172,274,1.6389382952524285,56.24376667811342,0.3613138686131387,99,0.16052661370010182,0.6942021579998099,0.4946821724870184,255,215,0.8431372549019608,0.7843137254901961,1.0745098039215686,96.13486016626878
pooled_hgb_base15,cadence85_cd2,KZT,2023,242,242,0.19469084306073467,73,1.1174388179159611,17.518183801963154,0.410958904109589,30,0.20880271305757112,0.7455753837115371,0.574245660399138,50,49,0.98,0.98,1.46,98.38702987035266
pooled_hgb_base15,cadence85_cd2,KZT,2024,243,243,0.1957165481243733,53,1.4812772133526846,57.75835435496431,0.39622641509433965,21,0.18199908182746652,0.6799481417458946,0.5798804208327081,51,41,0.803921568627451,0.803921568627451,1.0392156862745099,73.93285336897272
pooled_hgb_base15,cadence85_cd2,KZT,2025,242,242,0.15083300134533928,61,1.6530054644808747,43.48144127167366,0.32786885245901637,20,0.15267347802843348,0.6858354810996564,0.4692651684676393,51,47,0.9215686274509803,0.9215686274509803,1.196078431372549,117.03827056478914
pooled_hgb_base15,fixed_threshold_0.50,all5,2023,1210,242,0.2009819129742227,101,1.794491525423729,112.50468007118663,0.693069306930693,70,0.2086953727020357,0.7534259800968929,0.5851627712423375,250,98,0.392,0.22,0.404,30.640939877283657
pooled_hgb_base15,fixed_threshold_0.50,all5,2024,1215,243,0.1925737236107805,176,1.622847100175747,70.2558163319397,0.5397727272727273,95,0.1966737723515478,0.7356195701874713,0.5696447139356187,255,176,0.6901960784313725,0.6470588235294118,0.6901960784313725,54.129728874873855
pooled_hgb_base15,fixed_threshold_0.50,all5,2025,1210,242,0.16252916217280172,65,2.411731207289294,127.63422785810172,0.5384615384615384,35,0.16052661370010182,0.6942021579998099,0.4946821724870184,255,59,0.23137254901960785,0.1568627450980392,0.2549019607843137,39.07633488914119
pooled_hgb_base15,fixed_threshold_0.50,KZT,2023,242,242,0.19469084306073467,17,2.239259748843357,135.8165306029693,0.8235294117647058,14,0.20880271305757112,0.7455753837115371,0.574245660399138,50,17,0.34,0.34,0.34,17.985275960994414
pooled_hgb_base15,fixed_threshold_0.50,KZT,2024,243,243,0.1957165481243733,37,1.717671517671517,72.3363726987888,0.4594594594594595,17,0.18199908182746652,0.6799481417458946,0.5798804208327081,51,37,0.7254901960784313,0.7254901960784313,0.7254901960784313,58.605551219789554
pooled_hgb_base15,fixed_threshold_0.50,KZT,2025,242,242,0.15083300134533928,9,2.2407407407407405,83.70102376433523,0.4444444444444444,4,0.15267347802843348,0.6858354810996564,0.4692651684676393,51,8,0.1568627450980392,0.1568627450980392,0.17647058823529413,65.17170246560782
pooled_hgb_base15,legacy,all5,2023,1210,242,0.2009819129742227,282,1.2224078997341437,29.922888862399454,0.4716312056737589,133,0.2086953727020357,0.7534259800968929,0.5851627712423375,250,246,0.984,0.98,1.128,75.88985595270333
pooled_hgb_base15,legacy,all5,2024,1215,243,0.1925737236107805,237,1.3295987493486192,24.49444811333371,0.4430379746835443,105,0.1966737723515478,0.7356195701874713,0.5696447139356187,255,215,0.8431372549019608,0.8235294117647058,0.9294117647058824,82.47388660177646
pooled_hgb_base15,legacy,all5,2025,1210,242,0.16252916217280172,204,1.8036437246963561,72.22182708137318,0.39705882352941174,81,0.16052661370010182,0.6942021579998099,0.4946821724870184,255,193,0.7568627450980392,0.7058823529411765,0.8,86.2132368563174
pooled_hgb_base15,legacy,KZT,2023,242,242,0.19469084306073467,58,1.265788454087563,17.36652998462376,0.46551724137931033,27,0.20880271305757112,0.7455753837115371,0.574245660399138,50,50,1.0,1.0,1.16,101.06711806347357
pooled_hgb_base15,legacy,KZT,2024,243,243,0.1957165481243733,47,1.3522094926350239,20.72603674913774,0.3617021276595745,17,0.18199908182746652,0.6799481417458946,0.5798804208327081,51,43,0.8431372549019608,0.8431372549019608,0.9215686274509803,102.91550967716942
pooled_hgb_base15,legacy,KZT,2025,242,242,0.15083300134533928,44,2.177083333333334,56.462709323278204,0.4318181818181818,19,0.15267347802843348,0.6858354810996564,0.4692651684676393,51,41,0.803921568627451,0.803921568627451,0.8627450980392157,106.80488656303332
pooled_hgb_full33,cadence85_cd2,all5,2023,1210,242,0.21205441029253905,315,1.290162654079935,37.36313051586855,0.4984126984126984,157,0.2065645145131933,0.7471850043662334,0.6081949275096481,250,224,0.896,0.88,1.26,70.52486626781614
