config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps,cutoff
oxr_full_2010_120m,oxr_delayed,all,1210,242,0.16267957841320108,220,1.7537727001449397,72.04261278739216,2025-01-01
oxr_full_2010_120m,oxr_delayed,KZT,242,242,0.15721928098795357,42,2.0406746031746033,70.00817601548545,2025-01-01
v3_120m,normal,all,1210,242,0.16267335692220672,204,1.8036437246963561,72.22182708137318,2025-01-01
v3_120m,normal,KZT,242,242,0.15646926295095248,44,2.177083333333334,56.462709323278204,2025-01-01
v3_180m,normal,all,1210,242,0.16313681881267914,220,1.6900017032873442,63.153509917970986,2025-01-01
v3_180m,normal,KZT,242,242,0.15673007739736025,44,1.833333333333334,52.697895311829896,2025-01-01
fusion_2010_120m,bank_delayed,KZT,156,156,0.23721799469737617,36,1.1403508771929827,16.466614809738342,2026-01-01
fusion_2010_120m,both_delayed,KZT,156,156,0.23853272634055464,36,1.1403508771929827,13.079119415518399,2026-01-01
fusion_2010_120m,normal,KZT,156,156,0.22353014608575272,36,1.1403508771929827,27.325233041211458,2026-01-01
fusion_2010_120m,oxr_delayed,KZT,156,156,0.22342242580781665,36,1.1403508771929827,27.325233041211458,2026-01-01
fusion_2010_180m,bank_delayed,KZT,156,156,0.22881318234339076,36,1.216374269005848,22.07230806428742,2026-01-01
fusion_2010_180m,both_delayed,KZT,156,156,0.22660658225683541,36,1.216374269005848,22.07230806428742,2026-01-01
fusion_2010_180m,normal,KZT,156,156,0.21777107263305012,34,1.2074303405572757,48.67024917998282,2026-01-01
fusion_2010_180m,oxr_delayed,KZT,156,156,0.2161299599934595,34,1.2074303405572757,48.67024917998282,2026-01-01
fusion_2018_120m,bank_delayed,KZT,156,156,0.23688721425708892,35,1.0165413533834589,25.475241847228325,2026-01-01
fusion_2018_120m,both_delayed,KZT,156,156,0.2363699516744785,35,1.0165413533834589,27.10746514088768,2026-01-01
fusion_2018_120m,normal,KZT,156,156,0.22238287332094933,34,1.2074303405572757,46.9900193188629,2026-01-01
fusion_2018_120m,oxr_delayed,KZT,156,156,0.22218720054936597,34,1.2074303405572757,46.9900193188629,2026-01-01
fusion_premium_2010_120m,bank_delayed,KZT,156,156,0.2353511573428355,34,1.0464396284829722,37.61856930978756,2026-01-01
fusion_premium_2010_120m,both_delayed,KZT,156,156,0.23328697094045017,36,1.216374269005848,18.684812670067476,2026-01-01
fusion_premium_2010_120m,normal,KZT,156,156,0.22031511994666708,34,1.2074303405572757,49.71904837323142,2026-01-01
fusion_premium_2010_120m,oxr_delayed,KZT,156,156,0.21659499221197992,35,1.1729323308270678,44.189902945363,2026-01-01
halyk_local_120m,bank_delayed,KZT,156,156,0.23775828318406303,36,1.3684210526315792,36.34640260361142,2026-01-01
halyk_local_120m,normal,KZT,156,156,0.22820947592656432,36,1.3684210526315792,36.34640260361142,2026-01-01
halyk_shrink_120m,bank_delayed,KZT,156,156,0.23766603683397988,35,1.0165413533834589,25.475241847228325,2026-01-01
halyk_shrink_120m,normal,KZT,156,156,0.22333096397798377,34,1.2074303405572757,46.9900193188629,2026-01-01
kzt_local_120m,normal,KZT,156,156,0.24119193658648072,34,1.2074303405572757,31.604298956545374,2026-01-01
kzt_oxr_2010_120m,normal,KZT,156,156,0.24088944457866168,35,1.0947368421052632,16.57331720830146,2026-01-01
kzt_oxr_2010_120m,oxr_delayed,KZT,156,156,0.24331317741706096,34,1.2074303405572757,32.099923216846506,2026-01-01
kzt_oxr_2018_120m,normal,KZT,156,156,0.2433996346615452,34,1.126934984520124,29.33635081177408,2026-01-01
kzt_oxr_2018_120m,oxr_delayed,KZT,156,156,0.24060888395072397,34,1.126934984520124,29.33635081177408,2026-01-01
kzt_shrink_120m,normal,KZT,156,156,0.24119193658648072,34,1.2074303405572757,31.604298956545374,2026-01-01
oxr_basis_2010_120m,normal,all,780,156,0.20888089782055855,178,1.3147914032869785,23.567128608437017,2026-01-01
oxr_basis_2010_120m,normal,KZT,156,156,0.23393013985814895,36,1.216374269005848,16.969751072769384,2026-01-01
oxr_basis_2010_120m,oxr_delayed,all,780,156,0.21012346840387944,177,1.2708421498095641,22.375705421565023,2026-01-01
oxr_basis_2010_120m,oxr_delayed,KZT,156,156,0.23648183089225674,36,1.1403508771929827,16.352574520411732,2026-01-01
oxr_basis_2010_180m,normal,all,780,156,0.20850090895641132,174,1.411308562197092,31.3362612470077,2026-01-01
oxr_basis_2010_180m,normal,KZT,156,156,0.23635130197256243,35,1.0947368421052632,26.541493460639018,2026-01-01
oxr_basis_2010_180m,oxr_delayed,all,780,156,0.20764907612865338,173,1.3851651326475363,29.7607490788228,2026-01-01
oxr_basis_2010_180m,oxr_delayed,KZT,156,156,0.23603203457098076,35,1.0947368421052632,24.052929211837316,2026-01-01
oxr_basis_2018_120m,normal,all,780,156,0.20881648745804496,177,1.256198347107438,23.635025545137676,2026-01-01
oxr_basis_2018_120m,normal,KZT,156,156,0.2351189471107063,34,1.126934984520124,29.83197507207521,2026-01-01
oxr_basis_2018_120m,oxr_delayed,all,780,156,0.20695518174357388,175,1.3041800643086816,26.382203419493905,2026-01-01
oxr_basis_2018_120m,oxr_delayed,KZT,156,156,0.23247380360566394,34,1.2074303405572757,31.604298956545374,2026-01-01
oxr_basis_2018_180m,normal,all,780,156,0.20862833034332492,175,1.3541956917800877,28.883335896855815,2026-01-01
oxr_basis_2018_180m,normal,KZT,156,156,0.23677222437824497,35,1.0947368421052632,24.052929211837316,2026-01-01
oxr_basis_2018_180m,oxr_delayed,all,780,156,0.20782187125539014,175,1.3201928227102302,26.852038057383396,2026-01-01
oxr_basis_2018_180m,oxr_delayed,KZT,156,156,0.23550053366575469,35,1.0947368421052632,24.052929211837316,2026-01-01
oxr_coverage_2010_120m,normal,all,780,156,0.20952834551339153,175,1.3201928227102302,25.576147242350157,2026-01-01
oxr_coverage_2010_120m,normal,KZT,156,156,0.23627795536009727,35,1.1729323308270678,18.776466834650726,2026-01-01
oxr_coverage_2010_120m,oxr_delayed,all,780,156,0.2117312596442356,176,1.2469359479910476,20.729979441576464,2026-01-01
oxr_coverage_2010_120m,oxr_delayed,KZT,156,156,0.239730071987654,35,1.0165413533834589,10.211777832287837,2026-01-01
oxr_full_2010_120m,normal,all,780,156,0.20846991323748468,176,1.3792074989348104,27.413041700484158,2026-01-01
oxr_full_2010_120m,normal,KZT,156,156,0.2337738964711103,34,1.126934984520124,29.33635081177408,2026-01-01
oxr_full_2010_120m,oxr_delayed,all,780,156,0.20834831891996455,177,1.3044030482641829,23.406000679578554,2026-01-01
oxr_full_2010_120m,oxr_delayed,KZT,156,156,0.23344916968142237,34,1.2074303405572757,27.15765654203022,2026-01-01
v3_120m,normal,all,780,156,0.20840602466731797,173,1.3369494467346497,29.640444412858635,2026-01-01
v3_120m,normal,KZT,156,156,0.23498034791182826,34,1.2074303405572757,31.604298956545374,2026-01-01
v3_180m,normal,all,780,156,0.20834379836188915,172,1.4266739248775175,33.70333066113332,2026-01-01
v3_180m,normal,KZT,156,156,0.2369271971391627,35,1.0947368421052632,26.541493460639018,2026-01-01
fusion_2010_120m,bank_delayed,KZT,122,122,0.24191098343531284,28,1.2708333333333333,24.809495537168548,2026-03-01
fusion_2010_120m,both_delayed,KZT,122,122,0.240925731434576,28,1.2708333333333333,24.809495537168548,2026-03-01
