period,corridor,indicator,scenario,horizon_days,raw_candidate_count,signal_count,hit_rate,random_day_hit_rate,lift,benefit_bps_symmetric,benefit_bps_ci_low,benefit_bps_ci_high,benefit_bps_forward,signals_per_week,raw_cluster_share_gap_le_3d,post_cooldown_cluster_share_gap_le_3d,post_cooldown_gap_cv,oot_periods,oot_lift_ge_1_count,oot_lift_ge_1_3_count,frequency_gate,benefit_ci_positive_gate,baseline_verdict
ALL,RUB/TJS,momentum_down_3,NOW_FAVORABLE,1,282,166,0.6024096385542169,0.5558823529411765,1.0836998788806018,23.30086264184409,16.916240909933773,30.055505531180334,1.8659157506257946,0.3881095524382097,0.46619217081850534,0.0,0.8897284907876599,7,5,1,False,True,RESEARCH_ONLY
ALL,RUB/TJS,momentum_down_3,NOW_FAVORABLE,3,282,166,0.39156626506024095,0.3318616629874908,1.1799081024764244,62.741170939934754,51.25496901395944,74.3422009483906,0.16595709232108155,0.38836898395721925,0.46619217081850534,0.0,0.8897284907876599,7,5,2,False,True,RESEARCH_ONLY
ALL,RUB/TJS,momentum_down_3,NOW_FAVORABLE,5,282,166,0.3192771084337349,0.2610456553755523,1.2230699950719661,74.12686281057253,59.96054195403381,89.65835283816637,0.03431647756010433,0.388628762541806,0.46619217081850534,0.0,0.8897284907876599,7,6,3,False,True,RESEARCH_ONLY
ALL,RUB/TJS,momentum_down_3,NOW_FAVORABLE,10,282,166,0.21084337349397592,0.18876985592907278,1.116933487374154,83.39128561369563,66.0761047948208,104.52727963645987,-1.6179703319179048,0.38993288590604025,0.46619217081850534,0.0,0.8897284907876599,7,4,3,False,True,RESEARCH_ONLY
ALL,RUB/TJS,momentum_down_3,NOW_FAVORABLE,20,280,164,0.12804878048780488,0.13350687988099666,0.9591174672192404,106.41116907856627,71.30985405989297,147.56840813299291,13.181226008625734,0.3879689084150051,0.46953405017921146,0.0,0.8936314593943541,7,2,2,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,low_level_90_p10,NOW_FAVORABLE,1,507,171,0.6023391812865497,0.5542533081285445,1.086757936223004,25.23077891161413,17.00857408274553,34.524603036710545,7.682933187732573,0.41162310866574964,0.8972332015810277,0.0,2.4575389475209115,7,5,1,False,True,RESEARCH_ONLY
ALL,RUB/TJS,low_level_90_p10,NOW_FAVORABLE,3,507,171,0.3508771929824561,0.3295497540673477,1.0647169013233428,44.5541131434666,30.093406651193735,62.90054354703384,13.546510455644441,0.41190640055058503,0.8972332015810277,0.0,2.4575389475209115,7,3,1,False,True,RESEARCH_ONLY
ALL,RUB/TJS,low_level_90_p10,NOW_FAVORABLE,5,507,171,0.2982456140350877,0.2593714502082545,1.1498783454987833,55.40403924495171,37.99886130313381,78.95116433044592,15.25605309121599,0.4121900826446281,0.8972332015810277,0.0,2.4575389475209115,7,3,1,False,True,RESEARCH_ONLY
ALL,RUB/TJS,low_level_90_p10,NOW_FAVORABLE,10,507,171,0.21637426900584794,0.18664643399089528,1.159273522559787,82.09722151902078,61.90595901236757,110.45084411421367,11.991239802827893,0.41290100034494653,0.8972332015810277,0.0,2.4575389475209115,7,3,2,False,True,RESEARCH_ONLY
ALL,RUB/TJS,low_level_90_p10,NOW_FAVORABLE,20,507,171,0.17543859649122806,0.13132851161020176,1.3358759216882785,132.63254228975535,98.70090062403568,180.9675608696982,5.462922283487606,0.4143302180685358,0.8972332015810277,0.0,2.4575389475209115,7,4,1,False,True,RESEARCH_ONLY
ALL,RUB/TJS,reversal_up_from_30d_low,WINDOW_CLOSING,1,200,135,0.4,0.46017043349388664,0.869243156199678,-25.913104062269067,-41.045927600715785,-16.39392801787915,-13.306078941018367,0.31828898619063656,0.4723618090452261,0.0,1.5200803945743873,7,3,0,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,reversal_up_from_30d_low,WINDOW_CLOSING,3,200,135,0.4740740740740741,0.5027808676307007,0.9429039659128156,-1.846109593039956,-23.689589650969673,14.665973142658144,-8.73448827973145,0.3185035389282103,0.4723618090452261,0.0,1.5200803945743873,7,3,1,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,reversal_up_from_30d_low,WINDOW_CLOSING,5,200,135,0.45925925925925926,0.5116883116883116,0.8975371310396691,19.051168216297963,0.38660602134287525,36.78967925221173,-5.500740088358712,0.31871838111298484,0.4723618090452261,0.0,1.5200803945743873,7,1,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,reversal_up_from_30d_low,WINDOW_CLOSING,10,200,135,0.4962962962962963,0.5215613382899629,0.9515588289643884,50.8828057310797,30.868263692283723,74.05567838851927,-3.6656886349621782,0.31925675675675674,0.4723618090452261,0.0,1.5200803945743873,7,3,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,reversal_up_from_30d_low,WINDOW_CLOSING,20,200,135,0.4740740740740741,0.5180902648265573,0.9150414633495987,97.99275182520444,73.2057969633722,126.97681709184752,-4.538348175290291,0.32033898305084746,0.4723618090452261,0.0,1.5200803945743873,7,2,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,seasonal_positive_month,WINDOW_CLOSING,1,32,32,0.40625,0.4682080924855491,0.8676697530864198,-20.17923780499154,-48.01834354975227,0.582631989477956,-17.778569129218837,0.0987219039224328,0.0,0.0,0.6438796000691699,7,1,1,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,seasonal_positive_month,WINDOW_CLOSING,3,31,31,0.4838709677419355,0.5096432015429122,0.9494308297982728,-44.18170564682079,-104.87292438677014,3.9351039309210223,-1.7694660011506071,0.0957212174680194,0.0,0.0,0.6369397127715897,7,4,2,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,seasonal_positive_month,WINDOW_CLOSING,5,31,31,0.5806451612903226,0.5212355212355212,1.1139784946236562,-56.91036870882027,-133.52700383998834,0.17460469138612247,-2.160409878863041,0.09580573951434879,0.0,0.0,0.6369397127715897,7,3,3,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,seasonal_positive_month,WINDOW_CLOSING,10,31,31,0.6451612903225806,0.532656023222061,1.2112156104421201,-54.73460903103203,-115.5031079939051,-5.38134284941577,59.73841857067652,0.09601769911504425,0.0,0.0,0.6369397127715897,7,4,3,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/TJS,seasonal_positive_month,WINDOW_CLOSING,20,31,31,0.6774193548387096,0.5403304178814383,1.2537131585054535,-88.47132251947733,-194.1791012979834,-4.560146592538504,33.359244508714255,0.09644444444444444,0.0,0.0,0.6369397127715897,7,5,3,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/UZS,momentum_down_3,NOW_FAVORABLE,1,285,171,0.6081871345029239,0.5450236966824644,1.1158911772184084,24.839051164517308,17.65821492226582,33.307526011039435,-2.1396383387206788,0.3997995991983968,0.43309859154929575,0.0,0.8640023501189305,7,4,1,False,True,RESEARCH_ONLY
ALL,RUB/UZS,momentum_down_3,NOW_FAVORABLE,3,285,171,0.3567251461988304,0.3239693542502736,1.1011076866340024,68.60039859533049,54.52856534466776,86.20649965680208,0.2734403778988975,0.4000668449197861,0.43309859154929575,0.0,0.8640023501189305,7,3,2,False,True,RESEARCH_ONLY
ALL,RUB/UZS,momentum_down_3,NOW_FAVORABLE,5,285,171,0.2631578947368421,0.2522818546914932,1.0431106710335898,79.39691056112693,62.355093416941884,99.20941183126706,5.906549195963952,0.4003344481605351,0.43309859154929575,0.0,0.8640023501189305,7,5,1,False,True,RESEARCH_ONLY
ALL,RUB/UZS,momentum_down_3,NOW_FAVORABLE,10,285,171,0.18128654970760233,0.17509157509157508,1.0353813403802392,91.39221904208526,73.11344217392633,111.9794985737597,-0.6034670632022194,0.4016778523489933,0.43309859154929575,0.0,0.8640023501189305,7,3,1,False,True,RESEARCH_ONLY
