config_id,policy,year,train_horizon,evaluation_horizon,evaluation_scope,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt_fullhistory,cadence90,2026,3,3,KZT,158,158,42,23,0.4240506329113924,0.5476190476190477,1.291400142146411,45.952737006148105,71.00297990286629,56.47488994025927,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,31,0.9393939393939394,0.9393939393939394,1.2727272727272727,2,2,1,0.9393939393939394
tabm_kzt_fullhistory,rank80,2024,3,3,KZT,245,245,52,28,0.3346938775510204,0.5384615384615384,1.6088180112570352,57.543425295022125,56.9926669438923,51.646340417368464,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,41,0.803921568627451,0.803921568627451,1.0196078431372548,10,2,3,0.803921568627451
tabm_kzt_fullhistory,rank80,2025,3,3,KZT,244,244,63,24,0.26229508196721313,0.38095238095238093,1.452380952380952,40.25448417433135,21.603092473580137,65.28786630783867,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,47,0.9215686274509803,0.9215686274509803,1.2352941176470589,4,2,2,0.9215686274509803
tabm_kzt_fullhistory,rank80,2026,3,3,KZT,158,158,36,22,0.4240506329113924,0.6111111111111112,1.4411276948590384,73.79647137087271,98.8467142675909,38.42024877620278,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,28,0.8484848484848485,0.8484848484848485,1.0909090909090908,5,2,2,0.8484848484848485
tabm_kzt_fullhistory,rank90,2024,3,3,KZT,245,245,62,26,0.3346938775510204,0.41935483870967744,1.2529504327301333,43.47274755248217,42.92198920135233,52.75393254587927,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,44,0.8627450980392157,0.8627450980392157,1.2156862745098038,7,2,3,0.8627450980392157
tabm_kzt_fullhistory,rank90,2025,3,3,KZT,244,244,68,25,0.26229508196721313,0.36764705882352944,1.4016544117647056,28.040411209249257,9.389019508498059,74.96592146853237,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,48,0.9411764705882353,0.9411764705882353,1.3333333333333333,3,2,1,0.9411764705882353
tabm_kzt_fullhistory,rank90,2026,3,3,KZT,158,158,41,22,0.4240506329113924,0.5365853658536586,1.26538041499818,45.85834844251059,70.90859133922876,57.11369857830352,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,31,0.9393939393939394,0.9393939393939394,1.2424242424242424,2,2,1,0.9393939393939394
tabm_kzt_fullhistory,rank90_shared,2024,3,3,KZT,245,245,62,26,0.3346938775510204,0.41935483870967744,1.2529504327301333,43.47274755248217,42.92198920135233,52.75393254587927,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,44,0.8627450980392157,0.8627450980392157,1.2156862745098038,7,2,3,0.8627450980392157
tabm_kzt_fullhistory,rank90_shared,2025,3,3,KZT,244,244,68,25,0.26229508196721313,0.36764705882352944,1.4016544117647056,28.040411209249257,9.389019508498059,74.96592146853237,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,48,0.9411764705882353,0.9411764705882353,1.3333333333333333,3,2,1,0.9411764705882353
tabm_kzt_fullhistory,rank90_shared,2026,3,3,KZT,158,158,41,22,0.4240506329113924,0.5365853658536586,1.26538041499818,45.85834844251059,70.90859133922876,57.11369857830352,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,31,0.9393939393939394,0.9393939393939394,1.2424242424242424,2,2,1,0.9393939393939394
tabm_kzt_fullhistory,strict05,2024,3,3,KZT,245,245,33,22,0.3346938775510204,0.6666666666666666,1.991869918699187,75.17150609315946,74.62074774202964,41.61099761865557,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,32,0.6274509803921569,0.6274509803921569,0.6470588235294118,19,2,8,0.6274509803921569
tabm_kzt_fullhistory,strict05,2025,3,3,KZT,244,244,19,12,0.26229508196721313,0.631578947368421,2.407894736842105,114.85988332135749,96.20849162060627,40.8289415060592,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,19,0.37254901960784315,0.37254901960784315,0.37254901960784315,32,1,7,0.37254901960784315
tabm_kzt_fullhistory,strict05,2026,3,3,KZT,158,158,25,18,0.4240506329113924,0.72,1.6979104477611942,99.23668937542966,124.28693227214787,23.747960509789138,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,22,0.6666666666666666,0.6666666666666666,0.7575757575757576,11,2,4,0.6666666666666666
