date,corridor,session_ordinal,raw_probability,probability,candidate_signal,closing_probability,closing_annotation,primary_scenario,model_verdict,expires,authorized_contact
2026-05-16,KZT,4040,0.047445155680179596,0.07775292945318292,False,0.38696725475699145,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-19,KZT,4041,0.04354849085211754,0.07298702875447041,False,0.3829097620296774,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-20,KZT,4042,0.00697100767865777,0.018592039134511816,False,0.3089614993031107,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-21,KZT,4043,0.20675842463970184,0.2293016593415654,True,0.5012535887580194,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-22,KZT,4044,0.21075494587421417,0.23257596145677564,False,0.5247058331726681,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-23,KZT,4045,0.14106009900569916,0.1730406301643212,False,0.47458504034258686,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-26,KZT,4046,0.10959870368242264,0.1438192786764925,False,0.44502543755557233,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-27,KZT,4047,0.0023419526405632496,0.008155206970487402,False,0.29388688118315587,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-28,KZT,4048,0.09038159996271133,0.12487151094923178,False,0.3895390264045274,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-29,KZT,4049,0.02040673792362213,0.04158805463442882,False,0.3773551736269728,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-30,KZT,4050,0.052363719791173935,0.08361801087979497,False,0.4060663641802065,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-02,KZT,4051,0.14933638274669647,0.18043409596615428,True,0.48826237847004245,True,NOW,Модельный сигнал: выгодно сейчас; есть признаки закрытия окна,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-03,KZT,4052,0.1676700860261917,0.19645859536756938,False,0.45751862358490314,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-04,KZT,4053,0.5041348934173584,0.4563213870813494,False,0.4748009283122353,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-05,KZT,4054,0.03663503751158714,0.06423049196877134,False,0.3147054982484463,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-06,KZT,4055,0.3062806725502014,0.30774040426570526,True,0.4653050157302192,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-09,KZT,4056,0.009676394052803516,0.0237923451384132,False,0.3090032290250392,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-10,KZT,4057,0.16035166382789612,0.1901166845230478,False,0.48126705925882823,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-11,KZT,4058,0.1080678179860115,0.1423446802622961,False,0.38905385200996273,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-12,KZT,4059,0.21890662610530853,0.23921342684500654,True,0.4958987543105716,True,NOW,Модельный сигнал: выгодно сейчас; есть признаки закрытия окна,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-16,KZT,4060,0.05945345014333725,0.09181263730206252,False,0.31963479940530837,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-17,KZT,4061,0.44325369596481323,0.4106056147862952,False,0.47834049008251955,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-06-18,KZT,4062,0.28352439403533936,0.290259782760631,True,0.478451129315144,True,NOW,Модельный сигнал: выгодно сейчас; есть признаки закрытия окна,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
