scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
no_behavioral_response,4101,2025,market_only,active_bank_assumption,49.857142857142854,40.4,5.3975,0.0,13.254999999999999,13.254999999999999,579925.8238537032,579925.8238537032,0.0,-40.4,0.0,0.0,0.0,0.0,15.399999999999999,1663.907526605528,0.13360148514851486,0.0,0.0
no_behavioral_response,4101,2025,matched_calendar,active_bank_assumption,49.857142857142854,6.4125,0.8399999999999999,0.0,13.254999999999999,13.254999999999999,579925.8238537032,579925.8238537032,0.0,-6.4125,0.0,0.0,0.0,0.0,1.325,18.271555290907546,0.1309941520467836,0.0,0.0
no_behavioral_response,4101,2025,matched_random_market,active_bank_assumption,49.857142857142854,6.4125,0.65,0.0,13.254999999999999,13.254999999999999,579925.8238537032,579925.8238537032,0.0,-6.4125,0.0,0.0,0.0,0.0,2.645,306.7055963371553,0.101364522417154,0.0,0.0
no_behavioral_response,4101,2025,user_aware,active_bank_assumption,49.857142857142854,6.4125,3.9475,0.0,13.254999999999999,13.254999999999999,579925.8238537032,579925.8238537032,0.0,-6.4125,0.0,0.0,0.0,0.0,2.375,275.76503512564443,0.6155945419103314,0.0,0.0
no_behavioral_response,4101,2025,weekly_fixed,active_bank_assumption,49.857142857142854,51.0,6.8375,0.0,13.254999999999999,13.254999999999999,579925.8238537032,579925.8238537032,0.0,-51.0,0.0,0.0,0.0,0.0,10.0,-1716.1423804482838,0.1340686274509804,0.0,0.0
no_behavioral_response,4101,2026,frequency_gate,active_bank_assumption,32.142857142857146,7.172499999999999,1.7675,0.0,8.61,8.61,377044.6271763677,377044.6271763677,0.0,-7.172499999999999,0.0,0.0,0.0,0.0,3.1525,382.355570994149,0.24642732659463232,0.0,0.0
no_behavioral_response,4101,2026,market_only,active_bank_assumption,32.142857142857146,33.6,4.1225,0.0,8.61,8.61,377044.6271763677,377044.6271763677,0.0,-33.6,0.0,0.0,0.0,0.0,15.8,2051.9660266719184,0.12269345238095236,0.0,0.0
no_behavioral_response,4101,2026,matched_calendar,active_bank_assumption,32.142857142857146,5.0275,0.655,0.0,8.61,8.61,377044.6271763677,377044.6271763677,0.0,-5.0275,0.0,0.0,0.0,0.0,2.0975,270.98276146525893,0.1302834410740925,0.0,0.0
no_behavioral_response,4101,2026,matched_random_market,active_bank_assumption,32.142857142857146,5.0275,0.7649999999999999,0.0,8.61,8.61,377044.6271763677,377044.6271763677,0.0,-5.0275,0.0,0.0,0.0,0.0,2.585,365.11554469115083,0.15216310293386373,0.0,0.0
no_behavioral_response,4101,2026,user_aware,active_bank_assumption,32.142857142857146,5.0275,3.13,0.0,8.61,8.61,377044.6271763677,377044.6271763677,0.0,-5.0275,0.0,0.0,0.0,0.0,2.2225,293.0579049086196,0.6225758329189458,0.0,0.0
