scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2025,monthly,matched_calendar,145,22,8,229,229,11884288.790610777,11884288.790610777,1257.0771340014098,1112.0771340014098,0.0,375225.19316394674,25,4,28.0,-749.2564238595598,20,997.1428571428571,7.25,0.14541547277936964,0.15172413793103448,0.05517241379310345,0.034934497816593885,62.853856700070494,55.603856700070494,1.057763873084747,33.501938486634515,0.19310344827586207,-5.167285681790068,0.0
base,2025,monthly,matched_random_market,145,15,7,229,229,11884288.790610777,11884288.790610777,704.2078188803977,559.2078188803977,0.0,302348.01576491963,25,3,63.0,9118.568116387058,20,997.1428571428571,7.25,0.14541547277936964,0.10344827586206896,0.04827586206896552,0.03056768558951965,35.210390944019885,27.960390944019885,0.5925536069409214,23.291299501298212,0.43448275862068964,62.88667666473833,0.0
base,2025,monthly,user_aware,145,81,27,229,229,11884288.790610777,11884288.790610777,13574.246985167629,13429.246985167629,0.0,1293884.586084045,80,7,53.0,5747.493963840387,20,997.1428571428571,7.25,0.14541547277936964,0.5586206896551724,0.18620689655172415,0.11790393013100436,678.7123492583814,671.4623492583814,11.422010373807147,104.91080217788378,0.36551724137931035,39.63788940579577,0.0
base,2025,monthly,weekly_fixed,1020,125,39,229,229,11884288.790610777,11884288.790610777,-2377.4672702829653,-3397.4672702829653,0.0,1705002.0412129583,120,25,200.0,-34322.847608965676,20,997.1428571428571,51.0,1.0229226361031518,0.12254901960784313,0.03823529411764706,0.1703056768558952,-118.87336351414827,-169.87336351414825,-2.0005128722227714,-13.944072868039544,0.19607843137254902,-33.64985059702517,0.0
base,2025,occasional,frequency_gate,103,29,8,90,90,9248242.635996997,9248242.635996997,4915.367590965194,4812.367590965194,0.0,773912.3960138005,53,4,28.0,2850.3384442983006,20,997.1428571428571,5.15,0.10329512893982809,0.2815533980582524,0.07766990291262135,0.08888888888888889,245.7683795482597,240.6183795482597,5.314920665936115,63.513229873081684,0.27184466019417475,27.67318877959515,0.0
base,2025,occasional,market_only,808,87,24,90,90,9248242.635996997,9248242.635996997,25044.402439242032,24236.402439242032,0.0,2254769.878794416,165,6,308.0,33278.15053211056,20,997.1428571428571,40.4,0.8103151862464184,0.10767326732673267,0.0297029702970297,0.26666666666666666,1252.2201219621015,1211.8201219621017,27.080174499057296,111.07298653746791,0.3811881188118812,41.18582986647346,0.0
base,2025,occasional,matched_calendar,102,8,4,90,90,9248242.635996997,9248242.635996997,-4286.553025898124,-4388.553025898124,0.0,375070.2737530455,35,2,26.0,1757.9715350501745,20,997.1428571428571,5.1,0.1022922636103152,0.0784313725490196,0.0392156862745098,0.044444444444444446,-214.32765129490622,-219.4276512949062,-4.634991959676258,-114.28666374985731,0.2549019607843137,17.235015049511514,0.0
base,2025,occasional,matched_random_market,102,8,1,90,90,9248242.635996997,9248242.635996997,1032.909288992763,930.9092889927631,0.0,117199.59994045888,4,0,37.0,2069.0991576979723,20,997.1428571428571,5.1,0.1022922636103152,0.0784313725490196,0.00980392156862745,0.011111111111111112,51.645464449638155,46.54546444963815,1.1168708798495006,88.13249273184498,0.3627450980392157,20.285285859784043,0.0
base,2025,occasional,user_aware,102,62,19,90,90,9248242.635996997,9248242.635996997,16493.917604834136,16391.917604834136,0.0,1826599.6327323709,128,6,36.0,4826.393085751858,20,997.1428571428571,5.1,0.1022922636103152,0.6078431372549019,0.18627450980392157,0.2111111111111111,824.6958802417068,819.5958802417068,17.834650596897998,90.2984830899218,0.35294117647058826,47.31757927207704,0.0
base,2025,occasional,weekly_fixed,1020,96,30,90,90,9248242.635996997,9248242.635996997,-4093.6617416876024,-5113.661741687602,0.0,3168246.548267307,205,14,200.0,-34322.847608965676,20,997.1428571428571,51.0,1.0229226361031518,0.09411764705882353,0.029411764705882353,0.3333333333333333,-204.68308708438013,-255.68308708438013,-4.426421216236061,-12.920906499295008,0.19607843137254902,-33.64985059702517,0.0
