scenario,year,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
no_behavioral_response,2023,matched_random_market,383,48,0,1115,1115,37163560.71933364,37163560.71933364,0.0,-383.0,0.0,0.0,0,0,205.0,32483.06297174718,60,2982.857142857143,6.383333333333334,0.12840038314176244,0.12532637075718014,0.0,0.0,0.0,-6.383333333333334,0.0,,0.5352480417754569,84.81217486095869,0.0
no_behavioral_response,2023,user_aware,383,230,0,1115,1115,37163560.71933364,37163560.71933364,0.0,-383.0,0.0,0.0,0,0,208.0,32542.212635138007,60,2982.857142857143,6.383333333333334,0.12840038314176244,0.6005221932114883,0.0,0.0,0.0,-6.383333333333334,0.0,,0.5430809399477807,84.96661262438121,0.0
no_behavioral_response,2023,weekly_fixed,3000,405,0,1115,1115,37163560.71933364,37163560.71933364,0.0,-3000.0,0.0,0.0,0,0,1020.0,50424.11990562544,60,2982.857142857143,50.0,1.0057471264367814,0.135,0.0,0.0,0.0,-50.0,0.0,,0.34,16.808039968541813,0.0
no_behavioral_response,2024,frequency_gate,686,130,0,1121,1121,36553491.66366736,36553491.66366736,0.0,-686.0,0.0,0.0,0,0,306.0,27904.554361230184,60,3000.0,11.433333333333334,0.22866666666666666,0.18950437317784258,0.0,0.0,0.0,-11.433333333333334,0.0,,0.446064139941691,40.677192946399686,0.0
no_behavioral_response,2024,market_only,2976,373,0,1121,1121,36553491.66366736,36553491.66366736,0.0,-2976.0,0.0,0.0,0,0,1320.0,127433.27302132084,60,3000.0,49.6,0.992,0.12533602150537634,0.0,0.0,0.0,-49.6,0.0,,0.4435483870967742,42.82032023565888,0.0
no_behavioral_response,2024,matched_calendar,442,51,0,1121,1121,36553491.66366736,36553491.66366736,0.0,-442.0,0.0,0.0,0,0,117.0,-15676.783418727187,60,3000.0,7.366666666666666,0.14733333333333334,0.11538461538461539,0.0,0.0,0.0,-7.366666666666666,0.0,,0.2647058823529412,-35.467835788975535,0.0
no_behavioral_response,2024,matched_random_market,442,69,0,1121,1121,36553491.66366736,36553491.66366736,0.0,-442.0,0.0,0.0,0,0,185.0,13159.83393658061,60,3000.0,7.366666666666666,0.14733333333333334,0.15610859728506787,0.0,0.0,0.0,-7.366666666666666,0.0,,0.41855203619909503,29.773379947014952,0.0
no_behavioral_response,2024,user_aware,442,269,0,1121,1121,36553491.66366736,36553491.66366736,0.0,-442.0,0.0,0.0,0,0,209.0,22230.833709439663,60,3000.0,7.366666666666666,0.14733333333333334,0.6085972850678733,0.0,0.0,0.0,-7.366666666666666,0.0,,0.47285067873303166,50.29600386751055,0.0
no_behavioral_response,2024,weekly_fixed,3060,437,0,1121,1121,36553491.66366736,36553491.66366736,0.0,-3060.0,0.0,0.0,0,0,864.0,15869.235141331914,60,3000.0,51.0,1.02,0.14281045751633986,0.0,0.0,0.0,-51.0,0.0,,0.2823529411764706,5.186024555990821,0.0
no_behavioral_response,2025,frequency_gate,597,136,0,1113,1113,37262445.82107263,37262445.82107263,0.0,-597.0,0.0,0.0,0,0,205.0,20707.65467767466,60,2991.428571428571,9.95,0.19957020057306593,0.22780569514237856,0.0,0.0,0.0,-9.95,0.0,,0.34338358458961477,34.68618873982356,0.0
no_behavioral_response,2025,market_only,2424,337,0,1113,1113,37262445.82107263,37262445.82107263,0.0,-2424.0,0.0,0.0,0,0,924.0,99834.45159633168,60,2991.428571428571,40.4,0.8103151862464184,0.13902640264026403,0.0,0.0,0.0,-40.4,0.0,,0.3811881188118812,41.18582986647347,0.0
no_behavioral_response,2025,matched_calendar,387,49,0,1113,1113,37262445.82107263,37262445.82107263,0.0,-387.0,0.0,0.0,0,0,83.0,1005.867884229634,60,2991.428571428571,6.45,0.12936962750716333,0.12661498708010335,0.0,0.0,0.0,-6.45,0.0,,0.2144702842377261,2.5991418197148164,0.0
no_behavioral_response,2025,matched_random_market,387,41,0,1113,1113,37262445.82107263,37262445.82107263,0.0,-387.0,0.0,0.0,0,0,160.0,17724.510068061478,60,2991.428571428571,6.45,0.12936962750716333,0.10594315245478036,0.0,0.0,0.0,-6.45,0.0,,0.4134366925064599,45.79976761772992,0.0
no_behavioral_response,2025,user_aware,387,248,0,1113,1113,37262445.82107263,37262445.82107263,0.0,-387.0,0.0,0.0,0,0,145.0,17101.44665724696,60,2991.428571428571,6.45,0.12936962750716333,0.6408268733850129,0.0,0.0,0.0,-6.45,0.0,,0.37467700258397935,44.18978464404899,0.0
no_behavioral_response,2025,weekly_fixed,3060,472,0,1113,1113,37262445.82107263,37262445.82107263,0.0,-3060.0,0.0,0.0,0,0,600.0,-102968.54282689701,60,2991.428571428571,51.0,1.022922636103152,0.1542483660130719,0.0,0.0,0.0,-51.0,0.0,,0.19607843137254902,-33.64985059702517,0.0
no_behavioral_response,2026,frequency_gate,478,105,0,722,722,24239348.724218074,24239348.724218074,0.0,-478.0,0.0,0.0,0,0,211.0,26849.366383641307,60,1928.5714285714287,7.966666666666667,0.24785185185185185,0.2196652719665272,0.0,0.0,0.0,-7.966666666666667,0.0,,0.44142259414225943,56.170222559919054,0.0
no_behavioral_response,2026,market_only,2016,257,0,722,722,24239348.724218074,24239348.724218074,0.0,-2016.0,0.0,0.0,0,0,948.0,123117.9616003151,60,1928.5714285714287,33.6,1.0453333333333332,0.12748015873015872,0.0,0.0,0.0,-33.6,0.0,,0.47023809523809523,61.07041746047376,0.0
no_behavioral_response,2026,matched_calendar,306,47,0,722,722,24239348.724218074,24239348.724218074,0.0,-306.0,0.0,0.0,0,0,126.0,16176.517999820453,60,1928.5714285714287,5.1,0.15866666666666665,0.15359477124183007,0.0,0.0,0.0,-5.1,0.0,,0.4117647058823529,52.86443790790998,0.0
no_behavioral_response,2026,matched_random_market,306,49,0,722,722,24239348.724218074,24239348.724218074,0.0,-306.0,0.0,0.0,0,0,159.0,21466.235774605702,60,1928.5714285714287,5.1,0.15866666666666665,0.16013071895424835,0.0,0.0,0.0,-5.1,0.0,,0.5196078431372549,70.15109730263302,0.0
no_behavioral_response,2026,user_aware,306,190,0,722,722,24239348.724218074,24239348.724218074,0.0,-306.0,0.0,0.0,0,0,135.0,19106.055548466305,60,1928.5714285714287,5.1,0.15866666666666665,0.6209150326797386,0.0,0.0,0.0,-5.1,0.0,,0.4411764705882353,62.43809002766766,0.0
no_behavioral_response,2026,weekly_fixed,1980,256,0,722,722,24239348.724218074,24239348.724218074,0.0,-1980.0,0.0,0.0,0,0,600.0,52343.95927131189,60,1928.5714285714287,33.0,1.0266666666666666,0.1292929292929293,0.0,0.0,0.0,-33.0,0.0,,0.30303030303030304,26.436343066319136,0.0
