date,inflationTarget,annualInflation,baseRate,tonia
2026-06-18,5.0,10.4,17.0,16.64
2026-06-19,5.0,10.4,17.0,16.5
2026-06-20,5.0,10.4,17.0,16.59
2026-06-21,5.0,10.4,17.0,16.59
2026-06-22,5.0,10.4,17.0,16.59
2026-06-23,5.0,10.4,17.0,16.67
2026-06-24,5.0,10.4,17.0,16.69
2026-06-25,5.0,10.4,17.0,16.72
2026-06-26,5.0,10.4,17.0,16.72
2026-06-27,5.0,10.4,17.0,16.83
2026-06-28,5.0,10.4,17.0,16.83
2026-06-29,5.0,10.4,17.0,16.83
2026-06-30,5.0,10.4,17.0,16.8
2026-07-01,5.0,10.4,17.0,16.24
2026-07-02,5.0,10.3,17.0,16.36
2026-07-03,5.0,10.3,17.0,16.59
2026-07-04,5.0,10.3,17.0,16.9
2026-07-05,5.0,10.3,17.0,16.9
2026-07-06,5.0,10.3,17.0,16.9
2026-07-07,5.0,10.3,17.0,16.9
2026-07-08,5.0,10.3,17.0,16.55
2026-07-09,5.0,10.3,17.0,16.55
2026-07-10,5.0,10.3,17.0,16.47
2026-07-11,5.0,10.3,17.0,16.61
2026-07-12,5.0,10.3,17.0,16.61
2026-07-13,5.0,10.3,17.0,16.61
2026-07-14,5.0,10.3,17.0,16.73
2026-07-15,5.0,10.3,17.0,16.79
2026-07-16,5.0,10.3,17.0,16.79
2026-07-17,5.0,10.3,17.0,16.76
2026-07-18,5.0,10.3,17.0,16.72
2026-07-19,5.0,10.3,17.0,16.72
2026-07-20,5.0,10.3,17.0,16.72
2026-07-21,5.0,10.3,17.0,16.67
2026-07-22,5.0,10.3,17.0,16.72
2026-07-23,5.0,10.3,17.0,16.64
2026-07-24,5.0,10.3,17.0,16.51
2026-07-25,5.0,10.3,16.75,16.29
2026-07-26,5.0,10.3,16.75,16.29
2026-07-27,5.0,10.3,16.75,16.29
2026-07-28,5.0,10.3,16.75,16.29
2026-07-29,5.0,10.3,16.75,16.43
2026-07-30,5.0,10.3,16.75,16.15
2026-07-31,5.0,10.3,16.75,16.21
2026-08-01,5.0,10.3,16.75,15.72
2026-08-02,5.0,10.3,16.75,15.72
2026-08-03,5.0,10.3,16.75,15.72
2026-08-04,5.0,10.2,16.75,15.62
2026-08-05,5.0,10.2,16.75,15.86
2026-08-06,5.0,10.2,16.75,15.84
2026-08-07,5.0,10.2,16.75,15.81
2026-08-08,5.0,10.2,16.75,15.77
2026-08-09,5.0,10.2,16.75,15.77
2026-08-10,5.0,10.2,16.75,15.77
2026-08-11,5.0,10.2,16.75,15.8
2026-08-12,5.0,10.2,16.75,15.77
2026-08-13,5.0,10.2,16.75,15.76
2026-08-14,5.0,10.2,16.75,15.8
2026-08-15,5.0,10.2,16.75,15.85
2026-08-16,5.0,10.2,16.75,15.85
2026-08-17,5.0,10.2,16.75,15.85
2026-08-18,5.0,10.2,16.75,15.83
2026-08-19,5.0,10.2,16.75,15.95
2026-08-20,5.0,10.2,16.75,16.03
2026-08-21,5.0,10.2,16.75,16.01
2026-08-22,5.0,10.2,16.75,16.04
2026-08-23,5.0,10.2,16.75,16.04
2026-08-24,5.0,10.2,16.75,16.04
2026-08-25,5.0,10.2,16.75,16.13
2026-08-26,5.0,10.2,16.75,16.13
2026-08-27,5.0,10.2,16.75,17.26
2026-08-28,5.0,10.2,16.75,17.33
2026-08-29,5.0,10.2,16.75,16.91
2026-08-30,5.0,10.2,16.75,16.91
2026-08-31,5.0,10.2,16.75,16.91
2026-09-01,5.0,10.2,16.75,16.27
2026-09-02,5.0,9.8,16.75,16.12
2026-09-03,5.0,9.8,16.75,16.17
