effective_date,available_at,symbol,normalized_value,normalized_unit
2020-11-24,2020-11-24 00:00:00+00:00,CNY,11.5326,RUB_per_CNY
2020-11-24,2020-11-24 00:00:00+00:00,KZT,0.178242,RUB_per_KZT
2020-11-24,2020-11-24 00:00:00+00:00,USD,75.76,RUB_per_USD
2020-11-25,2020-11-25 00:00:00+00:00,CNY,11.5257,RUB_per_CNY
2020-11-25,2020-11-25 00:00:00+00:00,KZT,0.17856,RUB_per_KZT
2020-11-25,2020-11-25 00:00:00+00:00,USD,75.8146,RUB_per_USD
2020-11-26,2020-11-26 00:00:00+00:00,CNY,11.4714,RUB_per_CNY
2020-11-26,2020-11-26 00:00:00+00:00,KZT,0.178427,RUB_per_KZT
2020-11-26,2020-11-26 00:00:00+00:00,USD,75.4727,RUB_per_USD
2020-11-27,2020-11-27 00:00:00+00:00,CNY,11.4803,RUB_per_CNY
2020-11-27,2020-11-27 00:00:00+00:00,KZT,0.1783139999999999,RUB_per_KZT
2020-11-27,2020-11-27 00:00:00+00:00,USD,75.4518,RUB_per_USD
2020-11-28,2020-11-28 00:00:00+00:00,CNY,11.5245,RUB_per_CNY
2020-11-28,2020-11-28 00:00:00+00:00,KZT,0.178898,RUB_per_KZT
2020-11-28,2020-11-28 00:00:00+00:00,USD,75.8599,RUB_per_USD
2020-12-01,2020-12-01 00:00:00+00:00,CNY,11.5754,RUB_per_CNY
2020-12-01,2020-12-01 00:00:00+00:00,KZT,0.179066,RUB_per_KZT
2020-12-01,2020-12-01 00:00:00+00:00,USD,76.1999,RUB_per_USD
2020-12-02,2020-12-02 00:00:00+00:00,CNY,11.6138,RUB_per_CNY
2020-12-02,2020-12-02 00:00:00+00:00,KZT,0.179286,RUB_per_KZT
2020-12-02,2020-12-02 00:00:00+00:00,USD,76.3203,RUB_per_USD
2020-12-03,2020-12-03 00:00:00+00:00,CNY,11.513,RUB_per_CNY
2020-12-03,2020-12-03 00:00:00+00:00,KZT,0.177755,RUB_per_KZT
2020-12-03,2020-12-03 00:00:00+00:00,USD,75.6151,RUB_per_USD
2020-12-04,2020-12-04 00:00:00+00:00,CNY,11.4651,RUB_per_CNY
2020-12-04,2020-12-04 00:00:00+00:00,KZT,0.177802,RUB_per_KZT
2020-12-04,2020-12-04 00:00:00+00:00,USD,75.1996,RUB_per_USD
2020-12-05,2020-12-05 00:00:00+00:00,CNY,11.3698,RUB_per_CNY
2020-12-05,2020-12-05 00:00:00+00:00,KZT,0.176335,RUB_per_KZT
