track,scope,config_id,year,corridor,rows,dates,brier,signals,lift,forward_delta_bps
development_2023_2025,all,oxr_full_24m_delay24h,2024,UZS,243,243,0.19214030016007624,59,1.0296610169491525,10.075666110235193
development_2023_2025,all,oxr_full_24m_delay24h,2025,AMD,242,242,0.15738655262960577,44,1.7641509433962266,66.31179533241725
development_2023_2025,all,oxr_full_24m_delay24h,2025,KGS,242,242,0.15285088607364708,41,1.4454952712792433,58.856623669169515
development_2023_2025,all,oxr_full_24m_delay24h,2025,KZT,242,242,0.15558171199380258,42,2.0406746031746033,66.81538926908826
development_2023_2025,all,oxr_full_24m_delay24h,2025,TJS,242,242,0.19171650917308644,41,1.7707317073170734,63.75423983286891
development_2023_2025,all,oxr_full_24m_delay24h,2025,UZS,242,242,0.1486652784095094,42,1.6805555555555558,73.21610609209381
development_2023_2025,all,oxr_full_24m_delay48h,2023,AMD,242,242,0.2192697415564042,58,1.1858439201451902,22.691926311670713
development_2023_2025,all,oxr_full_24m_delay48h,2023,KGS,242,242,0.2021055309870995,56,1.1493161094224926,15.620064166660216
development_2023_2025,all,oxr_full_24m_delay48h,2023,KZT,242,242,0.20112440195068051,47,1.4463303848912261,38.90170403220527
development_2023_2025,all,oxr_full_24m_delay48h,2023,TJS,242,242,0.20949478247067982,49,1.4185844550586193,31.471496292397145
development_2023_2025,all,oxr_full_24m_delay48h,2023,UZS,242,242,0.2162510729071326,48,1.220614035087719,38.531614710034425
development_2023_2025,all,oxr_full_24m_delay48h,2024,AMD,243,243,0.1980184654521736,57,1.2037151702786377,25.28611393750774
development_2023_2025,all,oxr_full_24m_delay48h,2024,KGS,243,243,0.19745051306084943,57,1.136842105263158,14.706800722259983
development_2023_2025,all,oxr_full_24m_delay48h,2024,KZT,243,243,0.19882120719616528,52,1.2221893491124256,7.880926330348958
development_2023_2025,all,oxr_full_24m_delay48h,2024,TJS,243,243,0.1977229492022394,47,1.2773466833541927,37.01977752657366
development_2023_2025,all,oxr_full_24m_delay48h,2024,UZS,243,243,0.18647922040143752,47,1.3571808510638297,49.34307821745501
development_2023_2025,all,oxr_full_24m_delay48h,2025,AMD,242,242,0.15570924599909375,39,1.639090469279149,74.41733963475181
development_2023_2025,all,oxr_full_24m_delay48h,2025,KGS,242,242,0.14910617101909165,41,1.6864111498257839,71.5715299212973
development_2023_2025,all,oxr_full_24m_delay48h,2025,KZT,242,242,0.1532311081815526,42,2.0406746031746033,62.93339694882849
development_2023_2025,all,oxr_full_24m_delay48h,2025,TJS,242,242,0.19250286753572057,38,1.7285714285714284,68.76356073936617
development_2023_2025,all,oxr_full_24m_delay48h,2025,UZS,242,242,0.14862459886739166,46,1.7536231884057978,65.15223992719825
development_2023_2025,all,oxr_returns_120m_delay24h,2023,AMD,242,242,0.20855050532696956,56,1.182706766917293,33.36692487840793
development_2023_2025,all,oxr_returns_120m_delay24h,2023,KGS,242,242,0.19702395928905472,56,1.1493161094224926,33.16441026604959
development_2023_2025,all,oxr_returns_120m_delay24h,2023,KZT,242,242,0.19925702148073487,58,1.265788454087563,17.36652998462376
development_2023_2025,all,oxr_returns_120m_delay24h,2023,TJS,242,242,0.2062946980472265,55,1.2638297872340423,34.370922375864055
development_2023_2025,all,oxr_returns_120m_delay24h,2023,UZS,242,242,0.2115105853900319,59,1.165744870651204,17.215697048366202
development_2023_2025,all,oxr_returns_120m_delay24h,2024,AMD,243,243,0.19824483845994112,48,1.3102941176470588,24.349197842629952
development_2023_2025,all,oxr_returns_120m_delay24h,2024,KGS,243,243,0.19939418115223814,46,1.35,45.46410114794713
development_2023_2025,all,oxr_returns_120m_delay24h,2024,KZT,243,243,0.19000595311873125,47,1.3522094926350239,15.016780659611719
development_2023_2025,all,oxr_returns_120m_delay24h,2024,TJS,243,243,0.19404718096563087,42,1.3613445378151259,36.51518451994489
development_2023_2025,all,oxr_returns_120m_delay24h,2024,UZS,243,243,0.17780951807251397,46,1.4527173913043476,38.622540320833714
development_2023_2025,all,oxr_returns_120m_delay24h,2025,AMD,242,242,0.16089693990134113,39,1.639090469279149,72.5986018812418
development_2023_2025,all,oxr_returns_120m_delay24h,2025,KGS,242,242,0.15520684029243037,41,1.4454952712792433,58.08999102658888
development_2023_2025,all,oxr_returns_120m_delay24h,2025,KZT,242,242,0.15735566875678259,45,2.0166666666666675,50.86074600722297
development_2023_2025,all,oxr_returns_120m_delay24h,2025,TJS,242,242,0.19170489044575895,41,1.8550522648083625,81.41307316292593
development_2023_2025,all,oxr_returns_120m_delay24h,2025,UZS,242,242,0.14970310072539414,47,1.7163120567375894,69.19768684172779
development_2023_2025,all,oxr_returns_120m_delay48h,2023,AMD,242,242,0.2096597329663199,56,1.0917293233082705,24.980358790549303
development_2023_2025,all,oxr_returns_120m_delay48h,2023,KGS,242,242,0.1966832850376026,56,1.1033434650455929,24.63475267495025
development_2023_2025,all,oxr_returns_120m_delay48h,2023,KZT,242,242,0.19804707027534044,55,1.2359550561797752,23.55651765966676
development_2023_2025,all,oxr_returns_120m_delay48h,2023,TJS,242,242,0.20656154267086133,55,1.1234042553191488,21.940659306909378
development_2023_2025,all,oxr_returns_120m_delay48h,2023,UZS,242,242,0.21214717980453407,58,1.01016333938294,14.93556597277429
development_2023_2025,all,oxr_returns_120m_delay48h,2024,AMD,243,243,0.19449715574654622,46,1.4294117647058824,32.38956318668565
development_2023_2025,all,oxr_returns_120m_delay48h,2024,KGS,243,243,0.19912168296534152,49,1.3775510204081636,40.01106952918256
development_2023_2025,all,oxr_returns_120m_delay48h,2024,KZT,243,243,0.18896069404153215,59,1.2039113428943935,11.210416604022816
development_2023_2025,all,oxr_returns_120m_delay48h,2024,TJS,243,243,0.1934479326769366,49,1.3418967587034814,40.45967972523493
