track,scope,config_id,baseline,block,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
development_2023_2025,all,oxr_full_120m_since2020,v3_120m,60,0.001394049908649145,-0.0006562096667892007,0.0033528081879513933,15,0,,,,,,
development_2023_2025,all,oxr_full_120m_since2022,v3_120m,month,0.0012806386267742533,-0.003508363282471874,0.005797966846375796,36,0,-0.05277223577537882,-0.12572681922961285,0.015064456402055428,-6.0854128708395905,-12.814445580294974,0.7057215557727082
development_2023_2025,all,oxr_full_120m_since2022,v3_120m,20,0.0012806386267742533,-0.003279506560032065,0.0060752855431259805,39,0,,,,,,
development_2023_2025,all,oxr_full_120m_since2022,v3_120m,60,0.0012806386267742533,-0.0033535408917405086,0.006587529607473845,15,0,,,,,,
development_2023_2025,all,oxr_full_24m_delay24h,v3_24m,month,0.0023085104570165346,0.0008683402803998903,0.0037662284691110486,36,0,-0.1275109033199584,-0.23032248979607664,-0.028017683497038513,-10.800345150195803,-19.270257435992324,-3.351951667466152
development_2023_2025,all,oxr_full_24m_delay24h,v3_24m,20,0.0023085104570165346,0.0007715297405710574,0.0038470272240148356,39,0,,,,,,
development_2023_2025,all,oxr_full_24m_delay24h,v3_24m,60,0.0023085104570165346,0.0006116711341551132,0.003950287430702131,15,0,,,,,,
development_2023_2025,all,oxr_full_24m_delay48h,v3_24m,month,-0.0022124107493468794,-0.004477971530233497,-1.5835443089709322e-05,36,3,-0.08082879634270035,-0.17450869139456035,0.022772907277841734,-8.667352165432085,-15.497722126939047,-1.801233839569973
development_2023_2025,all,oxr_full_24m_delay48h,v3_24m,20,-0.0022124107493468794,-0.004245180188029699,-3.642303584665748e-05,39,3,,,,,,
development_2023_2025,all,oxr_full_24m_delay48h,v3_24m,60,-0.0022124107493468794,-0.0035833566094923435,-0.0008816590038710474,15,3,,,,,,
development_2023_2025,all,oxr_returns_120m_delay24h,v3_120m,month,0.0016241313195466153,0.00025181679077804995,0.002976351029748088,36,0,-0.004849328504755501,-0.05179709229391112,0.0378820286017349,-0.1234394708787363,-4.999507454290975,4.636381232974626
development_2023_2025,all,oxr_returns_120m_delay24h,v3_120m,20,0.0016241313195466153,0.00019939148106931878,0.003127030388392857,39,0,,,,,,
development_2023_2025,all,oxr_returns_120m_delay24h,v3_120m,60,0.0016241313195466153,-0.00017498095984324222,0.003353011962377202,15,0,,,,,,
development_2023_2025,all,oxr_returns_120m_delay48h,v3_120m,month,0.0006380295169058849,-0.0010683488121964967,0.0022127532448389894,36,2,-0.0640745286697122,-0.14748743377322332,0.019183755555098915,-1.0190205638694962,-7.317391278062626,5.726359502621405
development_2023_2025,all,oxr_returns_120m_delay48h,v3_120m,20,0.0006380295169058849,-0.0013086605613281713,0.00252790995750933,39,2,,,,,,
development_2023_2025,all,oxr_returns_120m_delay48h,v3_120m,60,0.0006380295169058849,-0.0020742764988268205,0.0029650428187654445,15,2,,,,,,
development_2023_2025,all,oxr_returns_24m_delay24h,v3_24m,month,0.0028773810338933487,0.0016372797457932316,0.004241406627018261,36,0,-0.07231096390181202,-0.14425547148278436,0.005644580089533707,-5.554440598577365,-13.220774039282817,1.6536129962099397
development_2023_2025,all,oxr_returns_24m_delay24h,v3_24m,20,0.0028773810338933487,0.0015850808588794513,0.004256816055338056,39,0,,,,,,
development_2023_2025,all,oxr_returns_24m_delay24h,v3_24m,60,0.0028773810338933487,0.001590669649338779,0.0040150532066042174,15,0,,,,,,
development_2023_2025,all,oxr_returns_24m_delay48h,v3_24m,month,-0.0026416840883265098,-0.005026656179189384,-0.00029415297772521524,36,3,-0.13041435411579383,-0.2519058833760156,0.004922421976990368,-11.730566833578173,-20.471970816267433,-3.0055887399311416
development_2023_2025,all,oxr_returns_24m_delay48h,v3_24m,20,-0.0026416840883265098,-0.004871949825328138,-0.0002718631094059505,39,3,,,,,,
development_2023_2025,all,oxr_returns_24m_delay48h,v3_24m,60,-0.0026416840883265098,-0.004610751676343144,-0.0007638155211061869,15,3,,,,,,
development_2023_2025,KZT,oxr_basis_120m_delay24h,v3_120m,month,-0.0008716826794218855,-0.0018754792052074966,6.330654080868765e-05,36,2,-0.08986956641478461,-0.20980385405753949,0.021828114414203178,-6.085876051122618,-13.443373668475006,0.3795277675449822
development_2023_2025,KZT,oxr_basis_120m_delay24h,v3_120m,20,-0.0008716826794218855,-0.001871310333952302,7.737991369098049e-05,39,2,,,,,,
development_2023_2025,KZT,oxr_basis_120m_delay24h,v3_120m,60,-0.0008716826794218855,-0.0018931613477238317,5.5561742189867546e-05,15,2,,,,,,
development_2023_2025,KZT,oxr_basis_120m_delay48h,v3_120m,month,-0.0009579930488571876,-0.0020393266957127675,6.334435350298014e-05,36,3,-0.14230643545803945,-0.40370945295956756,0.10765681923456862,-4.681294421742479,-19.190245643002353,9.493860426928983
development_2023_2025,KZT,oxr_basis_120m_delay48h,v3_120m,20,-0.0009579930488571876,-0.0020119876113293116,6.426879195235538e-05,39,3,,,,,,
development_2023_2025,KZT,oxr_basis_120m_delay48h,v3_120m,60,-0.0009579930488571876,-0.0016779081606857582,-0.0002183254196329227,15,3,,,,,,
development_2023_2025,KZT,oxr_basis_120m_since2020,v3_120m,month,-0.000845168905680955,-0.0019290526347694964,0.0001876781557492365,36,1,-0.039923328032194005,-0.12185839523951275,0.04019149019788728,2.0969562343590304,-5.85236775956584,9.838550273158477
development_2023_2025,KZT,oxr_basis_120m_since2020,v3_120m,20,-0.000845168905680955,-0.002008565934053884,0.000241923079929322,39,1,,,,,,
development_2023_2025,KZT,oxr_basis_120m_since2020,v3_120m,60,-0.000845168905680955,-0.0019260079781516614,0.00017216298007588306,15,1,,,,,,
development_2023_2025,KZT,oxr_basis_120m_since2022,v3_120m,month,-0.00010301370002795181,-0.0010972016881574927,0.0008324431476850504,36,1,-0.009287160559226182,-0.18823811758465275,0.17008277609210942,1.1423701315402184,-12.97401950633005,16.890443911589433
development_2023_2025,KZT,oxr_basis_120m_since2022,v3_120m,20,-0.00010301370002795181,-0.0011437956785811134,0.0008864093947754469,39,1,,,,,,
development_2023_2025,KZT,oxr_basis_120m_since2022,v3_120m,60,-0.00010301370002795181,-0.0008279318732139723,0.0005973434952235025,15,1,,,,,,
development_2023_2025,KZT,oxr_basis_24m_delay24h,v3_24m,month,-0.00023039252935954483,-0.001798814879525575,0.0013135035236072137,36,2,-0.08362029193410425,-0.3047325139811478,0.14362859889973398,-4.091660768733696,-19.0585193496779,12.623447968524951
development_2023_2025,KZT,oxr_basis_24m_delay24h,v3_24m,20,-0.00023039252935954483,-0.001962933231938734,0.0013589708375620598,39,2,,,,,,
development_2023_2025,KZT,oxr_basis_24m_delay24h,v3_24m,60,-0.00023039252935954483,-0.001793411865981487,0.0013280009211954125,15,2,,,,,,
development_2023_2025,KZT,oxr_basis_24m_delay48h,v3_24m,month,-0.0013452331144902844,-0.0029116106122643354,0.00013882999972096382,36,3,0.06813181557387926,-0.06853216620874708,0.23815693874522012,2.162049194940977,-6.645221750052621,11.908782714058349
development_2023_2025,KZT,oxr_basis_24m_delay48h,v3_24m,20,-0.0013452331144902844,-0.002923766838282558,0.00017693616226267778,39,3,,,,,,
development_2023_2025,KZT,oxr_basis_24m_delay48h,v3_24m,60,-0.0013452331144902844,-0.0024069626376656697,-0.00011883232020392187,15,3,,,,,,
development_2023_2025,KZT,oxr_coverage_120m,v3_120m,month,-0.0005427954136270394,-0.0009616545006897514,-0.00011514970983151936,36,2,-0.02179282594821985,-0.14386716805494956,0.08480528984025805,3.739684123565848,-4.696873700214224,13.164951249449393
development_2023_2025,KZT,oxr_coverage_120m,v3_120m,20,-0.0005427954136270394,-0.0009961733264198399,-9.745141043952462e-05,39,2,,,,,,
