config_id,fold_test_year,signal_date,corridor,wait_cbr_rows,future_date,counterfactual_official_rate_change_while_waiting_bps,is_fast_slow_confirmation_pair
logit_plus_kazakhstan_official,2023,2023-09-09,AMD,2,2023-09-13,-328.8797128458909,False
logit_plus_kazakhstan_official,2023,2023-09-09,AMD,3,2023-09-14,-208.7462224341119,False
logit_plus_kazakhstan_official,2023,2023-09-09,AMD,5,2023-09-16,-145.03488953944154,False
logit_plus_kazakhstan_official,2023,2023-09-15,AMD,1,2023-09-16,41.10864887432841,False
logit_plus_kazakhstan_official,2023,2023-09-15,AMD,2,2023-09-19,56.56453736711864,False
logit_plus_kazakhstan_official,2023,2023-09-15,AMD,3,2023-09-20,3.9342261618013907,False
logit_plus_kazakhstan_official,2023,2023-09-15,AMD,5,2023-09-22,-16.820824099945675,False
logit_plus_kazakhstan_official,2023,2023-09-21,KZT,1,2023-09-22,-93.19982823906004,False
logit_plus_kazakhstan_official,2023,2023-09-21,KZT,2,2023-09-23,-153.70652301206266,False
logit_plus_kazakhstan_official,2023,2023-09-21,KZT,3,2023-09-26,-128.3815435062652,False
logit_plus_kazakhstan_official,2023,2023-09-21,KZT,5,2023-09-28,-126.03934886989077,False
logit_plus_kazakhstan_official,2023,2023-09-27,KZT,1,2023-09-28,-33.93386589966574,False
logit_plus_kazakhstan_official,2023,2023-09-27,KZT,2,2023-09-29,-104.11638971247305,False
logit_plus_kazakhstan_official,2023,2023-09-27,KZT,3,2023-09-30,46.19733848169272,False
logit_plus_kazakhstan_official,2023,2023-09-27,KZT,5,2023-10-04,220.59475379478278,False
logit_plus_kazakhstan_official,2023,2023-10-03,UZS,1,2023-10-04,59.4421242894283,False
logit_plus_kazakhstan_official,2023,2023-10-03,UZS,2,2023-10-05,65.36408301127227,False
logit_plus_kazakhstan_official,2023,2023-10-03,UZS,3,2023-10-06,94.38044443125682,False
logit_plus_kazakhstan_official,2023,2023-10-03,UZS,5,2023-10-10,280.13708283571634,False
logit_plus_kazakhstan_official,2023,2023-10-07,KGS,1,2023-10-10,86.45023138930785,False
logit_plus_kazakhstan_official,2023,2023-10-07,KGS,2,2023-10-11,-55.391857573908744,False
logit_plus_kazakhstan_official,2023,2023-10-07,KGS,3,2023-10-12,-50.79061700866361,False
logit_plus_kazakhstan_official,2023,2023-10-07,KGS,5,2023-10-14,-343.94273225204387,False
logit_plus_kazakhstan_official,2023,2023-10-13,KZT,1,2023-10-14,53.333464414044855,False
logit_plus_kazakhstan_official,2023,2023-10-13,KZT,2,2023-10-17,25.855670305794387,False
logit_plus_kazakhstan_official,2023,2023-10-13,KZT,3,2023-10-18,39.127592325878254,False
logit_plus_kazakhstan_official,2023,2023-10-13,KZT,5,2023-10-20,6.832582077007654,False
logit_plus_kazakhstan_official,2023,2023-10-19,KZT,1,2023-10-20,-24.89171125614864,False
logit_plus_kazakhstan_official,2023,2023-10-19,KZT,2,2023-10-21,-197.5167088061769,False
