year,config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps
2026,tabm_periodic_pooled_120m_s0_kztcal,bank_delayed,KZT,156,156,0.21653951638807742,36,1.0643274853801172,17.82340289554416
2026,tabm_periodic_pooled_120m_s0_kztcal,both_delayed,KZT,156,156,0.215463306639625,37,0.9615931721194881,18.74501793096723
2026,tabm_periodic_pooled_120m_s0_kztcal,normal,KZT,156,156,0.20911064938359686,36,1.2923976608187138,43.5737492465314
2026,tabm_periodic_pooled_120m_s0_kztcal,oxr_delayed,KZT,156,156,0.2081599825136896,36,1.2923976608187138,34.54681002960223
2026,tabm_periodic_pooled_120m_s0_pooledcal,bank_delayed,all,780,156,0.19732901478505857,178,1.3612279226240538,23.813446230632426
2026,tabm_periodic_pooled_120m_s0_pooledcal,bank_delayed,KZT,156,156,0.21350482624475325,36,1.0643274853801172,17.82340289554416
2026,tabm_periodic_pooled_120m_s0_pooledcal,both_delayed,all,780,156,0.19642745778645188,180,1.3947395779187024,22.67646512477472
2026,tabm_periodic_pooled_120m_s0_pooledcal,both_delayed,KZT,156,156,0.21262556641896552,37,0.9615931721194881,18.74501793096723
2026,tabm_periodic_pooled_120m_s0_pooledcal,normal,all,780,156,0.19423397527724312,174,1.3748925193465173,32.55360741124436
2026,tabm_periodic_pooled_120m_s0_pooledcal,normal,KZT,156,156,0.20650575377012442,36,1.2923976608187138,43.5737492465314
2026,tabm_periodic_pooled_120m_s0_pooledcal,oxr_delayed,all,780,156,0.19331435635860134,175,1.3678357570573139,32.07416440579342
2026,tabm_periodic_pooled_120m_s0_pooledcal,oxr_delayed,KZT,156,156,0.20572982085282412,36,1.2923976608187138,34.54681002960223
2026,tabm_periodic_pooled_24m_s0_kztcal,bank_delayed,KZT,156,156,0.23387530576435495,35,1.0947368421052632,45.952858896939986
2026,tabm_periodic_pooled_24m_s0_kztcal,both_delayed,KZT,156,156,0.2178838580125339,38,0.8642659279778395,11.097782130330478
2026,tabm_periodic_pooled_24m_s0_kztcal,normal,KZT,156,156,0.22962872685905675,35,1.3293233082706768,50.10061981389266
2026,tabm_periodic_pooled_24m_s0_kztcal,oxr_delayed,KZT,156,156,0.21252639950379276,38,0.9362880886426594,21.180080208865462
2026,tabm_periodic_pooled_24m_s0_pooledcal,bank_delayed,all,780,156,0.20763710134049573,176,1.2290003193867773,21.41104119457569
2026,tabm_periodic_pooled_24m_s0_pooledcal,bank_delayed,KZT,156,156,0.22958337496078102,35,1.0947368421052632,45.952858896939986
2026,tabm_periodic_pooled_24m_s0_pooledcal,both_delayed,all,780,156,0.2024459036176035,190,0.8764044943820224,5.093990418434001
2026,tabm_periodic_pooled_24m_s0_pooledcal,both_delayed,KZT,156,156,0.2184673261179099,38,0.8642659279778395,11.097782130330478
2026,tabm_periodic_pooled_24m_s0_pooledcal,normal,all,780,156,0.20658742324167784,177,1.3213340391741661,30.60969079418266
2026,tabm_periodic_pooled_24m_s0_pooledcal,normal,KZT,156,156,0.22569414635979632,35,1.3293233082706768,50.10061981389266
2026,tabm_periodic_pooled_24m_s0_pooledcal,oxr_delayed,all,780,156,0.20120175429390566,190,0.8456534594914251,6.090707788805467
2026,tabm_periodic_pooled_24m_s0_pooledcal,oxr_delayed,KZT,156,156,0.21379545999534358,38,0.9362880886426594,21.180080208865462
2026,tabm_periodic_pooled_60m_s0_kztcal,bank_delayed,KZT,156,156,0.22189522357473015,34,1.0464396284829722,33.48529201800209
2026,tabm_periodic_pooled_60m_s0_kztcal,both_delayed,KZT,156,156,0.21507487741531983,37,1.183499288762447,28.048409718834808
2026,tabm_periodic_pooled_60m_s0_kztcal,normal,KZT,156,156,0.2122600221329892,34,1.126934984520124,46.33653826342538
2026,tabm_periodic_pooled_60m_s0_kztcal,oxr_delayed,KZT,156,156,0.20623251085342034,34,1.126934984520124,38.0413166812409
2026,tabm_periodic_pooled_60m_s0_pooledcal,bank_delayed,all,780,156,0.19753686816704258,170,1.3060145406477197,36.38863549544782
2026,tabm_periodic_pooled_60m_s0_pooledcal,bank_delayed,KZT,156,156,0.218621817447645,34,1.0464396284829722,33.48529201800209
2026,tabm_periodic_pooled_60m_s0_pooledcal,both_delayed,all,780,156,0.19370252223772058,174,1.3420797935261854,34.510542554399635
2026,tabm_periodic_pooled_60m_s0_pooledcal,both_delayed,KZT,156,156,0.21304229905832436,37,1.183499288762447,28.048409718834808
2026,tabm_periodic_pooled_60m_s0_pooledcal,normal,all,780,156,0.19255332950854512,170,1.3919365499008591,39.66874145194771
2026,tabm_periodic_pooled_60m_s0_pooledcal,normal,KZT,156,156,0.20979141690509154,34,1.126934984520124,46.33653826342538
2026,tabm_periodic_pooled_60m_s0_pooledcal,oxr_delayed,all,780,156,0.18956352540338647,170,1.271645736946464,30.322041246799845
2026,tabm_periodic_pooled_60m_s0_pooledcal,oxr_delayed,KZT,156,156,0.20489740323272995,34,1.126934984520124,38.0413166812409
